
[00:00:00.000 --> 00:00:02.480]  唔知大家點睇呢篇講道
[00:00:02.480 --> 00:00:06.160]  放心今日呢篇講道呢度吊唔到wire嘅
[00:00:06.160 --> 00:00:09.200]  或者唔會有人突然間喺後面門開咗出嚟
[00:00:09.200 --> 00:00:11.600]  冇呢啲嘢嘅
[00:00:11.600 --> 00:00:15.600]  講完呢其實呢就喺呢篇道裏面呢想表達呢
[00:00:15.600 --> 00:00:17.520]  耶穌再嚟又幾突然呀
[00:00:17.520 --> 00:00:20.240]  所以呢就好別出心裁吊wire呢
[00:00:20.240 --> 00:00:21.120]  就落嚟呀
[00:00:21.120 --> 00:00:25.280]  咁呢篇道呢頭先我所講呀即係即係成為咗網上嘅熱話啦
[00:00:25.280 --> 00:00:27.600]  咁呀有人呢就話好有創意
[00:00:27.600 --> 00:00:30.160]  有人呢就話譁眾取寵
[00:00:30.160 --> 00:00:32.000]  我個人呢比較保守嘅
[00:00:32.000 --> 00:00:35.600]  所以呢我就對佢嘅表達呢即係確實係有啲保留嘅
[00:00:35.600 --> 00:00:39.520]  但無論如何呢呢一個嘅討論或者呢個現象呢反映緊一樣嘢
[00:00:39.520 --> 00:00:43.440]  喺我哋基督徒圈子裏面呢真係好值得去討論嘅
[00:00:43.440 --> 00:00:45.600]  就係到底發生咩事呢
[00:00:45.600 --> 00:00:49.840]  令到有人覺得要令一篇講道係富有娛樂性
[00:00:49.840 --> 00:00:53.600]  去到一個呢都幾即係爭議嘅地步呢
[00:00:53.600 --> 00:00:56.400]  我哋係咪追求娛樂性呢
[00:00:56.400 --> 00:00:59.120]  我哋嚟呢度聽道崇拜
[00:00:59.120 --> 00:01:01.040]  係要滿足自己呀
[00:01:01.040 --> 00:01:03.680]  定係要獻上自己畀上帝呢
[00:01:03.680 --> 00:01:09.200]  我哋係咪尋求或者係活喺上帝嘅旨意裏面呢
[00:01:09.200 --> 00:01:14.480]  乜嘢先至喺崇拜裏面聆聽上帝嘅態度呢
[00:01:14.480 --> 00:01:19.600]  咁我哋帶住呢啲問題呢去睇約翰福音一十章一至十節
[00:01:19.600 --> 00:01:24.080]  首先呢我交代一下經文嘅上下文同埋一啲嘅背景資料
[00:01:24.080 --> 00:01:28.160]  一開始呢如果你留意到就係呢經文裏面呢有一啲嘅
[00:01:28.160 --> 00:01:30.800]  他門呀開始有開銀號
[00:01:30.800 --> 00:01:34.320]  第一個問題要問嘅就係呢一段經文同邊個講嘅先
[00:01:34.320 --> 00:01:36.880]  如果上個禮拜呢有聽國全道講道呢
[00:01:36.880 --> 00:01:38.080]  其實呢段經文呢
[00:01:38.080 --> 00:01:40.720]  睇下九章就開始咗㗎喇
[00:01:40.720 --> 00:01:44.080]  喺九章第三十九節嗰度耶穌話
[00:01:44.080 --> 00:01:46.880]  我為審判到這世上來
[00:01:46.880 --> 00:01:48.480]  是不能看見的看見
[00:01:48.480 --> 00:01:50.160]  能看見的反而失明
[00:01:50.160 --> 00:01:54.640]  呢件事就好明顯就係嗰個盲人睇見之後嗰個爭議啦
[00:01:54.640 --> 00:01:58.160]  然後同他在哪裏嗰個他呢係盲人呀
[00:01:58.160 --> 00:02:00.480]  同他在哪裏嘅快材人聽見
[00:02:00.480 --> 00:02:05.040]  所以話就對他說難道我門也失明了嗎
[00:02:05.040 --> 00:02:09.520]  耶穌對他們說你門若是失明就沒有罪了
