
[00:00:00.000 --> 00:00:03.000]  我們讀一段經文,在約翰福音第七章
[00:00:03.000 --> 00:00:07.000]  第37到39節我們一同來唸
[00:00:07.000 --> 00:00:08.000]  好,來
[00:00:08.000 --> 00:00:10.000]  節旗的末日就是最大之日
[00:00:10.000 --> 00:00:12.000]  耶穌站着高聲說
[00:00:12.000 --> 00:00:15.000]  人若渴了可以到我這裏來喝
[00:00:15.000 --> 00:00:18.000]  信我的人就如經上所說
[00:00:18.000 --> 00:00:22.000]  從他腹中要流出活水的江河來
[00:00:22.000 --> 00:00:24.000]  耶穌這話是指的
[00:00:24.000 --> 00:00:26.000]  信他的人要受聖靈說的
[00:00:26.000 --> 00:00:29.000]  那時還沒有賜下聖靈來
[00:00:29.000 --> 00:00:31.000]  因爲耶穌尚未得找榮耀
[00:00:31.000 --> 00:00:33.000]  我們就讀到這裏
[00:00:33.000 --> 00:00:35.000]  上兩個禮拜我們全家去度假
[00:00:35.000 --> 00:00:37.000]  所以今天回到這裏
[00:00:37.000 --> 00:00:38.000]  很多弟兄姐妹看到我
[00:00:38.000 --> 00:00:39.000]  就說歡迎回家
[00:00:39.000 --> 00:00:43.000]  哇,真的是非常的溫馨
[00:00:43.000 --> 00:00:46.000]  一回到這裏真的是充滿感恩
[00:00:46.000 --> 00:00:50.000]  那11月份真的是一個充滿感恩的季節
[00:00:50.000 --> 00:00:56.000]  我們不但是要爲神在我們個人身上的恩典來感恩
[00:00:56.000 --> 00:01:02.000]  我們更是要爲神在教會所成就一切奇妙的作爲來感謝
[00:01:02.000 --> 00:01:06.000]  我就特別想到我們應該常常爲Shakina Glory
[00:01:06.000 --> 00:01:08.000]  這個聖殿來感謝
[00:01:08.000 --> 00:01:11.000]  我們真的是爲了這個聖殿能夠完工
[00:01:11.000 --> 00:01:13.000]  真的是獻上感謝
[00:01:13.000 --> 00:01:17.000]  想想看能夠神給我們在建堂時間的時候
[00:01:17.000 --> 00:01:20.000]  給我們多麼美好一個建堂的環境
[00:01:20.000 --> 00:01:23.000]  不但讓我們看見在整個美國的經濟
[00:01:23.000 --> 00:01:26.000]  整個股票市場不斷的提升
[00:01:26.000 --> 00:01:29.000]  而且神給我們這麼美好的天氣
[00:01:29.000 --> 00:01:32.000]  以至於我們能夠在一年零五個月
[00:01:32.000 --> 00:01:34.000]  可以說最短的時間裏面
[00:01:34.000 --> 00:01:37.000]  完成這樣一個建殿的工程
[00:01:37.000 --> 00:01:39.000]  我想我們真的需要將一切榮耀歸給神
[00:01:39.000 --> 00:01:40.000]  我們再次將榮耀歸給我們
[00:01:40.000 --> 00:01:43.000]  Hallelujah
[00:01:43.000 --> 00:01:47.000]  但是神最近提醒我一件事情
[00:01:47.000 --> 00:01:50.000]  那就是建完了Shakina Glory這個聖殿
[00:01:50.000 --> 00:01:54.000]  並不是神應許的一個完成
[00:01:54.000 --> 00:01:58.000]  其實建完Shakina Glory聖殿
[00:01:58.000 --> 00:02:02.000]  其實是神應許的開始而已
[00:02:02.000 --> 00:02:06.000]  你還記得在我們二十週年慶典的時候
[00:02:06.000 --> 00:02:10.000]  神借了Mike Jacobs向我們發出預言
[00:02:10.000 --> 00:02:14.000]  那是神對我們這個聖殿的一個心意
[00:02:14.000 --> 00:02:19.000]  神對我們說如果我們將這個聖殿建造起來
[00:02:19.000 --> 00:02:24.000]  神就要用祂的榮耀充滿在這個聖殿
[00:02:24.000 --> 00:02:29.000]  換作說神今天不但是要帶我們進入一個新的會堂而已
[00:02:29.000 --> 00:02:32.000]  神的心意更是要帶領我們
[00:02:32.000 --> 00:02:37.000]  進入一個更深的屬靈的經驗當中
[00:02:37.000 --> 00:02:43.000]  那就是神要將祂的榮耀充滿在這個聖殿的裏面
[00:02:43.000 --> 00:02:45.000]  什麼是神的榮耀
[00:02:45.000 --> 00:02:47.000]  很多時候我們想到神的榮耀
[00:02:47.000 --> 00:02:50.000]  覺得很抽象不是很明白
[00:02:50.000 --> 00:02:52.000]  什麼是神的榮耀
[00:02:52.000 --> 00:02:56.000]  神的榮耀其實就是神自己
[00:02:56.000 --> 00:02:58.000]  但是神是個靈
[00:02:58.000 --> 00:03:01.000]  人沒有辦法按照肉體
[00:03:01.000 --> 00:03:05.000]  能夠看見神或者是能夠感受到神
[00:03:05.000 --> 00:03:07.000]  同樣神的同在
[00:03:07.000 --> 00:03:09.000]  也是我們看不見
[00:03:09.000 --> 00:03:11.000]  也是我們感受不到的
[00:03:11.000 --> 00:03:14.000]  但是神爲了憐憫我們
