
[00:00:00.000 --> 00:00:01.240]  菩提姐妹早晨
[00:00:01.240 --> 00:00:03.040]  讓我們在聆聽主導而先
[00:00:03.040 --> 00:00:05.200]  我們再次一齊同心低頭禱告
[00:00:05.200 --> 00:00:06.640]  仰望我們的主愛主神
[00:00:06.640 --> 00:00:10.040]  慈悲天父多謝你
[00:00:10.040 --> 00:00:11.440]  給到我們能夠再次回到
[00:00:11.440 --> 00:00:13.880]  你寶貴說話的面前一同的學習
[00:00:13.880 --> 00:00:15.480]  求你的幫助
[00:00:15.480 --> 00:00:17.280]  求聖靈的引導
[00:00:17.280 --> 00:00:20.080]  讓我們所讀進你的啟示
[00:00:20.080 --> 00:00:23.720]  是要按照上主你的心思意念去詮釋
[00:00:23.720 --> 00:00:26.840]  也讓我們能夠去明白你的心思之後
[00:00:27.000 --> 00:00:32.000]  能夠學會如何成為一個忠心信服的神的子民
[00:00:32.000 --> 00:00:33.920]  求你的帶領幫助
[00:00:33.920 --> 00:00:36.880]  也要幫助我們在聆聽的過程當中
[00:00:36.880 --> 00:00:39.240]  檢視我們每一個人的
[00:00:39.240 --> 00:00:41.280]  本身個人的私心
[00:00:41.280 --> 00:00:44.680]  讓我們在罪惡的世界的裏面
[00:00:44.680 --> 00:00:48.320]  這個私心能夠受著上主你的管束
[00:00:48.320 --> 00:00:49.920]  求你的帶領幫助
[00:00:49.920 --> 00:00:51.480]  我們同心的禱告
[00:00:51.480 --> 00:00:54.880]  奉靠主耶穌基督得聖的名字而求
[00:00:54.880 --> 00:00:55.840]  阿們
[00:00:58.000 --> 00:01:03.800]  忠心可以分為兩個層面去討論到它的實踐
[00:01:03.800 --> 00:01:06.960]  第一個的層面
[00:01:06.960 --> 00:01:12.080]  就是一種很機械式的一種的運作
[00:01:12.080 --> 00:01:13.760]  談論到一個人
[00:01:13.760 --> 00:01:15.800]  只是收到一個命令
[00:01:15.800 --> 00:01:21.840]  不理這個命令的內容或者命令的發出者的心意
[00:01:21.840 --> 00:01:24.080]  只不過按照內文
[00:01:24.080 --> 00:01:26.800]  機械式地將它推行出來
[00:01:28.000 --> 00:01:32.000]  但另一種的忠心怎樣去實踐呢
[00:01:32.000 --> 00:01:36.040]  就是有一種自主的層面
[00:01:36.040 --> 00:01:38.720]  可以在當中讓一個人
[00:01:38.720 --> 00:01:46.880]  去即使在做這個命令或者去實踐這個命令的時候
[00:01:46.880 --> 00:01:51.520]  有些東西沒有在事先說要求你有什麼的付出
[00:01:51.800 --> 00:01:57.360]  但是他為著因為他了解到這個發出命令人的心願
[00:01:57.360 --> 00:02:01.040]  於是乎他作好隨時的準備
[00:02:01.040 --> 00:02:02.680]  將他所有的
[00:02:02.680 --> 00:02:04.840]  他有的能力好
[00:02:04.840 --> 00:02:05.960]  資源好
[00:02:05.960 --> 00:02:07.200]  都能夠付出
[00:02:07.200 --> 00:02:11.000]  為這個發出命令的人妥善
[00:02:11.000 --> 00:02:13.480]  這樣去得到實踐
[00:02:13.480 --> 00:02:19.080]  觀察這兩種的忠心的實踐的方式
[00:02:20.200 --> 00:02:24.280]  來套用到今天我們作為信徒
[00:02:24.280 --> 00:02:26.480]  去理解什麼叫做忠心
[00:02:26.480 --> 00:02:30.200]  或者去英文說be faithful
[00:02:30.200 --> 00:02:32.080]  這個題目的時候
[00:02:32.080 --> 00:02:38.800]  其實也產生了很多我們對於忠心的詮釋
[00:02:38.800 --> 00:02:43.880]  今天很多的教會採用前者
[00:02:43.880 --> 00:02:48.440]  那種很機械式的一種所謂信徒的觀念
[00:02:49.200 --> 00:02:51.320]  認為忠心的信徒
[00:02:51.320 --> 00:02:56.960]  只需要將聖經的內文很機械化地去實踐了它
[00:02:56.960 --> 00:02:59.520]  那你就等同於忠心了
[00:02:59.520 --> 00:03:01.160]  在上帝的面前
[00:03:01.160 --> 00:03:04.480]  但是這種的做法
[00:03:04.480 --> 00:03:08.040]  有很多時候就反而跌入了一個局面
[00:03:08.040 --> 00:03:10.240]  就是叫做迷信
[00:03:10.240 --> 00:03:12.520]  迷信是什麼呢
[00:03:12.520 --> 00:03:19.440]  你不理會那個內容和命令的原本發出者的原意
[00:03:19.440 --> 00:03:21.560]  他講了一些字眼
[00:03:21.560 --> 00:03:24.080]  你的個人詮釋覺得是這樣
[00:03:24.080 --> 00:03:25.920]  那你覺得做齊了
[00:03:25.920 --> 00:03:28.320]  那你就等同於忠心
[00:03:28.320 --> 00:03:30.320]  你已經信得很好
[00:03:30.320 --> 00:03:34.000]  你的靈性覺得非常之妥當
[00:03:34.000 --> 00:03:37.680]  這種的狀態是今天普通的教會裡面
[00:03:37.680 --> 00:03:40.840]  很常用的一種信仰模式
[00:03:40.840 --> 00:03:47.440]  尤其是教會很喜歡直著去推行一些的事工
[00:03:47.440 --> 00:03:48.800]  或者活動
[00:03:48.800 --> 00:03:52.640]  你做你參加你就是忠心
[00:03:52.640 --> 00:03:57.120]  你做了你就等同於在上帝裡面有忠誠
[00:03:57.120 --> 00:04:01.680]  這種我稱之為一種叫做了的信仰
[00:04:01.680 --> 00:04:03.640]  只求做了一些東西
[00:04:03.640 --> 00:04:06.680]  做了就等於好的信徒
[00:04:07.400 --> 00:04:11.640]  但是這種信仰很多時候我有一個疑問
[00:04:11.640 --> 00:04:13.800]  是源自於我年輕的時候
[00:04:13.800 --> 00:04:20.600]  我看我家裡拜的那些神
[00:04:20.600 --> 00:04:24.000]  我問我媽媽
[00:04:24.000 --> 00:04:26.920]  每一年大時大節
[00:04:26.920 --> 00:04:28.560]  有時中秋也好
[00:04:28.560 --> 00:04:30.280]  什麼盂蘭節也好
[00:04:30.280 --> 00:04:31.720]  什麼節都好
[00:04:31.720 --> 00:04:34.880]  我說你也去拜神的
[00:04:35.200 --> 00:04:38.680]  又買雞等等
[00:04:38.680 --> 00:04:45.480]  其實你認為這樣做有什麼好處呢
