
[00:00:00.000 --> 00:00:05.000]  讀一段聖經在以色列書第五四章第一節到第三節
[00:00:05.000 --> 00:00:08.200]  所以說你這不懷孕不生養的要歌唱
[00:00:08.200 --> 00:00:12.300]  你這未曾經過慘淡的要發聲歌唱揚聲歡呼
[00:00:12.300 --> 00:00:14.800]  因為沒有丈夫的比有丈夫的兒女更多
[00:00:14.800 --> 00:00:16.500]  這是耶和華說的
[00:00:16.500 --> 00:00:19.600]  要擴張你丈母之地 張大你居所的曼子
[00:00:19.600 --> 00:00:23.100]  不要限制 要放長你的繩子 兼顧你的爵子
[00:00:23.100 --> 00:00:25.000]  因為你要向左向右開展
[00:00:25.000 --> 00:00:26.900]  你的後裔必得多國為業
[00:00:26.900 --> 00:00:30.000]  又使荒涼的誠意有人居住
[00:00:30.000 --> 00:00:31.300]  我們就讀到這裡
[00:00:31.300 --> 00:00:32.500]  上禮拜不在
[00:00:32.500 --> 00:00:35.000]  所以沒有機會跟大家恭賀新年
[00:00:35.000 --> 00:00:38.800]  在這裡首先恭賀大家新年非常非常非常快樂
[00:00:38.800 --> 00:00:43.600]  Amen Hallelujah
[00:00:43.600 --> 00:00:44.700]  當我們進入新的一年
[00:00:44.700 --> 00:00:49.500]  我們回顧神過去一年在我們教會所做的工作的時候
[00:00:49.500 --> 00:00:52.900]  我們真的要說神果然為我們成就大事
[00:00:52.900 --> 00:00:54.900]  Amen Hallelujah
[00:00:54.900 --> 00:00:59.200]  第二年當去年十月我們舉行開幕感恩崇拜
[00:00:59.200 --> 00:01:02.000]  當你走進這個新堂的時候
[00:01:02.000 --> 00:01:05.700]  難道你沒有一種好像做夢的感覺嗎
[00:01:05.700 --> 00:01:08.300]  真的我們的夢想成真了
[00:01:08.300 --> 00:01:12.200]  神為我們成就的遠超過我們所求所想的
[00:01:12.200 --> 00:01:13.300]  Amen
[00:01:13.300 --> 00:01:15.800]  不但是在教會的建造上
[00:01:15.800 --> 00:01:17.900]  我們經歷神豐富的恩典
[00:01:17.900 --> 00:01:21.400]  我也看見在弟兄姐妹的生活上
[00:01:21.400 --> 00:01:23.500]  我們有太多的見證
[00:01:23.500 --> 00:01:25.300]  看見神在過去一年
[00:01:25.300 --> 00:01:28.800]  怎麼將突破的恩典降臨在我們個人的身上
[00:01:28.800 --> 00:01:29.600]  Amen
[00:01:29.600 --> 00:01:34.300]  直到今天我還不斷的聽見弟兄姐妹的見證
[00:01:34.300 --> 00:01:37.700]  講到神突破的恩典降臨在他們身上
[00:01:37.700 --> 00:01:40.800]  上禮拜三我在聽最新的一個見證
[00:01:40.800 --> 00:01:45.900]  有一位姐妹是2017年8月才來到我們教會
[00:01:45.900 --> 00:01:49.300]  他們夫妻結婚很多年都沒有孩子
[00:01:49.300 --> 00:01:52.400]  不但向神禱告好像也沒什麼結果
[00:01:52.400 --> 00:01:55.200]  後來好不容易懷孕了又流產了
[00:01:55.200 --> 00:01:56.900]  非常的灰心
[00:01:56.900 --> 00:01:58.700]  當他們來到我們教會
[00:01:58.700 --> 00:02:01.000]  有一次聽到信息講到
[00:02:01.000 --> 00:02:02.800]  神在這個教會賜下
[00:02:02.800 --> 00:02:06.400]  Shekinah Glory突破的恩綱的時候
[00:02:06.400 --> 00:02:08.300]  那個妻子在神面前禱告說
[00:02:08.300 --> 00:02:09.800]  主啊我一定要
[00:02:09.800 --> 00:02:13.400]  我一定要經歷這個突破的恩綱
[00:02:13.400 --> 00:02:14.800]  結果很奇妙
[00:02:14.800 --> 00:02:17.700]  兩個月之後她再一次懷孕了
[00:02:17.700 --> 00:02:19.500]  第一次去產檢的時候
[00:02:19.500 --> 00:02:20.800]  醫生就對她說
[00:02:20.800 --> 00:02:24.400]  但你肚子裡是三胞胎啊
[00:02:24.400 --> 00:02:27.000]  三胞胎啊
[00:02:27.000 --> 00:02:28.800]  但醫生就告訴她
[00:02:28.800 --> 00:02:32.500]  警告說三胞胎要生產是很危險的
[00:02:32.500 --> 00:02:36.600]  一定會早產而且存活率很低
[00:02:36.600 --> 00:02:39.300]  所以醫生就建議她要不要減胎
[00:02:39.300 --> 00:02:42.000]  我從來沒聽過可以減胎的
[00:02:42.000 --> 00:02:45.700]  但他們夫妻禱告後心裡非常的平安
[00:02:45.700 --> 00:02:48.700]  他們就決定通通要生下來
[00:02:48.700 --> 00:02:53.900]  結果這三胞胎是一直到育產期期滿
[00:02:53.900 --> 00:02:56.700]  才剖腹生產出來的
[00:02:56.700 --> 00:02:58.900]  Hallelujah
[00:02:58.900 --> 00:03:02.000]  三個孩子現在六個月大了
