
[00:00:00.000 --> 00:00:10.320]  很快就來到《雅閣書》最後兩節了
[00:00:10.320 --> 00:00:15.880]  我不知道大家對於已經差不多完成
[00:00:15.880 --> 00:00:17.360]  你的感覺是怎樣
[00:00:17.360 --> 00:00:19.880]  就好像看球賽一樣
[00:00:19.880 --> 00:00:22.520]  只差一場而已 搞定了
[00:00:22.520 --> 00:00:26.280]  我不知道在當中有多少的大英姐妹
[00:00:26.280 --> 00:00:31.400]  你過去這段日子有看球賽的嗎
[00:00:31.400 --> 00:00:33.640]  姐妹們不用害羞
[00:00:33.640 --> 00:00:39.120]  看球賽也是一個賞心樂事 謝謝你
[00:00:39.120 --> 00:00:40.960]  我不知道你們在看的過程中
[00:00:40.960 --> 00:00:44.320]  你覺不覺得熬夜很辛苦
[00:00:44.320 --> 00:00:47.480]  荷蘭對阿根廷搞來搞去搞不定
[00:00:47.480 --> 00:00:51.200]  還要熬到六點
[00:00:51.200 --> 00:00:58.240]  但其實無論是甚麼的體育活動
[00:00:58.240 --> 00:01:02.880]  我相信如果是群體性的體育活動
[00:01:02.880 --> 00:01:05.640]  好像籃球 足球
[00:01:05.640 --> 00:01:10.600]  其實在當中都很需要默契
[00:01:10.600 --> 00:01:13.320]  和互相合作
[00:01:13.320 --> 00:01:18.640]  所以最怕有人「毒食」
[00:01:18.640 --> 00:01:27.520]  很惡搞 其實有個PowerPoint
[00:01:27.520 --> 00:01:31.000]  就算像美斯那麼好打球
[00:01:31.000 --> 00:01:34.000]  你一拿到球就像倚樓蜜堂一樣
[00:01:34.000 --> 00:01:35.160]  你都不用走
[00:01:35.160 --> 00:01:37.680]  基本上就有很多人湧過來
[00:01:37.680 --> 00:01:40.880]  所以如果你單單是「毒食」
[00:01:40.880 --> 00:01:44.040]  結果就是死定了
[00:01:44.040 --> 00:01:47.280]  今屆的世界盃
[00:01:47.280 --> 00:01:51.200]  就算你不太看球賽
[00:01:51.200 --> 00:01:53.440]  可能你都會留意到一個新聞
[00:01:53.440 --> 00:01:56.240]  就是踢球踢到咬人
[00:01:56.240 --> 00:01:57.600]  有沒有留意
[00:01:57.600 --> 00:02:02.520]  烏拉圭有個球員蘇亞雷斯
[00:02:02.520 --> 00:02:06.160]  我嘗試上網找他的資料
[00:02:06.160 --> 00:02:07.800]  都挺有趣的
[00:02:07.800 --> 00:02:11.680]  原來此人在今屆的英超
[00:02:11.680 --> 00:02:15.320]  就是射手榜的冠軍
[00:02:15.320 --> 00:02:18.040]  球友應該是
[00:02:18.040 --> 00:02:25.800]  其實他除了咬人的劣行之外
[00:02:25.800 --> 00:02:28.560]  其實他出了名「毒食」
[00:02:28.560 --> 00:02:31.280]  所以在過去
[00:02:31.280 --> 00:02:35.400]  當他剛剛加入英超的時候
[00:02:35.400 --> 00:02:41.080]  這都是一個相當惡搞的問題
