
[00:00:00.000 --> 00:00:06.000]  早晨,今天我們定了一個日子叫做「靈修主日」
[00:00:06.000 --> 00:00:12.000]  所以今天我會跟大家多說一些關於靈修的事情
[00:00:12.000 --> 00:00:16.000]  首先想問一下大家
[00:00:16.000 --> 00:00:21.000]  其實一個星期裏面,你有多少次做靈修呢?
[00:00:21.000 --> 00:00:26.000]  不如這樣問一下,如果你有三次或以上,你可不可以舉手呢?
[00:00:26.000 --> 00:00:31.000]  放下了,其他可能少於或未有
[00:00:31.000 --> 00:00:36.000]  我想問一下大家,當你靈修的時候,你是怎樣做的呢?
[00:00:36.000 --> 00:00:40.000]  或者你靈修裏面的流程有些什麼呢?
[00:00:40.000 --> 00:00:44.000]  會不會好像這樣呢?
[00:00:44.000 --> 00:00:48.000]  可能我會先安靜一下,或者先祈禱
[00:00:48.000 --> 00:00:52.000]  有些人會唱一首詩歌,讓自己的心比較平靜一點
[00:00:52.000 --> 00:00:56.000]  然後我會看聖經,當然有些人未必會用聖經
[00:00:56.000 --> 00:01:03.000]  他會用一些靈修附讀的資料,例如荒木甘泉、靈命日良醫資料來幫助自己
[00:01:03.000 --> 00:01:08.000]  之後你會默想,即是思想裏面的一些內容
[00:01:08.000 --> 00:01:13.000]  之後你會做一個祈禱結束,可能大概都會是這樣
[00:01:13.000 --> 00:01:16.000]  不知道你會不會都是這樣呢?
[00:01:16.000 --> 00:01:23.000]  我又想問一下,究竟你會用多少時間去做靈修呢?
[00:01:23.000 --> 00:01:29.000]  我一般聽說是15分鐘,其實是否都是用15分鐘左右呢?
[00:01:29.000 --> 00:01:33.000]  有些情況會多一點
[00:01:33.000 --> 00:01:37.000]  最後問多一條問題,你覺得你現在的靈修
[00:01:37.000 --> 00:01:40.000]  無論是方式、程序、流程、時間
[00:01:40.000 --> 00:01:45.000]  你有沒有覺得還需要有地方要改善呢?
[00:01:45.000 --> 00:01:50.000]  在舊月聖經裏面,我問一下大家
[00:01:50.000 --> 00:01:54.000]  我們知道有些人物叫做阿伯拉罕、以撒、雅各
[00:01:54.000 --> 00:01:59.000]  或者就算是摩西,在法治之前,他們是沒有聖經的
