
[00:00:00.000 --> 00:00:04.800]  大約十一、十二月是很多人練跑馬拉松的高峰期
[00:00:04.800 --> 00:00:07.840]  因為一月的時候就是跑馬拉松的日子
[00:00:07.840 --> 00:00:11.440]  有些人就由香港,很厲害了,跑出香港的
[00:00:11.440 --> 00:00:14.120]  就是回大陸跑,有些人去日本跑
[00:00:14.120 --> 00:00:16.840]  還有世界各地不同的地方都有馬拉松
[00:00:16.840 --> 00:00:19.640]  有人就說侍奉好像馬拉松一樣
[00:00:19.640 --> 00:00:20.960]  跑馬拉松一樣
[00:00:20.960 --> 00:00:23.800]  有人是跑長一點的,有人是跑短一點
[00:00:23.800 --> 00:00:25.480]  有人是跑的時候覺得輕鬆
[00:00:25.480 --> 00:00:28.080]  有些人是跑的時候覺得艱難
[00:00:28.080 --> 00:00:30.320]  有人是開始的時候衝勁十足
[00:00:30.320 --> 00:00:32.880]  但最後越跑越慢
[00:00:32.880 --> 00:00:35.120]  有些人是志在參與
[00:00:35.120 --> 00:00:37.440]  但有些人勢必要贏
[00:00:37.440 --> 00:00:40.960]  有人是在跑的時候感覺到疲倦、迷茫
[00:00:40.960 --> 00:00:42.800]  想著想著都不知道跑到甚麼時候
[00:00:42.800 --> 00:00:44.560]  或者終點究竟在哪裡
[00:00:44.560 --> 00:00:46.160]  所以中途就會放棄
[00:00:46.160 --> 00:00:50.040]  有人是目標很清晰,要堅持到底
[00:00:50.040 --> 00:00:52.800]  等會來到一年快要終結的日子
[00:00:52.800 --> 00:00:56.120]  不知道你自己侍奉的道路是怎樣的呢
[00:00:56.120 --> 00:00:57.880]  如果用跑馬拉松去形容
[00:00:57.880 --> 00:01:00.840]  你跑到甚麼的光景呢
[00:01:00.840 --> 00:01:03.880]  或者你沒有侍奉,我都是崇拜的
[00:01:03.880 --> 00:01:04.960]  你都可以思想
[00:01:04.960 --> 00:01:07.240]  由你信主的日子到今天
[00:01:07.240 --> 00:01:09.040]  你信主的生命
[00:01:09.040 --> 00:01:11.520]  你跟隨主的道路又如何呢
[00:01:11.520 --> 00:01:13.480]  你現在是甚麼狀態
[00:01:13.480 --> 00:01:15.560]  今天我就想帶大家來看
[00:01:15.560 --> 00:01:18.680]  保羅如何勸勉一位初出道的傳道人
[00:01:18.680 --> 00:01:23.640]  亦都是一位當時面對著很多壓力和挑戰的傳道人
[00:01:23.640 --> 00:01:25.120]  提摩泰
[00:01:25.120 --> 00:01:26.440]  保羅很想鼓勵他
