
[00:00:00.000 --> 00:00:03.140]  耶穌所愛的十二個門徒
[00:00:03.140 --> 00:00:07.220]  他們在走的旅程中遇到一些意外
[00:00:07.220 --> 00:00:08.900]  這個意外就是耶穌死了
[00:00:08.900 --> 00:00:10.340]  他們失望
[00:00:10.340 --> 00:00:12.720]  不過耶穌再一次和他們聊天的時候
[00:00:12.720 --> 00:00:14.840]  他們好像換了一輛新車
[00:00:14.840 --> 00:00:16.780]  他們的生命不再一樣
[00:00:16.780 --> 00:00:20.460]  我們今天在座當中
[00:00:20.460 --> 00:00:21.540]  在沙圳浸了多少年
[00:00:21.540 --> 00:00:22.860]  特別是在小祖木仰多少年
[00:00:22.860 --> 00:00:24.500]  我們今天就走這條旅程
[00:00:24.500 --> 00:00:27.700]  一起經歷一下耶穌如何和你再一次說話
[00:00:27.700 --> 00:00:29.380]  我們看看這篇經文
[00:00:29.380 --> 00:00:34.940]  這篇經文就在《約翰福音》21章1-22節
[00:00:34.940 --> 00:00:36.300]  我們分幾段來讀
[00:00:36.300 --> 00:00:40.780]  有一章1-14節就是講到當他們耶穌復活的時候
[00:00:40.780 --> 00:00:43.340]  他們生命裏面竟然破滅
[00:00:43.340 --> 00:00:45.300]  耶穌復活竟然大能
[00:00:45.300 --> 00:00:47.060]  不過他的生命破滅
[00:00:47.060 --> 00:00:48.460]  你知不知道爲什麼
[00:00:48.460 --> 00:00:50.860]  因爲我們看回頭就容易
[00:00:50.860 --> 00:00:53.580]  在他那個階段其實很艱難
[00:00:53.580 --> 00:00:55.540]  當我一路敬拜的時候我就想一件事
[00:00:55.540 --> 00:00:59.020]  大家如果未知復活這件事實的時候
[00:00:59.020 --> 00:01:01.060]  如果有一個人離開
[00:01:01.060 --> 00:01:02.180]  又有很多人離開
[00:01:02.180 --> 00:01:03.700]  你會不會覺得很難過
[00:01:03.700 --> 00:01:07.140]  相信我們待會有七個門徒
[00:01:07.140 --> 00:01:10.220]  所有的門徒他都有一些親戚朋友離開
[00:01:10.220 --> 00:01:12.740]  而離開就離開
[00:01:12.740 --> 00:01:17.220]  很多的感情交割都在離開之後lost了
[00:01:17.220 --> 00:01:19.820]  即是很慘痛啊
[00:01:19.820 --> 00:01:22.980]  很憂鬱或者常常記住不捨得
[00:01:22.980 --> 00:01:23.700]  爲什麼呢
[00:01:23.700 --> 00:01:27.380]  最近去年我爸爸8月30日不在的時候
[00:01:27.380 --> 00:01:29.300]  有時候看到那張照片
[00:01:29.300 --> 00:01:32.020]  心裏面慼慼熱
[00:01:32.020 --> 00:01:34.180]  好了回來
[00:01:34.180 --> 00:01:36.980]  記得上次道穆斯所說
[00:01:36.980 --> 00:01:38.260]  當耶穌復活的時候
[00:01:38.260 --> 00:01:40.380]  竟然有兩個門徒知道聽聞
[00:01:40.380 --> 00:01:42.460]  他們又回到二馬五師
[00:01:42.460 --> 00:01:50.180]  二馬五師大概由這裏回到深圳或者邊境
[00:01:50.180 --> 00:01:51.260]  不是很長
[00:01:51.260 --> 00:01:52.660]  幾十公里
[00:01:52.660 --> 00:01:54.100]  但是見到耶穌
[00:01:54.100 --> 00:01:55.580]  他們的眼睛開了
[00:01:55.580 --> 00:01:57.380]  所以他們又再不去二馬五師
[00:01:57.380 --> 00:02:01.100]  由五馬五師回到耶路撒冷
[00:02:01.100 --> 00:02:02.500]  告訴十二門徒聽
[00:02:02.500 --> 00:02:03.860]  他們看到耶穌復活
[00:02:03.860 --> 00:02:05.380]  耶穌復活給他們聽
[00:02:05.380 --> 00:02:06.380]  自此之後
[00:02:06.380 --> 00:02:08.180]  耶穌在《約翰福音》二十章
[00:02:08.180 --> 00:02:11.100]  兩次向他們顯然復活
[00:02:11.100 --> 00:02:12.540]  第一次十一個門徒
[00:02:12.540 --> 00:02:13.700]  但是缺了多瑪
[00:02:13.700 --> 00:02:15.500]  第二次告訴多瑪
[00:02:15.500 --> 00:02:16.780]  這次是什麼
[00:02:16.780 --> 00:02:17.500]  第三次
[00:02:17.500 --> 00:02:18.780]  我讀一讀那個經歷
[00:02:18.780 --> 00:02:20.180]  大家看過電影沒有
[00:02:20.180 --> 00:02:22.140]  這個就是蒙太奇的經歷
[00:02:22.140 --> 00:02:24.460]  即是由過去數回頭
[00:02:24.460 --> 00:02:26.140]  我們看看經文
[00:02:26.140 --> 00:02:30.100]  讓經文看看這十一個門徒裏面
[00:02:30.100 --> 00:02:31.340]  這七個當中
[00:02:31.340 --> 00:02:32.900]  他們當時的反應如何
[00:02:32.900 --> 00:02:33.700]  一起來讀一讀
[00:02:33.700 --> 00:02:34.980]  一二三
[00:02:34.980 --> 00:02:36.580]  這些事以後
[00:02:36.580 --> 00:02:38.780]  耶穌在提比利亞海邊
[00:02:38.780 --> 00:02:40.460]  跡加利尼亞湖
[00:02:40.460 --> 00:02:42.340]  又向門徒顯然
[00:02:42.340 --> 00:02:45.180]  他怎樣顯然既在下面
[00:02:45.180 --> 00:02:46.420]  跳一跳
[00:02:46.420 --> 00:02:47.300]  既在下面是怎樣呢
[00:02:47.300 --> 00:02:48.380]  其實蒙太奇
[00:02:48.380 --> 00:02:50.180]  我怕大家不知道耶穌怎樣
[00:02:50.180 --> 00:02:52.300]  我特別將十四節抽出來
[00:02:52.300 --> 00:02:53.860]  讓大家知道這次的復活是怎樣
[00:02:53.860 --> 00:02:55.140]  OK 一起讀一讀
[00:02:55.140 --> 00:02:57.460]  耶穌從死裏復活以後
[00:02:57.460 --> 00:02:58.860]  向門徒顯然
[00:02:58.860 --> 00:03:01.140]  這是第三次
[00:03:01.140 --> 00:03:02.540]  有西門彼得
[00:03:02.540 --> 00:03:05.180]  稱爲底士瑪的多瑪
[00:03:05.180 --> 00:03:07.940]  並加利利加拿人拿彈葉
[00:03:07.940 --> 00:03:10.780]  還有西比太的兩個兒子
[00:03:10.780 --> 00:03:13.620]  又有兩個門徒都在一處
[00:03:13.620 --> 00:03:15.340]  西門彼得對他們說
[00:03:15.340 --> 00:03:16.380]  我打漁去
[00:03:16.380 --> 00:03:17.420]  他們說
[00:03:17.420 --> 00:03:19.220]  我們也和你同去
