
[00:00:00.000 --> 00:00:04.860]  我說的不單止是香港有一個歌星
[00:00:04.860 --> 00:00:09.720]  唱的那些歌將了英國、美國最典型
[00:00:09.720 --> 00:00:13.000]  或者是當時在現在那些Club那裏
[00:00:13.000 --> 00:00:15.900]  那些下流的Club那裏所唱的那些形象
[00:00:15.900 --> 00:00:18.740]  是將它做了一個Music Video
[00:00:18.740 --> 00:00:21.200]  我想你都知道我應該說什麼的
[00:00:21.200 --> 00:00:24.300]  你不知道啊?你認爲我說出來好像不太好
[00:00:24.300 --> 00:00:29.560]  就是有一個歌唱界的大姐大
[00:00:29.560 --> 00:00:31.960]  最近的一個Music Video
[00:00:31.960 --> 00:00:34.040]  穿着很短的金屬裙子
[00:00:34.040 --> 00:00:39.200]  在鐵籠裏面扭身扭勢的那個
[00:00:39.200 --> 00:00:44.500]  就是在美國那些低級的Bar裏面的景象
[00:00:44.500 --> 00:00:47.560]  那個歌名叫什麼呢?
[00:00:47.560 --> 00:00:51.380]  你如果不知道就問問那些知道的那些
[00:00:51.380 --> 00:00:54.680]  我不想爲她賣廣告
[00:00:54.680 --> 00:00:56.440]  但是那些都不是最緊要
[00:00:56.440 --> 00:00:58.520]  如果我們說要找一個例子
[00:00:58.520 --> 00:01:00.160]  那個例子應該是什麼呢?
[00:01:00.160 --> 00:01:04.280]  就是今天那些所謂的重金屬搖滾樂
[00:01:04.280 --> 00:01:07.460]  Heavy Metal Rocks
[00:01:07.460 --> 00:01:12.000]  它將了人間所有的美善都奏作
[00:01:12.000 --> 00:01:14.880]  包括了神、包括了真理
[00:01:14.880 --> 00:01:17.600]  包括了一切美善的東西
[00:01:17.600 --> 00:01:19.520]  而歌頌的是什麼呢?
[00:01:19.520 --> 00:01:25.080]  是撒旦、是死亡、是同亂
[00:01:25.080 --> 00:01:31.080]  是亂論、是同性戀、是謀殺、是強姦
[00:01:31.080 --> 00:01:34.200]  歌頌這些東西
[00:01:34.200 --> 00:01:38.060]  撒旦可以將最美麗的東西
[00:01:38.060 --> 00:01:42.640]  來將它醜化
[00:01:42.640 --> 00:01:46.520]  那我們說我們承認撒旦的存在
[00:01:46.520 --> 00:01:47.800]  我們又怎麼說呢?
[00:01:47.800 --> 00:01:50.520]  我們說承認撒旦的存在
[00:01:50.520 --> 00:01:55.320]  我們更加要去肯定這個世界
[00:01:55.320 --> 00:01:58.800]  是屬於我們的主基督的
[00:01:58.800 --> 00:02:00.640]  有人會這樣說
[00:02:00.640 --> 00:02:02.680]  這個世界有這麼多的醜惡
[00:02:02.680 --> 00:02:04.840]  你怎麼還可以說這個世界
[00:02:04.840 --> 00:02:08.640]  是你們的耶穌基督在掌管着呢?
[00:02:08.640 --> 00:02:13.880]  我們說正因爲這個世界有這麼多的醜惡
[00:02:13.880 --> 00:02:16.800]  而它還沒有崩潰
[00:02:16.800 --> 00:02:20.520]  還沒有到一個地步叫我們人不堪活
[00:02:20.520 --> 00:02:26.800]  在各種的殘酷無情的裏面
[00:02:26.800 --> 00:02:30.560]  還沒有足以將這個世界變成一個煉獄
[00:02:30.560 --> 00:02:35.040]  我們說如果不是創造主在維持
[00:02:35.040 --> 00:02:37.320]  在賜福
[00:02:37.320 --> 00:02:39.800]  這個就不可能了
[00:02:39.800 --> 00:02:42.560]  我們承認和肯定
[00:02:42.560 --> 00:02:44.880]  這個世界是屬於上帝的
[00:02:44.880 --> 00:02:47.680]  不是因爲它是一個落井
[00:02:47.680 --> 00:02:52.240]  而是說在這麼多的罪惡裏面
