
[00:00:00.000 --> 00:00:03.320]  剛才我也提過,還有兩個禮拜復活節
[00:00:03.320 --> 00:00:05.880]  這個大家都不想我再講
[00:00:05.880 --> 00:00:07.420]  問題是什麼呢?
[00:00:07.420 --> 00:00:10.760]  復活節對很多人來說
[00:00:10.760 --> 00:00:13.060]  特別是不信耶穌的人
[00:00:13.060 --> 00:00:16.380]  就覺得什麼來的,講耶穌復活
[00:00:16.380 --> 00:00:18.440]  是一個神話故事呢?
[00:00:18.440 --> 00:00:25.080]  還是一個我們可以選擇信或者不信的信仰呢?
[00:00:25.080 --> 00:00:29.180]  我不知道你心裡如何看耶穌基督的復活
[00:00:29.180 --> 00:00:33.280]  其實2019年Pills Research
[00:00:33.280 --> 00:00:34.040]  大家可能都聽過
[00:00:34.040 --> 00:00:39.420]  這是一個很受歡迎的研究社區調查機構
[00:00:39.420 --> 00:00:43.260]  2019年的時候Pills Research發出的報告是什麼呢?
[00:00:43.260 --> 00:00:46.840]  它說在美國大概有66%的人
[00:00:46.840 --> 00:00:50.680]  都相信耶穌有某種程度的復活
[00:00:50.680 --> 00:00:51.960]  其實我是亂猜的
[00:00:51.960 --> 00:00:53.760]  什麼叫做某種程度的復活呢?
[00:00:53.760 --> 00:00:55.560]  我不知道為什麼
[00:00:55.560 --> 00:00:57.340]  不過其實我的點是什麼呢?
[00:00:57.340 --> 00:00:59.640]  其實只有一半人
[00:00:59.640 --> 00:01:02.200]  即是只有一半的基督徒應該這樣說
[00:01:02.200 --> 00:01:04.760]  只有一半的基督徒
[00:01:04.760 --> 00:01:08.080]  是相信耶穌的復活是很重要的
[00:01:08.080 --> 00:01:09.640]  對基督教信仰來說
[00:01:09.640 --> 00:01:12.440]  是基督教信仰的基礎
[00:01:12.440 --> 00:01:14.240]  沒有了它就不行的
[00:01:14.240 --> 00:01:16.280]  只有一半基督徒這樣相信
[00:01:16.280 --> 00:01:17.300]  那是什麼意思呢?
[00:01:17.300 --> 00:01:20.640]  就是另一半基督徒就不相信了
[00:01:20.640 --> 00:01:25.240]  所以究竟耶穌的復活
[00:01:25.240 --> 00:01:29.340]  是不是一個歷史的事件呢?
[00:01:29.340 --> 00:01:35.480]  現在美國的自由文化、潮流文化的影響
[00:01:35.480 --> 00:01:40.860]  已經將復活節這件事變成什麼呢?
[00:01:40.860 --> 00:01:44.940]  變成是一個人或者一個機構、一個組織
[00:01:44.940 --> 00:01:47.240]  如何能夠重新再上路
[00:01:47.240 --> 00:01:49.300]  重新開始的一個隱喻
