
[00:00:00.000 --> 00:00:03.500]  弟兄姊妹平安,我們一起低頭禱告
[00:00:03.500 --> 00:00:05.500]  天父,我們來到你面前
[00:00:05.500 --> 00:00:09.500]  我們想到你是誰聽禱告的神
[00:00:09.500 --> 00:00:12.500]  你誰聽禱告,因為你愛我們
[00:00:12.500 --> 00:00:16.500]  你想和我們傾心吐義
[00:00:16.500 --> 00:00:19.000]  你也想我們在你面前傾心吐義
[00:00:19.000 --> 00:00:22.000]  主要是讓我們在禱告當中
[00:00:22.000 --> 00:00:24.000]  我們和你相遇的時候
[00:00:24.000 --> 00:00:27.500]  我們了解你的愛,也了解更多的愛你
[00:00:27.500 --> 00:00:29.500]  願你親自與我們同在
[00:00:29.500 --> 00:00:32.500]  今天我們將我們的崇拜
[00:00:32.500 --> 00:00:35.500]  我們的禱告呈現在你面前
[00:00:35.500 --> 00:00:38.500]  願你自己因著我們對你的思想
[00:00:38.500 --> 00:00:42.500]  都蒙越了,以致你的心可以滿足
[00:00:42.500 --> 00:00:45.500]  奉耶穌基督的名祈求,下門
[00:00:45.500 --> 00:00:47.500]  好了,繼續我們今天
[00:00:47.500 --> 00:00:51.500]  來到思想禱告的課題
[00:00:51.500 --> 00:00:53.500]  今天第四課的時候
[00:00:53.500 --> 00:00:57.500]  我們今天的課題是講到禱告的五方面
[00:00:57.500 --> 00:01:01.500]  很多時候我們禱告
[00:01:01.500 --> 00:01:06.500]  當然我們有向神去表達的內容
[00:01:06.500 --> 00:01:08.500]  但不知道你有沒有想過
[00:01:08.500 --> 00:01:12.500]  其實禱告可以是多方面的
[00:01:12.500 --> 00:01:14.500]  不是單一方面的
[00:01:14.500 --> 00:01:16.500]  不只是我們向神講
[00:01:16.500 --> 00:01:18.500]  也不只是神和我們講
[00:01:18.500 --> 00:01:22.500]  其實禱告在一個交流的過程當中
[00:01:22.500 --> 00:01:27.500]  其實是包括了不同的方面
[00:01:27.500 --> 00:01:32.500]  如果你是跟一個你很信得過的人
[00:01:32.500 --> 00:01:35.500]  很熟悉的朋友
[00:01:35.500 --> 00:01:38.500]  當你跟他見面的時候
[00:01:38.500 --> 00:01:41.500]  跟他可能聊天的時候
[00:01:41.500 --> 00:01:44.500]  或者有時候英文就是「hang out」
[00:01:44.500 --> 00:01:48.500]  或者飲咖啡、吃飯、茶餘飯後的時候
[00:01:48.500 --> 00:01:51.500]  你會跟他說什麼呢?
[00:01:51.500 --> 00:01:54.500]  如果他是你非常親密的人
[00:01:54.500 --> 00:01:56.500]  很信得過的人
[00:01:56.500 --> 00:01:59.500]  你會跟他說什麼呢?
[00:01:59.500 --> 00:02:01.500]  很多時候
[00:02:01.500 --> 00:02:04.500]  我現在這樣問你的時候
[00:02:04.500 --> 00:02:08.500]  可能你突然被我這樣問
[00:02:08.500 --> 00:02:11.500]  你都不知道怎麼回答
[00:02:11.500 --> 00:02:13.500]  會不會有這種感覺?
[00:02:13.500 --> 00:02:15.500]  可能會是,為什麼呢?
[00:02:15.500 --> 00:02:19.500]  因為實在來說
[00:02:19.500 --> 00:02:21.500]  你沒有限定過什麼
[00:02:21.500 --> 00:02:23.500]  如果你跟他是很熟悉的人
[00:02:23.500 --> 00:02:27.500]  根本是天南地北什麼都講的
[00:02:27.500 --> 00:02:30.500]  有時候沒有限定一定是講家庭
[00:02:30.500 --> 00:02:32.500]  一定是講工作
[00:02:32.500 --> 00:02:35.500]  一定是講現在社會近況
[00:02:35.500 --> 00:02:38.500]  或者什麼都講的,對不對?
[00:02:38.500 --> 00:02:40.500]  因為就是很熟悉的時候
[00:02:40.500 --> 00:02:42.500]  建立這個關係的時候
[00:02:42.500 --> 00:02:45.500]  基本上就是包括不同的方面
[00:02:45.500 --> 00:02:50.500]  如果你說你每次跟這個人只講工作
[00:02:50.500 --> 00:02:53.500]  那個未必是你很熟悉的朋友
[00:02:53.500 --> 00:02:57.500]  那個可能是你同事或者上司,對不對?
[00:02:57.500 --> 00:03:00.500]  如果你每次跟這個人講的時候
[00:03:00.500 --> 00:03:03.500]  都是講兒女經而已
[00:03:03.500 --> 00:03:05.500]  可能你也未必是當他是朋友
[00:03:05.500 --> 00:03:07.500]  可能你是想諮詢一下意見
[00:03:07.500 --> 00:03:09.500]  如何教好子女
