
[00:00:00.000 --> 00:00:03.400]  天父,我們在主日的時候來到你面前
[00:00:03.400 --> 00:00:05.000]  向你敬拜
[00:00:05.000 --> 00:00:08.880]  感謝你是那位慈愛的天父
[00:00:08.880 --> 00:00:10.480]  愛我們的神
[00:00:10.480 --> 00:00:11.680]  我們讚美你
[00:00:11.680 --> 00:00:16.980]  你更加是那位創造宇宙和其中萬物的上帝
[00:00:16.980 --> 00:00:23.080]  你創造所有偉大的、巨型的
[00:00:23.080 --> 00:00:27.640]  你又創造那些很微小的、很幼細的
[00:00:27.640 --> 00:00:32.040]  所有在地上的生命都是因你度著
[00:00:32.040 --> 00:00:35.240]  有時那些可能成為我們的朋友
[00:00:35.240 --> 00:00:37.740]  有時可能成為我們的敵人
[00:00:37.740 --> 00:00:42.940]  但我們知道這些一切都是你所掌管的
[00:00:42.940 --> 00:00:46.440]  我們唯有來到你面前再一次謙卑我們自己
[00:00:46.440 --> 00:00:49.340]  我們來承認我們的有限
[00:00:49.340 --> 00:00:52.740]  但仰望你的偉大和全能
[00:00:52.740 --> 00:00:56.640]  更加感謝你的眷顧和保守
[00:00:56.640 --> 00:00:59.840]  讓我們能夠在無論什麼時候
[00:00:59.840 --> 00:01:01.340]  我們想到主
[00:01:01.340 --> 00:01:03.640]  我們就能夠有平安
[00:01:03.640 --> 00:01:05.340]  我們投靠你
[00:01:05.340 --> 00:01:08.340]  就能夠有真正的穩妥
[00:01:08.340 --> 00:01:12.740]  我們更加需要的就是來到你面前尋求你的面
[00:01:12.740 --> 00:01:15.040]  懇求你這個時候做一次的
[00:01:15.040 --> 00:01:17.840]  藉著聖靈光照我們的內心
[00:01:17.840 --> 00:01:21.640]  看看我們心裡有什麼惡行沒有
[00:01:21.640 --> 00:01:26.140]  叫我們能夠脫離這些纏繞我們的罪
[00:01:26.140 --> 00:01:29.340]  更加不能夠討你主喜悅的地方
[00:01:29.340 --> 00:01:31.440]  叫我們離開
[00:01:31.440 --> 00:01:36.740]  主我們很需要的就是以一個心靈和誠實
[00:01:36.740 --> 00:01:40.540]  靠著你的補血來到你面前向你敬拜
[00:01:40.540 --> 00:01:43.840]  因為我們知道我們親近你的時候
[00:01:43.840 --> 00:01:45.940]  你就與我們親近
[00:01:45.940 --> 00:01:49.040]  主我們為著在這個世界
[00:01:49.040 --> 00:01:51.940]  現在我們看到周圍的都是很混亂
[00:01:51.940 --> 00:01:53.640]  很多的不安
[00:01:53.640 --> 00:01:55.640]  充滿疾病
[00:01:55.640 --> 00:01:57.340]  充滿憂愁
[00:01:57.340 --> 00:02:00.640]  有很多的人正是在痛苦當中
[00:02:00.640 --> 00:02:02.740]  所以我們在這裡
[00:02:02.740 --> 00:02:06.940]  貼近這位能夠了解我們憂傷的主
[00:02:06.940 --> 00:02:08.740]  我們為這個世代
[00:02:08.740 --> 00:02:10.440]  為世人祈禱
[00:02:10.440 --> 00:02:14.940]  我們懇求天父你來醫治在疾病當中的人
[00:02:14.940 --> 00:02:20.740]  保守那些正是在非常壓力困難的人當中
[00:02:20.740 --> 00:02:22.540]  來賜下平安
[00:02:22.540 --> 00:02:27.940]  讓他們有一些在家人被隔離的
[00:02:27.940 --> 00:02:30.240]  憂心他們生命的安全的
[00:02:30.240 --> 00:02:34.040]  主你更加來安慰他們幫助他們
[00:02:34.040 --> 00:02:35.240]  主在這個時候
[00:02:35.240 --> 00:02:37.740]  你叫我們來到你面前
[00:02:37.740 --> 00:02:40.740]  可以來尋求這位生命的主在
[00:02:40.740 --> 00:02:43.640]  更加知道我們生命有限的時候
[00:02:43.640 --> 00:02:47.440]  叫我們轉眼仰望你所賜給我們
[00:02:47.440 --> 00:02:50.940]  無比的救恩和永恆的盼望
[00:02:50.940 --> 00:02:53.840]  主正如我們剛才唱的詩歌一樣
[00:02:53.840 --> 00:02:57.340]  我們感謝你給我們有永生的盼望
[00:02:57.340 --> 00:02:58.940]  永恆的盼望
[00:02:58.940 --> 00:03:05.540]  主這個實在成為我們人生何等短暫無奈的時候
[00:03:05.540 --> 00:03:06.840]  最大的保障
[00:03:06.840 --> 00:03:11.040]  因為我們知道總有一天我們會離開這個世界
[00:03:11.040 --> 00:03:13.340]  但是如果我們沒有永生
[00:03:13.340 --> 00:03:15.540]  我們就一無所有
[00:03:15.540 --> 00:03:16.940]  甚至沉淪
[00:03:16.940 --> 00:03:22.040]  我們懇求你給我們有這個熱切的盼望
[00:03:22.040 --> 00:03:25.740]  仰望你所賜給我們更大的祝福
[00:03:25.740 --> 00:03:28.240]  主我們也在這裡感謝你
[00:03:28.240 --> 00:03:31.740]  因為在這段非常困難的時候
[00:03:31.740 --> 00:03:36.740]  有很多醫護人員、前線人員、服事人的人
[00:03:36.740 --> 00:03:40.940]  他們特別顯出那種人性的美麗
[00:03:40.940 --> 00:03:46.040]  能夠可以激勵到很多從你而來的那種愛心
[00:03:46.040 --> 00:03:48.440]  主我們特別的求你加添
[00:03:48.440 --> 00:03:49.640]  賜下忍耐
[00:03:49.640 --> 00:03:51.240]  賜下愛心
[00:03:51.240 --> 00:03:56.340]  能夠叫更多的人能夠找到這個愛的根源就是你
[00:03:56.340 --> 00:04:00.340]  又感謝你在這些困難的時刻
[00:04:00.340 --> 00:04:04.240]  我們又見到家人能夠彼此的關顧
[00:04:04.240 --> 00:04:05.840]  互相的饒恕
[00:04:05.840 --> 00:04:07.440]  我們感謝你
[00:04:07.440 --> 00:04:10.940]  屬你的子民也能夠互相代討
[00:04:10.940 --> 00:04:12.640]  彼此的關懷
[00:04:12.640 --> 00:04:14.140]  付出愛心
[00:04:14.140 --> 00:04:17.740]  主在這些一切都是你透過這些的試煉
[00:04:17.740 --> 00:04:20.140]  幫助我們能夠更進一步
[00:04:20.140 --> 00:04:21.940]  主我們為了這些一切
[00:04:21.940 --> 00:04:23.740]  我們獻上感謝
[00:04:23.740 --> 00:04:25.540]  也都為了這些一切
[00:04:25.540 --> 00:04:27.940]  我們祈求你再加添力量
[00:04:27.940 --> 00:04:31.040]  加添你自己的恩惠與平安
[00:04:31.040 --> 00:04:33.040]  給所有屬你的人
[00:04:33.040 --> 00:04:34.940]  主我們特別為了一些的肢體
[00:04:34.940 --> 00:04:40.440]  他們在這期間有不同的面對的困難
[00:04:40.440 --> 00:04:42.740]  有些是身體的疾病
[00:04:42.740 --> 00:04:45.040]  有些是經濟的困難
