
[00:00:00.000 --> 00:00:02.000]  早晨,各位大英姊妹
[00:00:02.000 --> 00:00:06.000]  今天很開心來到誠會教會
[00:00:06.000 --> 00:00:08.000]  跟大家分享訊息
[00:00:08.000 --> 00:00:13.000]  這次是我第一次親身來到誠會教會
[00:00:13.000 --> 00:00:17.000]  所以我很榮幸馬sir邀請我來到誠會教會
[00:00:17.000 --> 00:00:20.000]  來到這裡,我就為誠會教會很感恩
[00:00:20.000 --> 00:00:24.000]  原來這裡比我想像中更加Cyber
[00:00:24.000 --> 00:00:26.000]  更加Modern
[00:00:26.000 --> 00:00:30.000]  敬拜隊也很棒,所以給點掌聲剛才的敬拜隊
[00:00:30.000 --> 00:00:32.000]  我覺得我來到芝加哥之後
[00:00:32.000 --> 00:00:35.000]  很少聽到一個廣東話的崇拜
[00:00:35.000 --> 00:00:38.000]  是有這麼現代的敬拜隊
[00:00:38.000 --> 00:00:40.000]  通常英文的教會就會多一點
[00:00:40.000 --> 00:00:42.000]  所以我也很榮幸
[00:00:42.000 --> 00:00:45.000]  很開心可以在這裡參與大家的崇拜
[00:00:45.000 --> 00:00:46.000]  以及一起分享訊息
[00:00:46.000 --> 00:00:49.000]  今天我要分享的主題是
[00:00:49.000 --> 00:00:52.000]  耶穌的騎尼加普
[00:00:52.000 --> 00:00:56.000]  我要分享的經文是馬太風音的第一章
[00:00:56.000 --> 00:00:57.000]  一至十七節
[00:00:57.000 --> 00:01:00.000]  我猜這段經文應該是
[00:01:00.000 --> 00:01:02.000]  或者可能是
[00:01:02.000 --> 00:01:04.000]  整本馬太風音裡面
[00:01:04.000 --> 00:01:06.000]  大家最少看的經文
[00:01:06.000 --> 00:01:07.000]  我不知道是不是
[00:01:07.000 --> 00:01:08.000]  但我就是
[00:01:08.000 --> 00:01:09.000]  不知道大家是不是
[00:01:09.000 --> 00:01:10.000]  在我小時候
[00:01:10.000 --> 00:01:13.000]  通常靈修看馬太風音的時候
[00:01:13.000 --> 00:01:14.000]  最好的方法是什麼呢
[00:01:14.000 --> 00:01:17.000]  就是快點skip了這段的加普
[00:01:17.000 --> 00:01:19.000]  我就可以少看十七節
[00:01:19.000 --> 00:01:21.000]  這是非常非常化算的方法
[00:01:21.000 --> 00:01:24.000]  很快就可以看完整本馬太風音了
[00:01:24.000 --> 00:01:27.000]  不過馬太這位風音書的作者
[00:01:27.000 --> 00:01:29.000]  將耶穌基督的加普
[00:01:29.000 --> 00:01:33.000]  放在整本風音書的最開頭
[00:01:33.000 --> 00:01:36.000]  一定有一個很重要的目的
[00:01:36.000 --> 00:01:39.000]  所以今天我們就留心去看
[00:01:39.000 --> 00:01:42.000]  這個加普究竟想說些什麼
[00:01:42.000 --> 00:01:44.000]  今天我的講題剛才說過
[00:01:44.000 --> 00:01:47.000]  是耶穌的騎尼加普
[00:01:47.000 --> 00:01:49.000]  所以我們會集中去看看
[00:01:49.000 --> 00:01:53.000]  究竟這個加普有什麼騎尼的地方
[00:01:53.000 --> 00:01:56.000]  我們先去看看這個加普的標題
[00:01:56.000 --> 00:01:58.000]  這個加普的標題是
[00:01:58.000 --> 00:02:00.000]  耶穌基督大衛的兒子
[00:02:00.000 --> 00:02:03.000]  亞伯拉罕的兒子的加普
[00:02:03.000 --> 00:02:04.000]  透過這個標題
[00:02:04.000 --> 00:02:05.000]  我們可以看到
[00:02:05.000 --> 00:02:08.000]  這個加普有兩個重要的人物
[00:02:08.000 --> 00:02:10.000]  第一個是大衛
[00:02:10.000 --> 00:02:12.000]  而第二個就是亞伯拉罕
[00:02:12.000 --> 00:02:15.000]  我們首先會去看看
[00:02:15.000 --> 00:02:19.000]  這個加普究竟怎樣圍繞著大衛
[00:02:19.000 --> 00:02:21.000]  不知道大家有沒有想過
[00:02:21.000 --> 00:02:23.000]  為什麼這個加普
[00:02:23.000 --> 00:02:25.000]  由亞伯拉罕去到耶穌
[00:02:25.000 --> 00:02:28.000]  會剛剛好有三個十四代呢
[00:02:28.000 --> 00:02:30.000]  不知道大家有沒有聽過
[00:02:30.000 --> 00:02:31.000]  為什麼是十四
[00:02:31.000 --> 00:02:33.000]  為什麼是十四個數字
[00:02:33.000 --> 00:02:35.000]  大家有沒有聽過呢
[00:02:35.000 --> 00:02:36.000]  如果我們比較一下
