
[00:00:00.000 --> 00:00:03.000]  各位大兄姐妹,都快要午安了
[00:00:03.000 --> 00:00:13.000]  今天我們所讀的這段聖經是在肥勒比書
[00:00:13.000 --> 00:00:17.000]  但是我們必須要記得,肥勒比書是保羅在監獄裡寫的
[00:00:17.000 --> 00:00:20.000]  他寫這本書的時候,他正在坐牢
[00:00:20.000 --> 00:00:24.000]  如果我們熟悉肥勒比書的話
[00:00:24.000 --> 00:00:27.000]  我們如果不知道這個背景
[00:00:27.000 --> 00:00:31.000]  我們會對裡面所說的一些事物
[00:00:31.000 --> 00:00:35.000]  會產生很多的疑慮,很多的疑問
[00:00:35.000 --> 00:00:37.000]  這個人到底是一個什麼樣的人呢
[00:00:37.000 --> 00:00:40.000]  比方說我們在讀肥勒比書的時候
[00:00:40.000 --> 00:00:43.000]  他經常都教我們說你要喜樂
[00:00:43.000 --> 00:00:46.000]  我再說你們要常常喜樂
[00:00:46.000 --> 00:00:48.000]  經常都教我們要喜樂的
[00:00:48.000 --> 00:00:50.000]  但是你知道他正在坐牢嘛
[00:00:50.000 --> 00:00:56.000]  所以我們很多時候不知道他的背景
[00:00:57.000 --> 00:00:59.000]  來讀肥勒比書的話
[00:00:59.000 --> 00:01:02.000]  我們會比較好過一點
[00:01:02.000 --> 00:01:04.000]  但是如果我們知道那個背景的話
[00:01:04.000 --> 00:01:05.000]  再來讀的話
[00:01:05.000 --> 00:01:08.000]  我們會覺得匪夷所思
[00:01:08.000 --> 00:01:12.000]  為什麼要在一個這麼不如意的環境裡
[00:01:12.000 --> 00:01:15.000]  保羅還教我們要喜樂呢
[00:01:15.000 --> 00:01:16.000]  不只是這樣
[00:01:16.000 --> 00:01:19.000]  他在監獄裡又教我們謙卑
[00:01:19.000 --> 00:01:21.000]  又教我們學校主耶穌
[00:01:21.000 --> 00:01:25.000]  因為他在經文裡
[00:01:25.000 --> 00:01:27.000]  這個聖經翻譯的書
[00:01:27.000 --> 00:01:30.000]  翻譯得比較像是
[00:01:30.000 --> 00:01:34.000]  讀起來很漏口
[00:01:34.000 --> 00:01:35.000]  在第五節
[00:01:35.000 --> 00:01:37.000]  你們當以基督耶穌的心為心
[00:01:37.000 --> 00:01:38.000]  第六節他說
[00:01:38.000 --> 00:01:40.000]  本有上帝的形象
[00:01:40.000 --> 00:01:41.000]  卻不堅持
[00:01:41.000 --> 00:01:44.000]  卻不以與上帝同等為強奪的
[00:01:44.000 --> 00:01:46.000]  什麼叫強奪呢
[00:01:46.000 --> 00:01:49.000]  因為我們讀了幾十年都讀強奪強奪強奪
[00:01:49.000 --> 00:01:53.000]  實際上的意思就是說
[00:01:53.000 --> 00:01:56.000]  他知道他自己與上帝同等
[00:01:56.000 --> 00:01:59.000]  但是從來不以與上帝同等的
[00:01:59.000 --> 00:02:02.000]  有與上帝同等的權柄
[00:02:02.000 --> 00:02:05.000]  不以與上帝有同等的能力
[00:02:05.000 --> 00:02:07.000]  如果我用廣東話來說的話
[00:02:07.000 --> 00:02:10.000]  就阿茲阿佐也就是也沒有
[00:02:10.000 --> 00:02:14.000]  所謂不以與上帝同等為強奪的
[00:02:14.000 --> 00:02:17.000]  就是說耶穌基督
[00:02:17.000 --> 00:02:22.000]  不以自己有上帝這樣相同的權柄和能力
[00:02:22.000 --> 00:02:26.000]  而向上帝也文也武阿茲阿佐
[00:02:26.000 --> 00:02:29.000]  這樣我們就比較明白一點
[00:02:29.000 --> 00:02:32.000]  換言之他有上帝同等的地位
[00:02:32.000 --> 00:02:38.000]  與上帝同等的能力與權柄的話
[00:02:38.000 --> 00:02:39.000]  保羅的理解就是說
[00:02:39.000 --> 00:02:42.000]  他可以也文也武的
[00:02:42.000 --> 00:02:43.000]  但是他沒有
[00:02:43.000 --> 00:02:46.000]  他叫我們在生命裡面
[00:02:46.000 --> 00:02:49.000]  如果耶穌基督都是這樣的話
[00:02:49.000 --> 00:02:51.000]  我們更加要這樣
[00:02:51.000 --> 00:02:53.000]  所以在第八節那裡就說
[00:02:53.000 --> 00:02:55.000]  第七節他說
[00:02:55.000 --> 00:02:57.000]  耶穌基督反倒虛己
[00:02:57.000 --> 00:03:00.000]  取了徒伯的形象成為人的樣式
[00:03:00.000 --> 00:03:03.000]  既有人的樣子就謙卑自己
[00:03:03.000 --> 00:03:05.000]  全心信服以至於死
[00:03:05.000 --> 00:03:07.000]  死在十字架上面
[00:03:07.000 --> 00:03:09.000]  所以上帝將他升為至高
[00:03:09.000 --> 00:03:12.000]  賜給他超乎萬名之上的名
[00:03:12.000 --> 00:03:15.000]  在這天上地上地底下的因耶穌的名
[00:03:15.000 --> 00:03:18.000]  都要屈膝跪下
[00:03:18.000 --> 00:03:21.000]  當我們讀這福利比書的時候
[00:03:21.000 --> 00:03:24.000]  如果我們明白保羅的背景
[00:03:24.000 --> 00:03:26.000]  我們就更能夠明白
[00:03:26.000 --> 00:03:29.000]  也更能夠欽佩他這個人
[00:03:29.000 --> 00:03:32.000]  上帝將重大的責任交給他
[00:03:32.000 --> 00:03:34.000]  讓他可以在教會裡面
[00:03:34.000 --> 00:03:37.000]  為上帝做大的工作
[00:03:37.000 --> 00:03:39.000]  我們知道現在這個時代
[00:03:39.000 --> 00:03:40.000]  是一個很混亂的時代
[00:03:40.000 --> 00:03:43.000]  也是一個很不客氣的時代
[00:03:43.000 --> 00:03:45.000]  非敵即友的時代
[00:03:45.000 --> 00:03:47.000]  讓人覺得你不站在我這邊
[00:03:47.000 --> 00:03:49.000]  你就是我的敵人
[00:03:49.000 --> 00:03:52.000]  但是保羅在這裡又教導我們
[00:03:52.000 --> 00:03:58.000]  我們不可以有自私自利
[00:03:58.000 --> 00:04:00.000]  不可以貪圖居為
[00:04:00.000 --> 00:04:01.000]  心存謙卑
[00:04:01.000 --> 00:04:04.000]  各人看別人比自己強
[00:04:04.000 --> 00:04:06.000]  各人不要單顧自己的事
[00:04:06.000 --> 00:04:08.000]  也要顧別人的事
[00:04:08.000 --> 00:04:11.000]  我們說保羅你活在一個什麼世界裡面
[00:04:11.000 --> 00:04:14.000]  為什麼你可以教人這樣做呢
[00:04:14.000 --> 00:04:17.000]  我們活的世界和你的世界完全不一樣
[00:04:17.000 --> 00:04:20.000]  我們的世界是弱肉強食的
[00:04:20.000 --> 00:04:22.000]  你弱一點也不行
[00:04:22.000 --> 00:04:24.000]  每個人出來就算弱
[00:04:24.000 --> 00:04:27.000]  也要擺一個強者的姿勢
[00:04:27.000 --> 00:04:30.000]  我們在這個世界裡面經常說
[00:04:30.000 --> 00:04:33.000]  我大聲不代表我什麼
[00:04:33.000 --> 00:04:34.000]  沒禮貌
[00:04:34.000 --> 00:04:36.000]  我不出聲呢
[00:04:36.000 --> 00:04:39.000]  不代表我是弱者
[00:04:39.000 --> 00:04:42.000]  我不出聲就不要以為我好欺負
[00:04:42.000 --> 00:04:45.000]  我們都是要用一個樣子
[00:04:45.000 --> 00:04:47.000]  一個態度來表明
