
[00:00:00.000 --> 00:00:06.000]  今天我的題目是「作神的兒子或作神的兒女」
[00:00:06.000 --> 00:00:10.000]  今日的經文是羅馬書第八章
[00:00:10.000 --> 00:00:13.000]  由十四節到十七節
[00:00:13.000 --> 00:00:15.000]  因為經文比較短
[00:00:15.000 --> 00:00:18.000]  不如我們一起讀讀這四節聖經
[00:00:18.000 --> 00:00:19.000]  準備,一二三
[00:00:30.000 --> 00:00:51.000]  (英文)
[00:00:51.000 --> 00:00:53.000]  一童的榮耀
[00:00:53.000 --> 00:00:54.000]  很短的四節聖經
[00:00:54.000 --> 00:00:57.000]  當我自己去思考這四節聖經的時候
[00:00:57.000 --> 00:01:01.000]  為什麼我上星期會和譚太去商討
[00:01:01.000 --> 00:01:03.000]  可以在上星期講多兩節
[00:01:03.000 --> 00:01:05.000]  這個星期講少兩節
[00:01:05.000 --> 00:01:07.000]  後來我真的有點後悔
[00:01:07.000 --> 00:01:09.000]  四節聖經有什麼要講
[00:01:09.000 --> 00:01:13.000]  當我自己再去思考這四節聖經的時候
[00:01:13.000 --> 00:01:17.000]  我覺得神給我一個很特別的提醒
[00:01:17.000 --> 00:01:18.000]  這個提醒就是
[00:01:18.000 --> 00:01:23.000]  原來這四節聖經是非常重要的四節聖經
[00:01:23.000 --> 00:01:24.000]  當然你會說
[00:01:24.000 --> 00:01:27.000]  你經常說這四節聖經很重要
[00:01:27.000 --> 00:01:29.000]  真的,我相信神的話語
[00:01:29.000 --> 00:01:31.000]  每一句說話都重要
[00:01:31.000 --> 00:01:33.000]  當我自己去思考這四節聖經的時候
[00:01:33.000 --> 00:01:37.000]  我覺得對我們今日可能有很多的信徒
[00:01:37.000 --> 00:01:39.000]  可能有很多的提醒
[00:01:39.000 --> 00:01:40.000]  這個提醒就是
[00:01:40.000 --> 00:01:42.000]  今日很多時候我們在坊間
[00:01:42.000 --> 00:01:44.000]  聽到一些基督徒
[00:01:44.000 --> 00:01:46.000]  他們很多時候都會這樣說
