
[00:00:00.000 --> 00:00:04.000]  早上好 讓我們在聆聽主導以先
[00:00:04.000 --> 00:00:11.000]  讓我們再次同心低頭禱告 仰望主我們的神
[00:00:11.000 --> 00:00:15.000]  慈悲天父 多謝祢 讓我們能夠再次回到祢寶貴說話的面前
[00:00:15.000 --> 00:00:20.000]  一起同心去學習 明白上帝祢的心思意念
[00:00:20.000 --> 00:00:25.000]  讓我們對上主祢的屬性更深入的了解
[00:00:25.000 --> 00:00:31.000]  祢讓我們真的認定我們這位主 我們的神 並且對祢有更進一步的認識
[00:00:31.000 --> 00:00:37.000]  好使我們的屬靈生命 隨著祢的聖靈引導
[00:00:37.000 --> 00:00:40.000]  能夠使我們與祢更加貼近
[00:00:40.000 --> 00:00:45.000]  我們將這段時間恭敬交上 求祢的帶領
[00:00:45.000 --> 00:00:49.000]  我們同心的禱告 奉靠主耶穌基督 得聖的名字以求
[00:00:49.000 --> 00:00:58.000]  在最近因為疫情緣故 過了一段時間
[00:00:58.000 --> 00:01:07.000]  我家裡的冷暖氣槽都很髒
[00:01:07.000 --> 00:01:10.000]  因為我家裡有養兔等等
[00:01:10.000 --> 00:01:22.000]  於是最近我找了一位清理氣槽公司的人士來幫我做清潔的工夫
[00:01:22.000 --> 00:01:28.000]  在這個過程當中 與他傾談
[00:01:28.000 --> 00:01:35.000]  其中一位是老闆 我與他傾談過去這段時間你如何
[00:01:35.000 --> 00:01:41.000]  你也知道我們作為基督徒 都是趁著這個機會
[00:01:41.000 --> 00:01:45.000]  去嘗試關心身邊能夠接觸到的人
[00:01:45.000 --> 00:01:51.000]  或者透過這個機會 讓他們多理解認識上帝是怎樣的一位神
[00:01:51.000 --> 00:01:59.000]  於是這位清潔公司的老闆就這樣對我說
[00:01:59.000 --> 00:02:05.000]  我很感謝上帝 如何感謝上帝
[00:02:05.000 --> 00:02:15.000]  在COVID-19 非典型肺炎 新冠狀病毒肺炎
[00:02:15.000 --> 00:02:22.000]  未開始之先的六個月 我突然找到一份工作
[00:02:22.000 --> 00:02:27.000]  就是負責開校巴 這份工作很好賺錢
[00:02:27.000 --> 00:02:32.000]  我跟他說 好賺錢的原因是因為工時短
[00:02:32.000 --> 00:02:39.000]  但工錢也挺高的 因此他做了六個月的時間
[00:02:39.000 --> 00:02:46.000]  接著就到COVID-19 新冠病毒肺炎的肆虐
[00:02:46.000 --> 00:02:52.000]  全部的行業要停下來 包括他這些清理氣槽的公司
[00:02:52.000 --> 00:02:57.000]  就像我一樣 我也不想有人來我家 他說全部停下來
[00:02:57.000 --> 00:03:04.000]  但也因為這樣的緣故 所以於是乎在做了六個月
[00:03:04.000 --> 00:03:12.000]  在政府的支援和這間校巴公司的申報過程當中
[00:03:12.000 --> 00:03:18.000]  繼續出糧給他 足足出了一年半的時間給他
[00:03:18.000 --> 00:03:24.000]  他說真的值得感謝上帝 我聽完他這樣說的時候
[00:03:24.000 --> 00:03:29.000]  我就跟他說 你不但要去感謝上帝
[00:03:29.000 --> 00:03:34.000]  你還要認識一下 這個上帝是怎樣的一位上帝
[00:03:34.000 --> 00:03:41.000]  但在這個討論的過程當中 就誘發了一個反思
[00:03:41.000 --> 00:03:50.000]  就是很多時候在教會裏面 教會的信徒都是用這種講述方式
[00:03:50.000 --> 00:03:57.000]  來表達出他是屬於上帝的子民
[00:03:57.000 --> 00:04:03.000]  所以我們經常會在教會裏面 會聽見無論在報道會裏面
[00:04:03.000 --> 00:04:17.000]  或者有些弟兄姊妹在分享見證的過程當中 都很喜歡講述自己如何領受天恩的這份福氣
[00:04:17.000 --> 00:04:25.000]  因為在他們的思想或者信仰裏面 他們都潛意識地有這種想法
[00:04:25.000 --> 00:04:36.000]  只要一個人當他嘗到天恩的滋味 或者享受到上帝給他的恩典
[00:04:36.000 --> 00:04:43.000]  或者用一個更詩繪的講法 收受到上帝的一些益處的時候
[00:04:43.000 --> 00:04:52.000]  那就證明了你是真正神的子民 如果不是神 就不會給我這樣的祝福
[00:04:52.000 --> 00:05:00.000]  這種邏輯開始給我思想到一條問題
[00:05:00.000 --> 00:05:08.000]  是否一個人當他能夠享受到天恩 或者上帝的所謂祝福
[00:05:08.000 --> 00:05:18.000]  或者上帝帶來的好處 無論是他自己覺得是 還是真真正正上帝是在他身上做的
[00:05:18.000 --> 00:05:24.000]  是跟一個人的得救是有直接的關係
[00:05:24.000 --> 00:05:28.000]  因為一個人得救 才可以證明那個人是屬神的子民
[00:05:28.000 --> 00:05:34.000]  既然如果這樣講 一個人領受到神的祝福 上帝的好處
[00:05:34.000 --> 00:05:37.000]  那麼這個人一定就是得救的
[00:05:37.000 --> 00:05:41.000]  我就有發動我去思想這條問題
[00:05:41.000 --> 00:05:47.000]  而今天我和大家一起去看的馬太福音第八章十四節至十七節
[00:05:47.000 --> 00:05:54.000]  其實就是對於這個問題 更進一步藉著耶穌基督祂的侍奉過程當中
[00:05:54.000 --> 00:05:59.000]  讓我們去進入一個更深入的探討
[00:05:59.000 --> 00:06:04.000]  讓我們在這個探討的過程當中 去再次思想一下
[00:06:04.000 --> 00:06:10.000]  其實究竟信主是一回什麼事情
[00:06:10.000 --> 00:06:17.000]  而我們作為一個神的子民 又說是上帝的天恩的人
[00:06:17.000 --> 00:06:24.000]  其實我們是不是真的了解上帝的心是怎樣的一位上帝呢
[00:06:24.000 --> 00:06:27.000]  我希望今天透過這段經文 能夠和大家帶領姊妹一起
[00:06:27.000 --> 00:06:30.000]  在這個題目上面更深入的去理解
[00:06:30.000 --> 00:06:33.000]  也都盼望這段經文能夠給我們更多的啟發
[00:06:33.000 --> 00:06:37.000]  對於我們對聖經的理解是能夠更加準確
[00:06:37.000 --> 00:06:42.000]  特別是對神的心是怎樣的呢
[00:06:42.000 --> 00:06:44.000]  我們有一個更進一步的理解
[00:06:44.000 --> 00:06:48.000]  不如這樣 我們再次一起打開這段聖經
[00:06:48.000 --> 00:06:54.000]  讀一下這段經文 馬太福音第八章十四節至十七節
[00:06:54.000 --> 00:06:57.000]  我們先熟悉一下這段經文的內容
[00:06:57.000 --> 00:07:04.000]  雖然這段經文經常久不久就會被傳道人 弟兄姊妹信徒拿出來講
[00:07:04.000 --> 00:07:09.000]  但仔細的內容是怎樣的呢 我們再讀一下 好不好
[00:07:09.000 --> 00:07:13.000]  我們一起讀和合本的版本
[00:07:13.000 --> 00:07:15.000]  如果你是用其他的版本也可以跟隨
[00:07:15.000 --> 00:07:17.000]  如果你是用英語的版本
[00:07:17.000 --> 00:07:25.000]  你只需要翻到The Gospel of Matthew 8:14-17
[00:07:25.000 --> 00:07:29.000]  打開之後一起讀
[00:07:29.000 --> 00:07:38.000]  耶穌到了彼得家裡 見彼得的岳母害熱病躺著
[00:07:38.000 --> 00:07:47.000]  耶穌把她的手一摸 熱就退了 她就起來服侍耶穌
[00:07:47.000 --> 00:07:55.000]  到了晚上 有人帶著許多被鬼附的來到耶穌跟前
[00:07:55.000 --> 00:08:00.000]  他只用一句話 就把鬼都趕出去
[00:08:00.000 --> 00:08:04.000]  並且治好了一切有病的人
[00:08:04.000 --> 00:08:09.000]  這時要應驗先知以塞亞的話說
[00:08:09.000 --> 00:08:15.000]  他代替我們的軟弱 擔當我們的疾病
[00:08:15.000 --> 00:08:19.000]  今天這段經文我會分開兩個部份和大家一起去看
[00:08:19.000 --> 00:08:22.000]  第一個部份是第十四節和第十五節
[00:08:22.000 --> 00:08:25.000]  這部份我想和大家一起去看
[00:08:25.000 --> 00:08:31.000]  神的屬性原來是我們拯救的來源
[00:08:31.000 --> 00:08:33.000]  我們看回這段經文的開始
