
[00:00:00.000 --> 00:00:03.600]  在開始之前我們先一同同心祈禱
[00:00:03.600 --> 00:00:07.120]  周圍的主我們感謝讚美祢
[00:00:07.120 --> 00:00:08.840]  多謝祢招聚我們
[00:00:08.840 --> 00:00:11.560]  以至於我們能夠成為祢的子民
[00:00:11.560 --> 00:00:17.240]  主願今天祢的話語成為我們生命的提醒和動力
[00:00:17.240 --> 00:00:20.440]  以至於日式間無論聽的、說的
[00:00:20.440 --> 00:00:25.000]  願祢的話語都在我們心中栽種
[00:00:25.000 --> 00:00:28.880]  以至於我們的生命能夠活出上帝祢的旨意
[00:00:29.000 --> 00:00:33.160]  我們這樣禱告是奉靠主耶穌基督的聖名自祈求
[00:00:33.160 --> 00:00:34.120]  阿們
[00:00:34.120 --> 00:00:38.920]  法國有一位叫做蘭瑟神父
[00:00:38.920 --> 00:00:43.600]  他一生有幾萬次親身到臨終者的床前
[00:00:43.600 --> 00:00:46.360]  去安撫他們和為他們祈禱
[00:00:46.360 --> 00:00:49.400]  更加聆聽他們的懺悔
[00:00:49.400 --> 00:00:52.360]  他將那些人的臨終遺言
[00:00:52.360 --> 00:00:55.360]  記錄在六十多本的日記裡
[00:00:55.360 --> 00:00:57.600]  當他年紀漸漸大了
[00:00:57.840 --> 00:01:00.120]  他就很想將這些日記的內容
[00:01:00.120 --> 00:01:03.640]  編寫成一本叫做《最後的話》的書
[00:01:03.640 --> 00:01:06.200]  可以將這些臨終的遺言
[00:01:06.200 --> 00:01:08.800]  作為對後世人的提醒
[00:01:08.800 --> 00:01:12.000]  但當要出版這本書的時候
[00:01:12.000 --> 00:01:12.920]  很可惜
[00:01:12.920 --> 00:01:15.040]  一上一場大火
[00:01:15.040 --> 00:01:18.280]  一把火就燒了他所有的日記
[00:01:18.280 --> 00:01:23.600]  而這位年時已經九十歲的蔡瑟神父
[00:01:23.600 --> 00:01:26.920]  已經沒有辦法記憶回他的日記內容
[00:01:27.240 --> 00:01:30.240]  所以這本書就不能夠出版了
[00:01:30.240 --> 00:01:32.160]  真的很可惜
[00:01:32.160 --> 00:01:36.160]  否則這本《最後話語》的書
[00:01:36.160 --> 00:01:38.640]  可能都成為我們很多的提醒
[00:01:38.640 --> 00:01:42.360]  蔡瑟神父在他九十四歲臨終之前
[00:01:42.360 --> 00:01:45.520]  就將一個公文袋交給他的朋友
[00:01:45.520 --> 00:01:48.880]  他說裡面寫了他最後的話
[00:01:48.880 --> 00:01:52.400]  後人就將他這一番最後的話
[00:01:52.400 --> 00:01:56.240]  以他的首跡刻在他的墓碑上
[00:01:56.920 --> 00:01:58.320]  碑文是這樣寫的
[00:01:58.320 --> 00:02:01.920]  「假如時光可以倒流
[00:02:01.920 --> 00:02:06.480]  世上將有一半的人可以成為偉人」
[00:02:06.480 --> 00:02:08.360]  「托 托 托」
[00:02:08.360 --> 00:02:13.400]  這句最後的話語是以「省略號」作結的
[00:02:13.400 --> 00:02:16.880]  一個語味深長的「省略號」
[00:02:16.880 --> 00:02:21.680]  裡面帶著的可能是疑惑
[00:02:21.680 --> 00:02:23.480]  又或者是盼望
[00:02:24.120 --> 00:02:27.040]  假如時光可以倒流
[00:02:27.040 --> 00:02:30.240]  有什麼片段或者決定
[00:02:30.240 --> 00:02:32.680]  你是想重新選擇的呢?
[00:02:32.680 --> 00:02:36.440]  可能很多人都盼望時光倒流
[00:02:36.440 --> 00:02:37.840]  重新選擇
[00:02:37.840 --> 00:02:41.560]  因為每一個人總會有一些過去
[00:02:41.560 --> 00:02:43.920]  說過的話或者行為
[00:02:43.920 --> 00:02:46.240]  而感到懊悔或者愧疚
[00:02:46.240 --> 00:02:50.240]  能夠真正問心無愧的人又有多少個呢?
[00:02:51.240 --> 00:02:55.680]  事實上可能有時當夜闌人靜的時候
[00:02:55.680 --> 00:02:59.960]  就會突然想起這些過去說過的話或者行為
[00:02:59.960 --> 00:03:02.800]  為什麼當時自己那麼衝動呢?
[00:03:02.800 --> 00:03:04.920]  為什麼自己那麼蠢呢?
[00:03:04.920 --> 00:03:09.000]  甚至可能會想為什麼自己那麼邪惡呢?
[00:03:09.000 --> 00:03:10.880]  可能都會希望
[00:03:10.880 --> 00:03:12.800]  未說過那些話
[00:03:12.800 --> 00:03:14.480]  未做過那些事
[00:03:14.480 --> 00:03:16.880]  這樣就不會有遺憾了
[00:03:16.880 --> 00:03:19.760]  我們都盼望有時光倒流
[00:03:20.000 --> 00:03:21.720]  故事可以改寫
[00:03:21.720 --> 00:03:25.840]  或者這樣可以令到我們有一個完美的結局
