
[00:00:00.000 --> 00:00:01.000]  頂著祂的平安
[00:00:01.000 --> 00:00:02.900]  凍不凍啊?
[00:00:02.900 --> 00:00:04.400]  凍啊
[00:00:04.400 --> 00:00:06.000]  雖然今天有點太陽
[00:00:06.000 --> 00:00:07.340]  但是還是寒冷日子
[00:00:07.340 --> 00:00:08.900]  請大家保重身體
[00:00:08.900 --> 00:00:10.440]  真的要添多點衣
[00:00:10.440 --> 00:00:11.540]  喝多點暖水
[00:00:11.540 --> 00:00:13.640]  好,讓我們先一起去祈禱
[00:00:13.640 --> 00:00:15.900]  天父上帝,我們多謝祢
[00:00:15.900 --> 00:00:17.100]  在寒冷的天氣
[00:00:17.100 --> 00:00:19.200]  祢仍然招待我們在祢的殿當中
[00:00:19.200 --> 00:00:20.400]  去經歷祢的豐富
[00:00:20.400 --> 00:00:22.000]  祢的溫暖和祢的精彩
[00:00:22.000 --> 00:00:25.300]  祢的陽光再一次照進我們生命當中
[00:00:25.300 --> 00:00:26.100]  驅走黑暗
[00:00:26.100 --> 00:00:27.600]  願祢恩待
[00:00:27.600 --> 00:00:28.300]  開我們耳朵
[00:00:28.300 --> 00:00:29.500]  讓我們留心聆聽
[00:00:29.500 --> 00:00:30.400]  開我們眼睛
[00:00:30.400 --> 00:00:32.100]  讓我們能夠瞻仰祢的榮光
[00:00:32.100 --> 00:00:33.600]  有願無仁口中的言語
[00:00:33.600 --> 00:00:35.000]  弟兄姐妹之間是心思意念
[00:00:35.000 --> 00:00:36.200]  蒙聖靈的啟迪
[00:00:36.200 --> 00:00:37.100]  蒙主的月立
[00:00:37.100 --> 00:00:39.300]  禱告奉耶穌基督的命求
[00:00:39.300 --> 00:00:40.400]  阿們
[00:00:40.400 --> 00:00:44.300]  弟兄姐妹,今天是張林奇的第四個主日
[00:00:44.300 --> 00:00:48.300]  你見到張林奇的燭環上面點起了四支蠟燭
[00:00:48.300 --> 00:00:54.000]  四支蠟燭象徵著盼望、信心、喜樂和平安
[00:00:54.000 --> 00:00:55.900]  今天的主題是平安
[00:00:55.900 --> 00:00:57.700]  今天是平安夜
[00:00:57.700 --> 00:01:02.200]  今晚可能很多弟兄姐妹都來到我們晚上有一個燭光的晚會
[00:01:02.200 --> 00:01:04.200]  期盼上主賜平安
[00:01:04.200 --> 00:01:06.200]  在剛才聽到不同的經課當中
[00:01:06.200 --> 00:01:07.700]  你都會聽到有些描述
[00:01:07.700 --> 00:01:10.200]  有說到有很多的衝突爭戰
[00:01:10.200 --> 00:01:14.200]  但是上帝讓人去經歷祂的同在那份安靜
[00:01:14.200 --> 00:01:19.000]  更提到有很多的奧秘我們沒有辦法明白
[00:01:19.000 --> 00:01:22.900]  所以今天跟大家分享的是平安的福音
[00:01:22.900 --> 00:01:27.200]  並且跟大家分享一個在上主裡面很重要的奧秘
[00:01:27.200 --> 00:01:28.700]  也讓我們認識更多
[00:01:28.700 --> 00:01:32.700]  在剛才大家聽到的方書記載當中
[00:01:32.700 --> 00:01:35.200]  你會聽到耶穌出生的故事
[00:01:35.200 --> 00:01:38.700]  在耶穌出生的故事當中有很多很熟悉的畫面
[00:01:38.700 --> 00:01:41.700]  這個是耶穌出生之前的畫面
[00:01:41.700 --> 00:01:44.200]  今天晚上你可能會聽到一些經文
[00:01:44.200 --> 00:01:47.700]  又或者在聖誕節當中聽到最多的經文就是耶穌擔當
[00:01:47.700 --> 00:01:50.700]  我們有這些畫的景象
[00:01:50.700 --> 00:01:55.700]  有馬棚、博士、牧羊人
[00:01:55.700 --> 00:01:57.200]  有天使
[00:01:57.200 --> 00:02:01.200]  有很多不同的畫面我們會記得
[00:02:01.200 --> 00:02:02.700]  一些很熟悉
[00:02:02.700 --> 00:02:08.200]  可能每一年到了聖誕節期當中你都會聽到的內容
[00:02:08.200 --> 00:02:11.700]  但其實重申我們在這裡要認識一件很重要的事
[00:02:11.700 --> 00:02:14.700]  耶穌這個擔當是上帝極大的奧秘
[00:02:14.700 --> 00:02:16.700]  在今天的經課裡面
[00:02:16.700 --> 00:02:18.200]  其實剛剛羅馬書也提到很清楚
[00:02:18.200 --> 00:02:20.200]  這個奧秘是要顯現出來
[00:02:20.200 --> 00:02:22.200]  而這個奧秘的顯現
[00:02:22.200 --> 00:02:23.700]  正如羅馬書裡面提到
[00:02:23.700 --> 00:02:26.200]  就是上帝這樣導成肉身
[00:02:26.200 --> 00:02:27.700]  基督的顯現
[00:02:27.700 --> 00:02:30.200]  耶穌基督在這個顯現
[00:02:30.200 --> 00:02:33.700]  祂正正就是整個奧秘的核心
[00:02:33.700 --> 00:02:34.700]  導成了肉身
[00:02:34.700 --> 00:02:35.700]  導就是耶穌基督
[00:02:35.700 --> 00:02:38.700]  這是我們很熟悉的楊福音的描述
[00:02:38.700 --> 00:02:40.700]  盧家芳今天的描述
[00:02:40.700 --> 00:02:44.700]  描述了耶穌出生之前一個很重要的片段
[00:02:44.700 --> 00:02:46.200]  我們可以回去聖經
[00:02:46.200 --> 00:02:47.700]  可以再一次去聯想
[00:02:47.700 --> 00:02:50.200]  再一次去回憶這段經文
[00:02:50.200 --> 00:02:52.700]  究竟今天要跟我們說什麼話
[00:02:52.700 --> 00:02:54.700]  這裡的描述說一個狀態
[00:02:54.700 --> 00:02:56.700]  這個狀態就是當時有一個背景
[00:02:56.700 --> 00:02:58.200]  聖經裡面說
[00:02:58.200 --> 00:03:00.700]  這個背景開始一章二十六節說
[00:03:00.700 --> 00:03:01.700]  到了第六個月
[00:03:01.700 --> 00:03:02.700]  這個第六個月其實就是
[00:03:02.700 --> 00:03:05.700]  說伊利沙伯懷孕第六個月
[00:03:05.700 --> 00:03:10.700]  上帝很有趣地為瑪利亞預備了一個親戚
[00:03:10.700 --> 00:03:11.700]  就是伊利沙伯
[00:03:11.700 --> 00:03:15.200]  也是我們熟悉的屍首約翰的母親
[00:03:15.200 --> 00:03:17.700]  所以當屍首約翰快要出生之前
[00:03:17.700 --> 00:03:20.200]  大約是母親懷孕半年的時候
[00:03:20.200 --> 00:03:24.700]  瑪利亞就在這裡收到上帝跟他的呼喚
[00:03:24.700 --> 00:03:25.700]  以及告訴他
