
[00:00:00.000 --> 00:00:03.640]  今日會繼續講哥倫多前書第九章
[00:00:03.640 --> 00:00:05.720]  我通常都要問下大家
[00:00:05.720 --> 00:00:08.320]  上次蔡牧師講過什麼?
[00:00:08.320 --> 00:00:14.000]  真的不記得?
[00:00:14.000 --> 00:00:17.320]  不是我傷心,我想是蔡牧師傷心
[00:00:17.320 --> 00:00:22.120]  上次講第九章中間的部分
[00:00:22.120 --> 00:00:25.240]  都很簡單,經文都有提到
[00:00:25.240 --> 00:00:32.600]  重點就是我要甘心做全副音
[00:00:32.600 --> 00:00:35.360]  上次蔡牧師應該是講這個題目
[00:00:35.360 --> 00:00:38.480]  因為網上那個未擺上去
[00:00:38.480 --> 00:00:39.920]  所以我都沒有機會聽
[00:00:39.920 --> 00:00:42.840]  所以不知道會不會有少少跟他重覆
[00:00:42.840 --> 00:00:44.440]  但今日我會講的題目
[00:00:44.440 --> 00:00:47.200]  其實都是跟全副音有關
[00:00:47.200 --> 00:00:49.040]  在今日這段經文
[00:00:49.040 --> 00:00:52.640]  其實就承接著上一次講到甘心
[00:00:52.640 --> 00:00:57.440]  然後去到第十章下半部的經文
[00:00:57.440 --> 00:01:00.360]  都是蔡牧師會在八月份的時候講
[00:01:00.360 --> 00:01:04.040]  剛才我提過他會講到榮耀神
[00:01:04.040 --> 00:01:08.240]  講到怎樣來有更應該更大的自由
[00:01:08.240 --> 00:01:10.040]  其實今日我講的那段
[00:01:10.040 --> 00:01:15.240]  其實有少少跟前面承先啟後兩段
[00:01:15.240 --> 00:01:16.760]  都有些關係
[00:01:16.760 --> 00:01:21.880]  不過我想蔡牧師會講得更大些或闊些
[00:01:21.880 --> 00:01:23.400]  所以今日我會比較集中講
[00:01:23.400 --> 00:01:24.800]  都是跟全副音有關
[00:01:24.800 --> 00:01:29.480]  都是在經文裏面講到為福音的緣故
[00:01:29.480 --> 00:01:32.160]  今日是我們教會的訓練月
[00:01:32.160 --> 00:01:35.480]  今日的powerpoint裏面就講到
[00:01:35.480 --> 00:01:37.320]  go and make disciples
[00:01:37.320 --> 00:01:42.000]  我想他整個月應該都是用這個背景
[00:01:42.000 --> 00:01:46.360]  我們都知道耶穌給門徒的使命
[00:01:46.360 --> 00:01:49.160]  在《馬太福音》第十八章裏面提到
[00:01:49.160 --> 00:01:50.760]  去使萬民作門徒
[00:01:50.760 --> 00:01:52.400]  我們經常提醒弟兄姊妹
[00:01:52.400 --> 00:01:55.680]  其實這個重點是擺在作門徒身上高
[00:01:55.680 --> 00:01:58.760]  但我們仍然相信去傳福音
[00:01:58.760 --> 00:02:02.080]  都是在怎樣幫人成為門徒
[00:02:02.080 --> 00:02:05.680]  一個很重要的過程或是途徑
[00:02:05.680 --> 00:02:07.160]  所以傳福音仍然是我們
[00:02:07.160 --> 00:02:09.160]  每一個弟兄姊妹都要去做的
