
[00:00:00.000 --> 00:00:03.520]  好,我們今天開始一個新的系列
[00:00:03.520 --> 00:00:05.800]  這個就是觸動生命的禱告
[00:00:05.800 --> 00:00:07.840]  今天是第一講
[00:00:07.840 --> 00:00:11.400]  就是講到這個但義理為國來代求
[00:00:11.400 --> 00:00:15.760]  禱告,也可以說是人人都懂得禱告
[00:00:15.760 --> 00:00:18.320]  或者人人都會問這個問題
[00:00:18.320 --> 00:00:19.480]  什麼叫禱告呢?
[00:00:19.480 --> 00:00:20.480]  禱告是怎麼樣的呢?
[00:00:20.480 --> 00:00:21.760]  禱告的內容是怎麼樣的呢?
[00:00:21.760 --> 00:00:22.920]  怎麼去禱告呢?
[00:00:22.920 --> 00:00:23.960]  態度是怎麼樣的呢?
[00:00:23.960 --> 00:00:27.720]  很多人都會有一些方面的問題
[00:00:27.720 --> 00:00:29.800]  是不是對空氣說話呢?
[00:00:29.800 --> 00:00:32.760]  神聽不聽的呢?
[00:00:32.760 --> 00:00:36.200]  很多這些疑問會在我們的心裏面
[00:00:36.200 --> 00:00:40.800]  今天我們就用但義理為國代求的
[00:00:40.800 --> 00:00:42.320]  他自己的一個禱文
[00:00:42.320 --> 00:00:43.280]  一個禱告
[00:00:43.280 --> 00:00:44.640]  我們就學一下
[00:00:44.640 --> 00:00:47.200]  究竟但義理的那個禱告
[00:00:47.200 --> 00:00:48.840]  那個內容是怎麼樣的呢?
[00:00:48.840 --> 00:00:50.280]  那個態度又是怎麼樣的呢?
[00:00:50.280 --> 00:00:51.440]  是不是?
[00:00:51.440 --> 00:00:53.560]  所以我們今天就看看
[00:00:53.560 --> 00:00:55.920]  但義理裏面的那個禱告
[00:00:55.920 --> 00:00:57.600]  究竟我們可以在裏面
[00:00:57.600 --> 00:00:59.800]  我們學了什麼功課呢?
[00:00:59.800 --> 00:01:01.680]  我們首先讀一段經文
[00:01:01.680 --> 00:01:05.920]  就在但義理書第九章三節至第十九節
[00:01:05.920 --> 00:01:08.240]  第三節至第十九節
[00:01:08.240 --> 00:01:14.240]  但義理書第九章第三節至第十九節
[00:01:14.240 --> 00:01:16.400]  我讀一次給你聽
[00:01:16.400 --> 00:01:19.720]  我今食穿上麻衣坐在灰塵裏
[00:01:19.720 --> 00:01:21.360]  不好意思
[00:01:21.360 --> 00:01:23.680]  面向主上帝
[00:01:23.680 --> 00:01:25.560]  懇切祈禱
[00:01:25.560 --> 00:01:28.960]  我向上主我的上帝禱告
[00:01:28.960 --> 00:01:30.520]  為我的同胞認罪
[00:01:30.520 --> 00:01:31.520]  我說主啊
[00:01:31.520 --> 00:01:33.120]  祢是至大的上帝
[00:01:33.120 --> 00:01:35.160]  我們尊崇祢
[00:01:35.160 --> 00:01:38.880]  祢信守祢的約
[00:01:38.880 --> 00:01:40.160]  向那些愛祢
[00:01:40.160 --> 00:01:43.200]  遵守祢命令的人施行不變的愛
[00:01:43.200 --> 00:01:45.120]  我們犯罪作惡
[00:01:45.120 --> 00:01:46.760]  過犯重重
[00:01:46.760 --> 00:01:49.840]  違背了祢的誡命和律例
[00:01:49.840 --> 00:01:50.880]  祢的僕人
[00:01:50.880 --> 00:01:53.560]  就是先知們曾經奉祢的名
[00:01:53.560 --> 00:01:58.120]  向我們君王、統治者、祖先和整個國家來說話
[00:01:58.120 --> 00:02:00.240]  我們卻沒有聽從他們
[00:02:00.240 --> 00:02:01.040]  主啊
[00:02:01.040 --> 00:02:03.360]  祢的作為始終公正
[00:02:03.360 --> 00:02:07.480]  我們卻不斷地自取羞辱
[00:02:07.480 --> 00:02:08.080]  是的
[00:02:08.080 --> 00:02:12.720]  我們這些猶大和耶路撒冷的居民
[00:02:12.720 --> 00:02:14.800]  以及背叛祢
[00:02:14.800 --> 00:02:18.160]  被祢流放到遠近各國的以色列人
[00:02:18.160 --> 00:02:21.560]  都因對祢不忠
[00:02:21.560 --> 00:02:22.840]  自取羞辱
[00:02:22.840 --> 00:02:23.840]  上主啊
[00:02:23.840 --> 00:02:29.320]  我們的君王、統治者和祖先都得罪了祢
[00:02:29.320 --> 00:02:30.920]  朝夜羞辱
[00:02:30.920 --> 00:02:32.440]  主我們的上帝啊
[00:02:32.440 --> 00:02:35.040]  雖然我們背叛了祢
[00:02:35.040 --> 00:02:37.040]  祢仍然憐憫我們
[00:02:37.040 --> 00:02:38.640]  寬恕我們
[00:02:38.640 --> 00:02:40.280]  祢從前拯救我們
[00:02:40.280 --> 00:02:44.680]  現在請不要向祢的聖山耶路撒冷發怒
[00:02:44.680 --> 00:02:49.560]  由於我們所犯的罪和祖先所作的惡
[00:02:49.560 --> 00:02:54.360]  鄰國的人都輕蔑耶路撒冷和祢的子民
[00:02:54.360 --> 00:02:56.560]  所以我們的上帝啊
[00:02:56.560 --> 00:03:00.040]  求祢垂聽祢僕人的禱告和哀求
[00:03:00.040 --> 00:03:02.320]  為使人知道祢是上帝
[00:03:02.320 --> 00:03:03.640]  求祢光照
[00:03:03.640 --> 00:03:08.840]  再眷顧祢那被毀壞的聖殿
[00:03:08.840 --> 00:03:09.640]  上帝啊
[00:03:09.640 --> 00:03:12.360]  求祢垂聽我們的祈求
[00:03:12.360 --> 00:03:14.640]  求祢關懷我們
[00:03:14.640 --> 00:03:18.680]  以及贖祢名下的城所受的災難
[00:03:18.680 --> 00:03:22.840]  我們向祢懇求不是憑自己的意行
[00:03:22.840 --> 00:03:25.560]  而是憑祢的大憐憫
[00:03:25.560 --> 00:03:26.200]  主啊
[00:03:26.200 --> 00:03:27.280]  求祢垂聽
[00:03:27.280 --> 00:03:27.840]  主啊
[00:03:27.840 --> 00:03:29.000]  求祢寬恕
[00:03:29.000 --> 00:03:31.880]  求祢垂聽並施行拯救
[00:03:31.880 --> 00:03:33.080]  我的上帝啊
[00:03:33.080 --> 00:03:35.240]  為使人知道祢是上帝
[00:03:35.240 --> 00:03:37.720]  求祢不要擔演
[00:03:37.720 --> 00:03:40.520]  因為這座城是祢的城
[00:03:40.520 --> 00:03:42.840]  這些人是祢的子民
[00:03:42.840 --> 00:03:46.520]  這裡講講關於但義理
[00:03:46.520 --> 00:03:50.400]  他寫的這段土文的背景是怎樣的呢?
[00:03:50.400 --> 00:03:53.840]  當時但義理已經進入晚年
[00:03:53.840 --> 00:03:57.280]  大約七、八十歲左右
[00:03:57.280 --> 00:04:00.520]  時間是大利烏王
[00:04:00.520 --> 00:04:05.200]  納為迦勒底王的元年
[00:04:05.200 --> 00:04:08.520]  他是在迦勒底做王的第一年
[00:04:08.520 --> 00:04:12.840]  大利烏王究竟是怎樣的呢?
[00:04:12.840 --> 00:04:15.440]  原來在但義理書第五章
[00:04:15.440 --> 00:04:26.720]  是講述但義理為巴比倫王(白沙薩王)
[00:04:26.720 --> 00:04:29.440]  突然間在宴會中
[00:04:29.440 --> 00:04:33.680]  在牆上寫了一些字
[00:04:33.680 --> 00:04:35.520]  Writing on the wall
[00:04:35.520 --> 00:04:39.280]  他寫的字是講什麼的呢?
[00:04:39.280 --> 00:04:42.640]  我們看看在但義理書第五章
[00:04:42.640 --> 00:04:46.000]  夜五節至三十一節的背景
[00:04:46.000 --> 00:04:48.800]  突然間他在宴會中
[00:04:48.800 --> 00:04:55.000]  白沙薩王拿了他從耶路撒冷的聖殿
[00:04:55.000 --> 00:05:00.840]  搶回來的一些聖殿器皿、碗、碟
[00:05:00.840 --> 00:05:03.120]  用來飲酒
[00:05:03.120 --> 00:05:08.960]  突然間神的指頭在牆上寫了一些字
[00:05:08.960 --> 00:05:16.800]  文字是「尼尼尼尼,提克勒,烏法爾生」
[00:05:16.800 --> 00:05:19.280]  沒有人知道究竟是什麼意思
[00:05:19.280 --> 00:05:21.520]  所以就叫了但義理過來
[00:05:21.520 --> 00:05:23.760]  但義理解釋給他聽
[00:05:23.760 --> 00:05:25.760]  解釋是怎樣的呢?
[00:05:25.760 --> 00:05:32.720]  神已經數算了你國的年日到此完畢
[00:05:32.720 --> 00:05:38.880]  就是你被稱在天平中顯出你的愧欠
[00:05:38.880 --> 00:05:43.040]  也就是說你的國會分裂
[00:05:43.040 --> 00:05:46.160]  歸於馬代人和波斯人
[00:05:46.160 --> 00:05:52.720]  當晚馬代波斯人攻陷了巴比倫城
[00:05:52.720 --> 00:05:55.120]  白沙薩王被殺
[00:05:55.120 --> 00:06:00.080]  取而代之馬代人大利烏
[00:06:00.080 --> 00:06:02.080]  就是這個大利烏人
[00:06:02.080 --> 00:06:03.600]  大利烏王
[00:06:03.600 --> 00:06:09.360]  當時他62歲奪得加勒底國
[00:06:09.360 --> 00:06:15.920]  原來這個背景就是在這裡產生的
[00:06:15.920 --> 00:06:18.880]  大利烏王成為皇帝
[00:06:18.880 --> 00:06:26.720]  所以但義理在巴比倫的年代裏
[00:06:26.720 --> 00:06:29.680]  他在皇宮裏工作
[00:06:29.680 --> 00:06:31.680]  他是一個長官
[00:06:31.680 --> 00:06:35.360]  非常大的一個官階
[00:06:35.360 --> 00:06:37.360]  完了之後
[00:06:37.360 --> 00:06:41.360]  大利烏王建立了一個新的王朝
[00:06:41.360 --> 00:06:43.360]  馬代波斯的王朝
[00:06:43.360 --> 00:06:50.800]  但義理仍然繼續在這個王朝裏工作
[00:06:50.800 --> 00:06:54.000]  但是聖經裏面有一天他看到什麼呢?
[00:06:54.000 --> 00:06:59.200]  他看到耶利米蘇所寫的寓言
[00:06:59.200 --> 00:07:04.480]  就是說以色列人被擄到巴比倫有七十年之久
[00:07:04.480 --> 00:07:06.000]  過了七十年之後
[00:07:06.000 --> 00:07:08.240]  神就會將這一批人
[00:07:08.240 --> 00:07:11.840]  將自己的子民帶回耶路撒冷
[00:07:11.840 --> 00:07:19.120]  原來這一段經文在耶利米蘇二十五章
[00:07:19.120 --> 00:07:20.720]  十一節至十二節
[00:07:20.720 --> 00:07:23.360]  他說這片土地要荒廢
[00:07:23.360 --> 00:07:25.360]  成為令人恐怖的地方
[00:07:25.360 --> 00:07:28.480]  列國要臣服巴比倫王七十年
[00:07:28.480 --> 00:07:29.680]  七十年之後
[00:07:29.680 --> 00:07:33.440]  我要因為巴比倫和他王所犯的罪
[00:07:33.440 --> 00:07:34.720]  來懲罰他們
[00:07:34.720 --> 00:07:36.400]  我要消滅這個國家
[00:07:36.400 --> 00:07:38.800]  使它永遠荒廢
[00:07:38.800 --> 00:07:44.320]  繼續在耶利米蘇二十九章裏說
[00:07:44.320 --> 00:07:45.280]  上主說
[00:07:45.280 --> 00:07:47.840]  經過巴比倫統治七十年之後
[00:07:47.840 --> 00:07:49.600]  我要顧念你們
[00:07:49.600 --> 00:07:50.800]  實行我的諾言
[00:07:50.800 --> 00:07:53.520]  把你們帶回這個地方
[00:07:53.520 --> 00:07:56.960]  所以大義理在第九章裏
[00:07:56.960 --> 00:08:00.800]  他看見預言的時候
[00:08:00.800 --> 00:08:04.080]  他數一數算
[00:08:04.080 --> 00:08:06.800]  差不多七十年了
[00:08:06.800 --> 00:08:10.480]  即是我自己的同胞
[00:08:10.480 --> 00:08:15.360]  他有機會回到耶路撒冷的地方
[00:08:15.360 --> 00:08:21.200]  他再看進去耶利米蘇二十九章裏
[00:08:21.200 --> 00:08:24.400]  我相信他會繼續這樣看
[00:08:24.400 --> 00:08:26.480]  繼續在耶利米蘇裏這樣說
[00:08:26.480 --> 00:08:28.320]  你們要呼求我、禱告我
[00:08:28.320 --> 00:08:29.840]  我就應運你們
[00:08:29.840 --> 00:08:31.120]  你們尋求我
[00:08:31.120 --> 00:08:32.960]  若專心尋求我的話
[00:08:32.960 --> 00:08:34.480]  就必尋見
[00:08:34.480 --> 00:08:35.280]  耶和華說
[00:08:35.280 --> 00:08:36.640]  我必被你尋見
