
[00:00:00.000 --> 00:00:05.880]  有機會與大英姊妹在ub的大英姊妹一起能夠在線上崇拜
[00:00:05.880 --> 00:00:08.780]  大家看的可能在線上或在現場
[00:00:08.780 --> 00:00:11.760]  我們今天能夠同甘一鈴去敬拜我們的上帝
[00:00:11.760 --> 00:00:13.760]  特別是在聖誕節之前的日子
[00:00:13.760 --> 00:00:18.280]  我們今天看這段聖經不是聖誕節慣用的經文
[00:00:18.280 --> 00:00:20.260]  但耶穌一督出來傳道的時候
[00:00:20.260 --> 00:00:26.000]  六九分第四章引用了這段「乃萬得到醫治」的經文
[00:00:26.000 --> 00:00:29.480]  所以今天想用一點時間去看這段經文
[00:00:29.480 --> 00:00:34.240]  看看我們在12月份紀念耶穌出生的時候
[00:00:34.240 --> 00:00:38.280]  我們的心態我們的預備是怎樣
[00:00:38.280 --> 00:00:42.160]  第五章可以說是比較長的經文
[00:00:42.160 --> 00:00:45.960]  裡面有27節的聖經
[00:00:45.960 --> 00:00:49.120]  看上去不需要這麼多節
[00:00:49.120 --> 00:00:52.600]  第五章開始的時候說到亞蘭
[00:00:52.600 --> 00:00:57.400]  亞蘭王有一個將軍叫做「乃萬」
[00:00:57.400 --> 00:01:05.000]  是被專為帶各方面軍事上順利的一個將軍
[00:01:05.000 --> 00:01:11.440]  這個將軍帶領亞蘭王軍隊能夠多次的勝利
[00:01:11.440 --> 00:01:14.000]  但是唯一一樣有問題的在這裡
[00:01:14.000 --> 00:01:16.880]  就是他染上了大麻風
[00:01:16.880 --> 00:01:21.280]  很多的轉接例如有不同的人的推薦
[00:01:21.280 --> 00:01:25.400]  其中一個就是以色列的女子
[00:01:25.400 --> 00:01:33.640]  是被擄去那裡的服侍乃萬的妻子的一個小侍女
[00:01:33.640 --> 00:01:38.400]  這個侍女就說我聽說以色列有一個仙姿
[00:01:38.400 --> 00:01:43.000]  你去找一個仙姿吧 能夠得到醫治
[00:01:43.000 --> 00:01:46.680]  乃萬沒有直接去找這個仙姿
[00:01:46.680 --> 00:01:52.920]  但是經她的老闆亞蘭王通知以色列王
[00:01:52.920 --> 00:01:57.480]  這樣的繞來繞去 最初是不成功
[00:01:57.480 --> 00:02:02.280]  不成功的時候 終於找到了
[00:02:02.280 --> 00:02:12.000]  找到了伊莉莎這個仙姿
[00:02:12.000 --> 00:02:17.320]  伊莉莎看到以色列王好像有些事不知道怎麼辦的時候
[00:02:17.320 --> 00:02:19.920]  有什麼可以幫忙的
[00:02:19.920 --> 00:02:23.960]  終於就能夠去介紹了一個方法
[00:02:23.960 --> 00:02:31.000]  能夠去轉述給乃萬聽 這樣能夠得到醫治
[00:02:31.000 --> 00:02:35.640]  這個方法 當然我們去看這段聖經的時候
[00:02:35.640 --> 00:02:40.360]  去到第十節 你去到約旦河
[00:02:40.360 --> 00:02:48.720]  目慾七回 你的慾一定會復原而得潔淨
[00:02:48.720 --> 00:02:54.000]  這裡去到第十節 其實故事就是差不多了
[00:02:54.000 --> 00:02:56.520]  但是乃萬又不願意
[00:02:56.520 --> 00:03:00.200]  不願意的時候 她的老闆就說不如你試試吧
[00:03:00.200 --> 00:03:01.760]  為什麼不願意呢
[00:03:01.760 --> 00:03:05.680]  雖然伊莉莎沒有直接跟你會面
[00:03:05.680 --> 00:03:07.840]  但是你可以這樣做的時候
[00:03:07.840 --> 00:03:11.080]  就試試 不成功就離開吧
[00:03:11.080 --> 00:03:14.720]  一試得到醫治
[00:03:14.720 --> 00:03:20.920]  故事真是這樣 在這裡就有這樣一個段落
[00:03:20.920 --> 00:03:31.280]  到第十五節 去到說到乃萬帶著一些跟從她的人
[00:03:31.280 --> 00:03:35.240]  去到神人伊莉莎那裡
[00:03:35.240 --> 00:03:38.440]  就說我現在知道除了以色列的神之外
[00:03:38.440 --> 00:03:40.960]  沒有其他的神了
[00:03:40.960 --> 00:03:43.560]  那可不可以收一些禮物呢
[00:03:43.560 --> 00:03:45.560]  伊莉莎說不要
[00:03:45.560 --> 00:03:48.560]  故事就是這樣發生了
[00:03:48.560 --> 00:03:50.880]  去到第十九節 都說不要的時候
[00:03:50.880 --> 00:03:53.720]  第十節 乃萬走的時候
[00:03:53.720 --> 00:03:59.160]  伊莉莎的僕人私底下衝上去
[00:03:59.160 --> 00:04:03.960]  找到乃萬 一堆近伴的人 整個車隊
[00:04:03.960 --> 00:04:07.880]  截停了就說 我的主人不要
[00:04:07.880 --> 00:04:13.000]  不如你給我一些 大家有個方便 有個交代
[00:04:13.000 --> 00:04:19.800]  乃萬願意給一些這樣的禮物交代了
[00:04:19.800 --> 00:04:27.080]  所以拿了銀紙等等衣服 交給兩個僕人
[00:04:27.080 --> 00:04:30.200]  跟著她就走了
[00:04:30.200 --> 00:04:33.800]  但是走的時候 當伊莉莎見到僕人
[00:04:33.800 --> 00:04:36.800]  就說你做了什麼事情
[00:04:36.800 --> 00:04:41.640]  為什麼我說不要的時候 你會要一些禮物
[00:04:41.640 --> 00:04:46.200]  那這個僕人就說沒有什麼大事
[00:04:46.200 --> 00:04:49.160]  伊莉莎就遷就了她
[00:04:49.160 --> 00:04:52.440]  或者是最少將神的刑罰
[00:04:52.440 --> 00:04:57.240]  由乃萬那裡轉移到這個僕人那裡
[00:04:57.240 --> 00:05:00.200]  她得了大麻風
[00:05:00.200 --> 00:05:04.600]  故事是這樣結束
[00:05:04.600 --> 00:05:08.120]  以利亞 伊莉莎 先知的故事
[00:05:08.120 --> 00:05:12.920]  我們回想起舊約有不同類型的先知
[00:05:12.920 --> 00:05:16.760]  有些是薩姆爾 高勒王的先知
[00:05:16.760 --> 00:05:21.240]  有些是恆臣即其事 以利亞的先知
[00:05:21.240 --> 00:05:27.960]  有些是以著作說話 我們記得紀念的
[00:05:27.960 --> 00:05:31.560]  就是維賽亞 耶利米 以西結等等
[00:05:31.560 --> 00:05:34.360]  加上十二小先知等等
[00:05:34.360 --> 00:05:37.080]  所以多種類的先知
[00:05:37.080 --> 00:05:39.400]  但是先知總有一個特色
[00:05:39.400 --> 00:05:43.080]  在當時不同的政治環境下
[00:05:43.080 --> 00:05:50.760]  去提醒王究竟真正掌權宇宙萬物的王是誰
[00:05:50.760 --> 00:05:54.200]  真正以色列的元帥是誰
[00:05:54.200 --> 00:05:59.720]  是掃羅大衛等等 還是耶華自己
[00:05:59.720 --> 00:06:05.000]  由薩姆爾記上 高勒王的薩姆爾
[00:06:05.000 --> 00:06:09.240]  已經提醒掃羅 你不是真正的王
[00:06:09.240 --> 00:06:12.200]  耶華才是真正的王
[00:06:12.200 --> 00:06:19.800]  大衛犯罪拿單先知去挑戰大衛同一類型的說話
[00:06:19.800 --> 00:06:21.800]  對耶利米等等的先知
[00:06:21.800 --> 00:06:24.040]  以不同的說話在當時的政權裏面
[00:06:24.040 --> 00:06:26.520]  表明神是一個掌權的上帝
[00:06:26.520 --> 00:06:30.040]  我們看以利亞 伊莉莎的故事都是這樣
[00:06:30.040 --> 00:06:34.120]  列王紀上下聽過名字就知道了
[00:06:34.120 --> 00:06:38.760]  是一堆王的王朝技術
[00:06:38.760 --> 00:06:42.840]  但是在中間 在列王紀
[00:06:42.840 --> 00:06:45.960]  列王的侍職的中間
[00:06:45.960 --> 00:06:49.880]  又加插了一段很長的經文
[00:06:49.880 --> 00:06:51.880]  是列王紀上十七章
[00:06:51.880 --> 00:06:54.120]  一直到列王紀下第十章
[00:06:54.120 --> 00:06:56.360]  以利亞 伊莉莎經文
[00:06:56.360 --> 00:07:00.040]  特別的不是只有以利亞 伊莉莎這麼長的經文這麼簡單
[00:07:00.040 --> 00:07:04.520]  特別的就是在這麼多列王的技術裏面
[00:07:04.520 --> 00:07:11.240]  中間interrupting 加插的一個大段落
[00:07:11.240 --> 00:07:12.680]  列王紀上十七章
[00:07:12.680 --> 00:07:16.520]  照列王紀下十章這麼長的經文
[00:07:16.520 --> 00:07:22.040]  焦點不在王那裏 在先知那裏
[00:07:22.040 --> 00:07:25.240]  在王的技術裏面
[00:07:25.240 --> 00:07:30.360]  或者當時的宇文 列王紀的技術裏面
[00:07:30.360 --> 00:07:34.200]  這些的經文是講到中心的人物
[00:07:34.200 --> 00:07:37.560]  不是真是哪一個王
[00:07:37.560 --> 00:07:43.800]  而是耶華自己藉著先知行出的事情
[00:07:43.800 --> 00:07:46.600]  所以這段經文之所以這麼長
[00:07:46.600 --> 00:07:51.720]  第一個原因是介紹王和先知的關係
[00:07:51.720 --> 00:07:56.440]  這個我們在多處經文已經熟悉這種的關係了
[00:07:56.440 --> 00:08:00.280]  我們看回到列王紀下第五章
[00:08:00.280 --> 00:08:04.360]  在這一章性裏面重複這一種的強調
[00:08:04.360 --> 00:08:08.200]  第五章第三節
[00:08:08.200 --> 00:08:12.680]  以色列的侍女對主母(濫瑪的妻子)說
[00:08:12.680 --> 00:08:16.920]  巴不得我主人去見撒瑪利亞的先知
[00:08:16.920 --> 00:08:20.440]  必能夠醫好這個大麻瘋
[00:08:20.440 --> 00:08:26.200]  這個解決方法很簡單
[00:08:26.200 --> 00:08:29.320]  去找以色列的先知
[00:08:29.320 --> 00:08:31.640]  有沒有照做呢 沒有
[00:08:31.640 --> 00:08:36.840]  第五節 他說找不行 要按照程序去找
[00:08:36.840 --> 00:08:42.280]  不是濫瑪去找先知 是濫瑪的上司阿蘭王
[00:08:42.280 --> 00:08:45.400]  寫封信給先知
[00:08:45.400 --> 00:08:49.080]  他以為上司是以色列的王
[00:08:49.080 --> 00:08:50.760]  所以第五節這樣說
[00:08:50.760 --> 00:08:53.320]  阿蘭王說你可以去
[00:08:53.320 --> 00:09:00.120]  接著我們也會寫信給以色列王
[00:09:00.120 --> 00:09:03.160]  於是濫瑪就這樣去了
[00:09:03.160 --> 00:09:06.280]  將信給以色列王信上說
[00:09:06.280 --> 00:09:09.720]  我打發神父濫瑪去見你
[00:09:09.720 --> 00:09:11.560]  你接到這封信的時候
[00:09:11.560 --> 00:09:13.640]  拜託你醫好他的大麻瘋
