
[00:00:00.000 --> 00:00:08.000]  很高興可以和大家一起去敬拜和去閱讀和聽神跟我們講的說話
[00:00:08.000 --> 00:00:13.000]  我想主是一位很有愛和憐憫的神
[00:00:13.000 --> 00:00:18.000]  當我們很有需要 當我們覺得心靈困乏的時候
[00:00:18.000 --> 00:00:21.000]  祂會跟我們分享 跟我們講說話
[00:00:21.000 --> 00:00:25.000]  我想在我們過去的日子裏面
[00:00:25.000 --> 00:00:27.000]  我不知道你同不同意
[00:00:27.000 --> 00:00:33.000]  我們認識的神 或者我們比較多強調神的地方
[00:00:33.000 --> 00:00:37.000]  往往是耶穌的連述 耶穌的慈愛
[00:00:37.000 --> 00:00:40.000]  還有主對人的醫治
[00:00:40.000 --> 00:00:44.000]  我想在我們過去這一兩年裏面
[00:00:44.000 --> 00:00:48.000]  我們差不多重重複複都講了很多關於神
[00:00:48.000 --> 00:00:52.000]  耶穌基督對人的連述 憐憫 慈心
[00:00:52.000 --> 00:00:56.000]  因為這樣的緣故帶來我們生命有改變和得到醫治
[00:00:56.000 --> 00:00:59.000]  我不知道當你想起耶穌的時候
[00:00:59.000 --> 00:01:02.000]  你是想起祂什麼比較多呢
[00:01:02.000 --> 00:01:07.000]  如果你安靜下來想想耶穌的一生
[00:01:07.000 --> 00:01:11.000]  想想我們在人生裏面經歷祂的
[00:01:11.000 --> 00:01:14.000]  我覺得我們很多人認識的耶穌裏面
[00:01:14.000 --> 00:01:19.000]  往往都帶給我們憐憫 慈心 醫治 釋放和教導
[00:01:19.000 --> 00:01:21.000]  這些形象的
[00:01:21.000 --> 00:01:23.000]  祂是愛我們 愛老弟 愛上帝
[00:01:23.000 --> 00:01:26.000]  祂是將神的愛示範給我們看
[00:01:26.000 --> 00:01:28.000]  特別是祂對那些弱小
[00:01:28.000 --> 00:01:32.000]  對那些貧困 患病 孤獨 可憐 被捆綁的人
[00:01:32.000 --> 00:01:37.000]  通常都會帶給我們顯出祂的連述
[00:01:37.000 --> 00:01:39.000]  顯出祂的慈愛和憐憫
[00:01:39.000 --> 00:01:42.000]  想起耶穌講的比喻
[00:01:42.000 --> 00:01:47.000]  兩個兒子其實都很不生性
[00:01:47.000 --> 00:01:50.000]  不過天父的心腸 耶穌顯出的
[00:01:50.000 --> 00:01:55.000]  告訴我們天父的心腸對這兩個兒子的分別
[00:01:55.000 --> 00:01:59.000]  都有很莫大的憐憫
[00:01:59.000 --> 00:02:04.000]  這是我們心目中或經常強調耶穌的一面
[00:02:04.000 --> 00:02:06.000]  不過不知道你們有沒有想過
[00:02:06.000 --> 00:02:10.000]  有時候耶穌也有另外一面
[00:02:10.000 --> 00:02:14.000]  耶穌有一面是我們比較少強調或少講的
[00:02:14.000 --> 00:02:21.000]  有時候祂也會罵人
[00:02:21.000 --> 00:02:26.000]  我想如果我們想平衡一點去認識耶穌的話
[00:02:26.000 --> 00:02:31.000]  其實我們又要看看耶穌的這一面
[00:02:31.000 --> 00:02:37.000]  耶穌有時候罵人也挺厲害的
[00:02:37.000 --> 00:02:44.000]  不知道你們想起有什麼經文有什麼場景是耶穌對人責備的
[00:02:44.000 --> 00:02:51.000]  聖殿裏面 祂很激烈地推倒桌椅
[00:02:51.000 --> 00:02:54.000]  趕走買賣的牛羊
[00:02:54.000 --> 00:02:57.000]  當然不是說祂對商業不滿意
[00:02:57.000 --> 00:02:59.000]  而是祂在聖殿裏面
[00:02:59.000 --> 00:03:01.000]  人們利用這個地方做買賣
