
[00:00:00.000 --> 00:00:04.000]  以賽爾書三十章第十五節,最後一節聖經,我們一同來念,來
[00:00:04.000 --> 00:00:07.000]  主耶和華以色列聖者曾如此說
[00:00:07.000 --> 00:00:10.000]  你們得救,再乎歸回安息
[00:00:10.000 --> 00:00:13.000]  你們得利,再乎平靜安穩
[00:00:13.000 --> 00:00:15.000]  你們靜自不肯
[00:00:15.000 --> 00:00:17.000]  我們就讀到這裡
[00:00:17.000 --> 00:00:20.000]  這麼多年,當我在募慧的過程當中
[00:00:20.000 --> 00:00:23.000]  我深深的體會到人生常常
[00:00:23.000 --> 00:00:26.000]  充滿了未知的事物
[00:00:26.000 --> 00:00:30.000]  有很多事情的確是我們無法掌握
[00:00:30.000 --> 00:00:35.000]  而當我們面對人生很多無法掌握的環境的時候
[00:00:35.000 --> 00:00:39.000]  我們常常就落入到憂慮當中
[00:00:39.000 --> 00:00:41.000]  因為我們什麼都不能做
[00:00:41.000 --> 00:00:43.000]  心裡很焦慮
[00:00:43.000 --> 00:00:46.000]  卻又無可奈何
[00:00:46.000 --> 00:00:48.000]  所以我常說憂慮是什麼呢
[00:00:48.000 --> 00:00:51.000]  憂慮就是你該想的不去想
[00:00:51.000 --> 00:00:52.000]  不該想的拼命想
[00:00:52.000 --> 00:00:54.000]  那就是憂慮
[00:00:54.000 --> 00:00:58.000]  就像很多年前當神呼召我要全職侍奉的時候
[00:00:58.000 --> 00:01:01.000]  我還記得我一跪在地上禱告
[00:01:01.000 --> 00:01:04.000]  第一個進入我腦中的念頭就是
[00:01:04.000 --> 00:01:07.000]  萬一將來沒飯吃怎麼辦呢
[00:01:07.000 --> 00:01:09.000]  那個時候左想右想拼命想
[00:01:09.000 --> 00:01:12.000]  就是沒想到耶和華是我的牧者
[00:01:12.000 --> 00:01:15.000]  我必不自缺乏
[00:01:15.000 --> 00:01:17.000]  今天做一個基督徒
[00:01:17.000 --> 00:01:19.000]  我們一定要確信
[00:01:19.000 --> 00:01:22.000]  我們的一生是在神的手中的
[00:01:22.000 --> 00:01:25.000]  許多事情也許不在我們掌握當中
[00:01:25.000 --> 00:01:30.000]  但每一件事情的確是在神的手中的
[00:01:30.000 --> 00:01:32.000]  所以今天我們所讀的經文裡面
[00:01:32.000 --> 00:01:33.000]  很清楚告訴我們
[00:01:33.000 --> 00:01:35.000]  做一個神的兒女
[00:01:35.000 --> 00:01:39.000]  我們得救是在乎歸回安息
[00:01:39.000 --> 00:01:41.000]  我們得利在乎什麼
[00:01:41.000 --> 00:01:43.000]  平靜安穩
[00:01:43.000 --> 00:01:45.000]  換句話說今天當你在面對人生
[00:01:45.000 --> 00:01:49.000]  許多無法掌握的事情的時候
[00:01:49.000 --> 00:01:53.000]  你所需要做的不是絞盡腦汁
[00:01:53.000 --> 00:01:57.000]  用盡自己的辦法找自己的出路
[00:01:57.000 --> 00:01:59.000]  反而是你要學習
[00:01:59.000 --> 00:02:04.000]  安息在神工作的手中
[00:02:04.000 --> 00:02:07.000]  你說怎麼安息法呢
[00:02:07.000 --> 00:02:09.000]  安息不是叫你什麼都不做
[00:02:09.000 --> 00:02:12.000]  那個叫懶惰
[00:02:12.000 --> 00:02:15.000]  安息包括三件事情
[00:02:15.000 --> 00:02:19.000]  第一個安息是一種確信
[00:02:19.000 --> 00:02:23.000]  跟你們說安息是一種確信
[00:02:23.000 --> 00:02:25.000]  確信什麼呢
[00:02:25.000 --> 00:02:27.000]  確信神所應許的
[00:02:27.000 --> 00:02:29.000]  他必成就
[00:02:29.000 --> 00:02:32.000]  確信在人的手不能夠工作的時候
[00:02:32.000 --> 00:02:36.000]  神的手仍然在工作
[00:02:36.000 --> 00:02:37.000]  第二個做一個基督徒
[00:02:37.000 --> 00:02:39.000]  你一定要明白
[00:02:39.000 --> 00:02:42.000]  羅馬書第一章十七節
[00:02:42.000 --> 00:02:45.000]  很清楚的告訴我們我們的信仰
[00:02:45.000 --> 00:02:47.000]  是本於信以至於信
[00:02:47.000 --> 00:02:48.000]  跟我一同來說
[00:02:48.000 --> 00:02:51.000]  本於信以至於信
[00:02:51.000 --> 00:02:52.000]  換句話說
[00:02:52.000 --> 00:02:54.000]  不只是在信主那一天
[00:02:54.000 --> 00:02:57.000]  我們憑信心進入神的國度
[00:02:57.000 --> 00:03:00.000]  而是從那一天開始
[00:03:00.000 --> 00:03:03.000]  一直到我們人生的終點
[00:03:03.000 --> 00:03:05.000]  每一個時刻
[00:03:05.000 --> 00:03:08.000]  我們都是要憑信心來生活的
[00:03:08.000 --> 00:03:09.000]  所以保羅在
[00:03:09.000 --> 00:03:12.000]  哥林多後書第五章第七節裡面
[00:03:12.000 --> 00:03:13.000]  很清楚告訴我們
[00:03:13.000 --> 00:03:14.000]  基督徒的生活
[00:03:14.000 --> 00:03:16.000]  應當怎麼過一通來念來
[00:03:16.000 --> 00:03:18.000]  因為我們行事為人
[00:03:18.000 --> 00:03:20.000]  是憑著信心
[00:03:20.000 --> 00:03:21.000]  不是憑著眼見
[00:03:21.000 --> 00:03:23.000]  什麼是行事為人
[00:03:23.000 --> 00:03:26.000]  就是日常生活的小事
[00:03:26.000 --> 00:03:27.000]  行事為人
[00:03:27.000 --> 00:03:29.000]  不只是生命中的大事
[00:03:29.000 --> 00:03:30.000]  行事為人
[00:03:30.000 --> 00:03:32.000]  日常生活的小事
[00:03:32.000 --> 00:03:34.000]  都是要憑著信心
[00:03:34.000 --> 00:03:36.000]  不憑眼見
[00:03:36.000 --> 00:03:40.000]  因為如果你只憑著眼見來跟隨神
[00:03:40.000 --> 00:03:42.000]  那你永遠就只會看見
[00:03:42.000 --> 00:03:45.000]  環境的艱難而已
[00:03:45.000 --> 00:03:48.000]  你就會落入到灰心失望
[00:03:48.000 --> 00:03:51.000]  甚至到不幸的光景當中
[00:03:51.000 --> 00:03:53.000]  可是當你憑著信心
[00:03:53.000 --> 00:03:55.000]  來跟隨神的時候
[00:03:55.000 --> 00:03:57.000]  你就會因為神的應許
[00:03:57.000 --> 00:03:59.000]  看見新的機會
[00:03:59.000 --> 00:04:01.000]  看見新的希望
[00:04:01.000 --> 00:04:03.000]  Amen
[00:04:03.000 --> 00:04:07.000]  我就想到我們Shakayna Glory建電計畫
[00:04:07.000 --> 00:04:08.000]  第二點我們Shakayna Glory
[00:04:08.000 --> 00:04:12.000]  不但是我們在神面前的心願
