
[00:00:00.000 --> 00:00:03.000]  我們看到這兩位弟兄姐妹找教會
[00:00:03.000 --> 00:00:09.000]  一段短片其實在Youtube上已經非常火紅了
[00:00:09.000 --> 00:00:12.000]  這一段片在Youtube上是很火紅了
[00:00:12.000 --> 00:00:19.000]  因為反映到我們現今教會的確是這樣的情況
[00:00:19.000 --> 00:00:23.000]  這反映我們現今教會的確是這樣的情況
[00:00:23.000 --> 00:00:27.000]  這兩位弟兄姐妹究竟是想找什麼樣的教會呢
[00:00:27.000 --> 00:00:30.000]  這兩位弟兄姐妹究竟是想找什麼樣的教會呢
[00:00:30.000 --> 00:00:36.000]  一段短片說到牧師要追上潮流
[00:00:36.000 --> 00:00:39.000]  一段短片說到牧師要追上潮流
[00:00:39.000 --> 00:00:44.000]  穿洞褲都可以進入教會
[00:00:44.000 --> 00:00:47.000]  穿洞褲都可以進入教會
[00:00:47.000 --> 00:00:52.000]  看來教會的交際廳要大一點比較好
[00:00:52.000 --> 00:00:55.000]  以後教會的交際廳要大一點
[00:00:55.000 --> 00:00:58.000]  教會的禮堂要有側門
[00:00:58.000 --> 00:01:01.000]  教會的禮堂要有側門
[00:01:01.000 --> 00:01:03.000]  為什麼呢
[00:01:03.000 --> 00:01:08.000]  大家可以自由出入就不會那麼尷尬
[00:01:08.000 --> 00:01:12.000]  大家可以自由出入就不會那麼尷尬
[00:01:12.000 --> 00:01:15.000]  音響要做到最好
[00:01:15.000 --> 00:01:17.000]  音響要做到最好
[00:01:17.000 --> 00:01:22.000]  要大聲的敬拜讚美才會有感受
[00:01:22.000 --> 00:01:25.000]  要大聲的敬拜讚美才會有感受
[00:01:25.000 --> 00:01:27.000]  那對牧師的要求怎樣呢
[00:01:27.000 --> 00:01:29.000]  那對牧師的要求怎樣呢
[00:01:29.000 --> 00:01:30.000]  那對牧師的要求怎樣呢
[00:01:30.000 --> 00:01:34.000]  當然要說到很搞笑
[00:01:34.000 --> 00:01:36.000]  當然要說到很搞笑
[00:01:36.000 --> 00:01:38.000]  說太久反而他們不喜歡
[00:01:38.000 --> 00:01:41.000]  說太久反而他們不喜歡
[00:01:41.000 --> 00:01:45.000]  牧師如果有洞篤笑的恩賜就最好了
[00:01:45.000 --> 00:01:48.000]  牧師如果有洞篤笑的恩賜就最好了
