
[00:00:00.000 --> 00:00:06.600]  各位大型節目的朋友,很歡迎大家今天和他在《晨日電鍾》經班,讚美晨。
[00:00:06.600 --> 00:00:20.060]  我們近來這個禮拜的新聞,很多新聞都是關於英女皇的世世,
[00:00:20.060 --> 00:00:26.760]  很多的悼念活動,香港也有很多東亞馬的地區,
[00:00:26.760 --> 00:00:31.600]  就算世界各地的地方也有很多的悼念活動。
[00:00:31.600 --> 00:00:38.160]  在當這個皇朝,一代君主到另外一個君主之間的交替期間,
[00:00:38.160 --> 00:00:45.160]  大家都會有悲傷的時候,因為很多時候是那個君王是怎樣去對待,
[00:00:45.160 --> 00:00:51.360]  怎樣帶領百姓,我們知道他的為人,知道他過去的處事方式,
[00:00:51.360 --> 00:00:57.440]  怎樣去對國家付出他的一生,大家看到英女皇的歷史,
[00:00:57.440 --> 00:01:04.400]  我年紀不是太大,一路都是香港長大,都是英女皇的硬幣。
[00:01:04.400 --> 00:01:09.800]  知道英女皇原來她小時候看她過去的工作,
[00:01:09.800 --> 00:01:15.120]  在二次世界大戰對國家的付出,怎樣鼓勵在二次世界大戰當中,
[00:01:15.120 --> 00:01:21.600]  怎樣鼓勵英國去渡過德國入侵的時候,去付出的事情。
[00:01:21.600 --> 00:01:26.840]  我們其實看到原來,我們剛才大家所讀的經文當中,
[00:01:26.840 --> 00:01:32.400]  知道我們是神一直這樣去照顧大衛,神是非常信實的,
[00:01:32.400 --> 00:01:37.720]  其實我們在神的慈愛信實當中,剛才我們唱的詩歌裏面,
[00:01:37.720 --> 00:01:42.560]  都知道感受到GSO基督的信實慈愛,原來神是信實慈愛的神。
[00:01:42.560 --> 00:01:54.240]  在《使徒行傳》第十三章的時候,一個月之前我們看到《使徒行傳》第十三章,
[00:01:54.240 --> 00:02:03.480]  知道保羅是帶去到土耳其的地方宣教,現代的土耳其那裏有宣教的旅程,
[00:02:03.480 --> 00:02:12.240]  那次是第一次去宣教,保羅去海外的宣教,去傳福音給這班外邦人。
[00:02:12.240 --> 00:02:19.080]  在第十三章裏面提到保羅去到那裏的地方,他第一次講到,他講了什麼呢?
