
[00:00:00.000 --> 00:00:04.420]  各位聽似會 我就想在今天的崇拜聚會
[00:00:04.420 --> 00:00:06.420]  想問問大家一個問題
[00:00:06.420 --> 00:00:11.260]  在過去你成長的日子裡
[00:00:11.260 --> 00:00:14.460]  哪些事情對你的印象是比較深刻的
[00:00:14.460 --> 00:00:19.040]  是逆境的事情 苦難的事情印象比較深刻
[00:00:19.040 --> 00:00:22.260]  一輩子都記得 夢都記得
[00:00:22.260 --> 00:00:25.260]  還是那些開心的事情
[00:00:25.260 --> 00:00:29.260]  你經歷過一些不可能的事情 竟然發生了
[00:00:29.260 --> 00:00:31.260]  我想問你們
[00:00:31.260 --> 00:00:34.260]  哪些事情對你的印象是比較深刻的
[00:00:34.260 --> 00:00:35.260]  我請你舉手
[00:00:35.260 --> 00:00:40.260]  是苦難 逆境 印象比較深刻
[00:00:40.260 --> 00:00:43.260]  經常都提醒你自己過去的苦難
[00:00:43.260 --> 00:00:45.260]  那些是很慘的
[00:00:45.260 --> 00:00:47.260]  什麼不能吃 什麼不能吃
[00:00:47.260 --> 00:00:50.260]  今天回來這裡都很多人跟我說
[00:00:50.260 --> 00:00:52.260]  我以後牛肉也不能吃
[00:00:52.260 --> 00:00:53.260]  什麼也不能吃
[00:00:53.260 --> 00:00:56.260]  凡是肥的東西也不能吃
[00:00:56.260 --> 00:01:02.260]  也有一些有纖維的東西也不能吃
[00:01:02.260 --> 00:01:04.260]  我現在想問
[00:01:04.260 --> 00:01:06.260]  逆境對你的印象是比較深刻的
[00:01:06.260 --> 00:01:07.260]  我請你舉手
[00:01:07.260 --> 00:01:08.260]  舉高一點
[00:01:08.260 --> 00:01:10.260]  非常多
[00:01:10.260 --> 00:01:13.260]  開心的事情對你的印象是比較好的
[00:01:13.260 --> 00:01:15.260]  比較深刻的
[00:01:15.260 --> 00:01:17.260]  你經歷過不可能發生的事情
[00:01:17.260 --> 00:01:19.260]  那些印象是最深刻的
[00:01:19.260 --> 00:01:21.260]  我請你舉手
[00:01:23.260 --> 00:01:26.260]  逆境的印象比較深刻
[00:01:26.260 --> 00:01:27.260]  也是
[00:01:27.260 --> 00:01:29.260]  但是也有很多
[00:01:29.260 --> 00:01:31.260]  在經歷裡面
[00:01:31.260 --> 00:01:33.260]  那些好的事情
[00:01:33.260 --> 00:01:35.260]  我自己本身來說
[00:01:35.260 --> 00:01:39.260]  在過去的十年裡
[00:01:39.260 --> 00:01:41.260]  經歷過的苦難
[00:01:41.260 --> 00:01:43.260]  媽媽的離開
[00:01:43.260 --> 00:01:46.260]  媽媽被鬥的時候那種情形
[00:01:46.260 --> 00:01:48.260]  家裡的黑五類
[00:01:48.260 --> 00:01:49.260]  對我來說
[00:01:49.260 --> 00:01:50.260]  那些印象
[00:01:50.260 --> 00:01:52.260]  我可以告訴大家
[00:01:52.260 --> 00:01:56.260]  深刻到每晚惡夢都出現
[00:01:56.260 --> 00:01:58.260]  直到什麼時候
[00:01:58.260 --> 00:02:00.260]  是我真正信得住
[00:02:00.260 --> 00:02:03.260]  甚至我說我把我的命交給主
[00:02:03.260 --> 00:02:04.260]  到那個時候
[00:02:04.260 --> 00:02:06.260]  我逐漸發現
[00:02:06.260 --> 00:02:08.260]  那些開心的事情
[00:02:08.260 --> 00:02:10.260]  經歷的事情就越來越多
[00:02:10.260 --> 00:02:12.260]  在我裡面出現
[00:02:12.260 --> 00:02:15.260]  甚至可以對以前那種看法
[00:02:15.260 --> 00:02:17.260]  原來是正面的
[00:02:17.260 --> 00:02:21.260]  這個就是更大的突破
[00:02:21.260 --> 00:02:24.260]  我今天要跟大家分享一個民族
[00:02:24.260 --> 00:02:25.260]  這個民族
[00:02:25.260 --> 00:02:30.260]  在他們四十年的經歷裡面
[00:02:30.260 --> 00:02:33.260]  細蚊仔
[00:02:33.260 --> 00:02:36.260]  剛剛出生
[00:02:36.260 --> 00:02:38.260]  如果是男的
[00:02:38.260 --> 00:02:41.260]  全部被人殺了
[00:02:41.260 --> 00:02:42.260]  然後後來
[00:02:42.260 --> 00:02:45.260]  修生婆都顧念他們
[00:02:45.260 --> 00:02:48.260]  為他們保留那些兒子
[00:02:48.260 --> 00:02:49.260]  但是誰知道
[00:02:49.260 --> 00:02:51.260]  皇帝下命令
[00:02:51.260 --> 00:02:55.260]  兩歲以下的全部殺了
[00:02:55.260 --> 00:02:56.260]  另外
[00:02:56.260 --> 00:02:58.260]  天天都是苦工
[00:02:58.260 --> 00:03:00.260]  但是沒有工資
[00:03:00.260 --> 00:03:02.260]  他就給你吃
[00:03:02.260 --> 00:03:04.260]  繼續不斷
[00:03:04.260 --> 00:03:06.260]  幾十年的時間
[00:03:06.260 --> 00:03:07.260]  沒有工資的
[00:03:07.260 --> 00:03:08.260]  女孩子為他們打工
[00:03:08.260 --> 00:03:09.260]  他給你吃
[00:03:09.260 --> 00:03:14.260]  已經是偷笑
[00:03:14.260 --> 00:03:17.260]  當有機會離開
[00:03:17.260 --> 00:03:20.260]  神預備他們離開的時候
[00:03:20.260 --> 00:03:23.260]  提醒他們一些什麼呢
[00:03:23.260 --> 00:03:25.260]  在今天
[00:03:25.260 --> 00:03:28.260]  我就很想跟大家分享一下
[00:03:28.260 --> 00:03:29.260]  有人說
[00:03:29.260 --> 00:03:32.260]  幸福與快樂
[00:03:32.260 --> 00:03:37.260]  是我們選擇的結果
[00:03:37.260 --> 00:03:40.260]  你可能會覺得很不同意
[00:03:40.260 --> 00:03:43.260]  幸福和快樂是選擇
[00:03:43.260 --> 00:03:46.260]  現在是沒有選擇的
[00:03:46.260 --> 00:03:48.260]  特別是一個新的總統
[00:03:48.260 --> 00:03:49.260]  一開始出來之後
[00:03:49.260 --> 00:03:52.260]  搞到整個世界大亂
[00:03:52.260 --> 00:03:53.260]  全部的東西
