
[00:00:00.000 --> 00:00:04.300]  那麼今天我們還是繼續我們聖誕節的講道系列的第三堂
[00:00:04.300 --> 00:00:07.100]  我們來從一段的經文
[00:00:07.100 --> 00:00:11.000]  每一次聖誕節都會讀到的這段經文是舊約的經文
[00:00:11.000 --> 00:00:14.000]  在尼加書五章二到五節
[00:00:14.000 --> 00:00:19.500]  這邊記載到舊約的先知預言到主耶穌降生
[00:00:19.500 --> 00:00:23.000]  他所要做的一些事情
[00:00:23.000 --> 00:00:26.300]  在尼加書五章二到五節那邊說
[00:00:26.300 --> 00:00:30.100]  在伯利恆的遺法他
[00:00:30.100 --> 00:00:32.500]  你在猶大諸城中爲小
[00:00:32.500 --> 00:00:35.000]  將來必有一位從你那裏出來
[00:00:35.000 --> 00:00:39.700]  在以色列中爲我做掌權的
[00:00:39.700 --> 00:00:43.300]  他的根源從耿古從太初就有
[00:00:43.300 --> 00:00:46.300]  耶華必將以色列人交付敵人
[00:00:46.300 --> 00:00:50.500]  只等到那生產的婦人生下子來
[00:00:50.500 --> 00:00:55.300]  那時掌權者其餘的弟兄必歸到以色列人那裏
[00:00:55.300 --> 00:00:58.600]  他必起來依靠耶華的大能
[00:00:58.600 --> 00:01:01.900]  並耶華他神之名的威嚴
[00:01:01.900 --> 00:01:03.900]  牧養他的羊羣
[00:01:03.900 --> 00:01:05.700]  他們要安然居住
[00:01:05.700 --> 00:01:09.800]  因爲他必日漸增大直到地極
[00:01:09.800 --> 00:01:13.300]  這位必做我們的平安
[00:01:13.300 --> 00:01:17.300]  其實感覺是聖誕節是一個很平安的節日
[00:01:17.300 --> 00:01:20.700]  因爲是從神開始他賜下了平安
[00:01:20.700 --> 00:01:24.400]  我們剛剛讀的經文是尼加書的經文
[00:01:24.400 --> 00:01:25.500]  我們讀到的時候
[00:01:25.500 --> 00:01:29.500]  其實尼加的那個時代是一個很不平安的時代
[00:01:29.500 --> 00:01:34.900]  他們面臨着亞述大國大軍降臨到他們城下
[00:01:34.900 --> 00:01:36.500]  準備要攻打他們
[00:01:36.500 --> 00:01:40.600]  甚至他們的軍王
[00:01:40.600 --> 00:01:43.200]  以色列的軍王也是被別人的
[00:01:43.200 --> 00:01:46.000]  亞述大軍的軍王羞辱了一番
[00:01:46.000 --> 00:01:50.100]  聽說是被人家用颳了幾個額框
[00:01:50.100 --> 00:01:54.400]  所以你作爲一個軍王被對方的軍王刮幾個額框
[00:01:54.400 --> 00:01:56.100]  是很羞辱的事情
[00:01:56.100 --> 00:01:56.900]  但沒辦法
[00:01:56.900 --> 00:01:59.700]  他們的盼望就在先知的身上
[00:01:59.700 --> 00:02:01.600]  先知就告訴他們說
[00:02:01.600 --> 00:02:03.500]  將來你們還有指望
[00:02:03.500 --> 00:02:05.800]  因爲將來有一子爲你們生
[00:02:05.800 --> 00:02:07.200]  那就是救主
[00:02:07.200 --> 00:02:09.900]  他那邊說這位必做我們的平安
[00:02:09.900 --> 00:02:11.800]  所以從那天開始
[00:02:11.800 --> 00:02:13.900]  聖誕節就成爲一個很平安的節日
[00:02:13.900 --> 00:02:16.800]  沒想到大概兩千多年之後
[00:02:16.800 --> 00:02:18.300]  真的我們兩千多年前
[00:02:18.300 --> 00:02:20.700]  主耶穌的降生就開始了聖誕節
[00:02:20.700 --> 00:02:22.500]  成爲一個很平安的節日
