
[00:00:00.000 --> 00:00:02.880]  今日的講道會繼續來和弟兄姊妹
[00:00:02.880 --> 00:00:05.480]  看「貼撒尼加」後書的經文
[00:00:05.480 --> 00:00:07.480]  領授神給我們的訊息
[00:00:07.480 --> 00:00:09.640]  如果大家還有印象
[00:00:09.640 --> 00:00:12.520]  在我們講道「貼撒尼加」前後書
[00:00:12.520 --> 00:00:15.920]  都是提到當時教會的弟兄姊妹
[00:00:15.920 --> 00:00:19.840]  他們面對患難、面對艱難
[00:00:19.840 --> 00:00:25.600]  所以保羅來用書信鼓勵弟兄姊妹
[00:00:25.600 --> 00:00:26.840]  以致他們能夠知道
[00:00:26.840 --> 00:00:32.000]  如何面對自己在外邦人當中的見證
[00:00:32.000 --> 00:00:33.920]  在面對艱難的時候
[00:00:33.920 --> 00:00:37.000]  如何仍然去持守他們的信仰
[00:00:37.000 --> 00:00:38.640]  今日我想和大家來看看
[00:00:38.640 --> 00:00:40.240]  在艱難的日子
[00:00:40.240 --> 00:00:42.680]  你關心甚麼呢?
[00:00:42.680 --> 00:00:44.600]  我們會先讀這段經文
[00:00:44.600 --> 00:00:48.280]  「貼撒尼加」後書的第一章五到十二節
[00:00:48.280 --> 00:00:50.400]  我想邀請弟兄姊妹來讀
[00:00:50.400 --> 00:00:52.160]  其實如果弟兄姊妹回家後
[00:00:52.160 --> 00:00:56.080]  可以再看「貼撒尼加」前後書
[00:00:56.080 --> 00:00:57.280]  多看的時候
[00:00:57.280 --> 00:01:00.440]  我們再下一次回來崇拜
[00:01:00.440 --> 00:01:03.160]  再一次講到「貼撒尼加」後書的時候
[00:01:03.160 --> 00:01:07.080]  我相信神會讓你更多的領受
[00:01:07.080 --> 00:01:08.720]  我們一起來讀完這段經文
[00:01:08.720 --> 00:01:11.320]  由第五節讀到第十二節
[00:01:11.320 --> 00:01:12.720]  我們一起來讀
[00:01:12.720 --> 00:01:14.240]  預備起
[00:01:14.240 --> 00:01:18.120]  「這正是神公義判斷的明證
[00:01:18.120 --> 00:01:21.720]  叫你們可算配得神的國
[00:01:21.720 --> 00:01:25.280]  你們就是為這國受苦
[00:01:25.280 --> 00:01:27.440]  神既是公義的
