
[00:00:00.000 --> 00:00:04.000]  感謝主我們在章林祈的第四個主日
[00:00:04.000 --> 00:00:08.000]  都能夠繼續聚集來敬拜主
[00:00:08.000 --> 00:00:12.000]  我想認識我這麼多年的弟兄姊妹
[00:00:12.000 --> 00:00:15.000]  大概都未見過我
[00:00:15.000 --> 00:00:19.000]  是攬一條紫色的帶
[00:00:19.000 --> 00:00:26.000]  其實這條帶是我在1985年3月31日
[00:00:26.000 --> 00:00:30.000]  案立目的的時候就有了
[00:00:30.000 --> 00:00:34.000]  不過這幾十年來今天才第一次出場
[00:00:34.000 --> 00:00:36.000]  所以是很矜貴的
[00:00:36.000 --> 00:00:41.000]  這個紫色其實是章林祈的顏色
[00:00:41.000 --> 00:00:43.000]  是代表尊貴
[00:00:43.000 --> 00:00:45.000]  代表著不是我的尊貴
[00:00:45.000 --> 00:00:48.000]  是我們敬拜的基督
[00:00:48.000 --> 00:00:50.000]  是君尊
[00:00:50.000 --> 00:00:53.000]  我們要以尊貴的顏色
[00:00:53.000 --> 00:00:57.000]  來提醒我們敬拜哪一位
[00:00:57.000 --> 00:01:02.000]  當然紫色也是有懺悔的意思
[00:01:02.000 --> 00:01:06.000]  章林祈今天來到第四個主日
[00:01:06.000 --> 00:01:10.000]  其實一直都是幫助我們朝向聖誕
[00:01:10.000 --> 00:01:13.000]  不是準備出去聖誕大餐
[00:01:13.000 --> 00:01:16.000]  不是準備去聖誕大傾銷
[00:01:16.000 --> 00:01:19.000]  而是準備真正的
[00:01:19.000 --> 00:01:24.000]  來讓這位當年降生客店裡沒有地方的主
[00:01:24.000 --> 00:01:28.000]  是因著你和我好的準備
[00:01:28.000 --> 00:01:33.000]  他真的有他應得的空間和地位
[00:01:33.000 --> 00:01:35.000]  所以我開心
[00:01:35.000 --> 00:01:39.000]  今天可以用這個服飾
[00:01:39.000 --> 00:01:43.000]  來跟大家一起提醒敬拜
[00:01:43.000 --> 00:01:47.000]  我們是活在歷史裡面的群體
[00:01:47.000 --> 00:01:49.000]  我們作為一個福音信仰
[00:01:49.000 --> 00:01:52.000]  是忠於聖經的群體
[00:01:52.000 --> 00:01:54.000]  不等於我們是一個
[00:01:54.000 --> 00:01:56.000]  自己直接跳入聖經
[00:01:56.000 --> 00:01:58.000]  中間幾千年的歷史
[00:01:58.000 --> 00:02:02.000]  或者是聖經的成書過程的歷史
[00:02:02.000 --> 00:02:04.000]  上主啟示的歷史
[00:02:04.000 --> 00:02:06.000]  是和我們脫節的
[00:02:06.000 --> 00:02:08.000]  不是的
[00:02:08.000 --> 00:02:10.000]  記不記得啟示錄告訴我們
[00:02:10.000 --> 00:02:13.000]  最終這個新天新地的時候
[00:02:13.000 --> 00:02:17.000]  是從各族、各民、各方
[00:02:17.000 --> 00:02:20.000]  是匯聚在一起的
[00:02:20.000 --> 00:02:21.000]  新天新地
[00:02:21.000 --> 00:02:23.000]  為什麼是新天新地
[00:02:23.000 --> 00:02:25.000]  因為舊的要廢去
[00:02:25.000 --> 00:02:27.000]  為什麼舊的要廢去
[00:02:27.000 --> 00:02:29.000]  因為罪惡的緣故
[00:02:29.000 --> 00:02:31.000]  但是始終我們沒辦法
[00:02:31.000 --> 00:02:33.000]  忘記這位創造的主
[00:02:33.000 --> 00:02:35.000]  也就是舊屬的主
[00:02:35.000 --> 00:02:37.000]  他有原有的創造
[00:02:37.000 --> 00:02:41.000]  也都必定會有一個完美的創造
[00:02:41.000 --> 00:02:43.000]  而在這兩個創造之間
[00:02:43.000 --> 00:02:45.000]  就是歷史
[00:02:45.000 --> 00:02:47.000]  而在教會的歷史裏面
[00:02:47.000 --> 00:02:48.000]  我們有很多要學習
[00:02:48.000 --> 00:02:51.000]  2014年我們進入新一個年度
