
[00:00:00.000 --> 00:00:04.340]  在今天分享 我想起一套
[00:00:04.340 --> 00:00:08.100]  在一兩年前的一套電影 叫《沉默》
[00:00:08.100 --> 00:00:11.400]  不知道大家有沒有看過這套電影
[00:00:11.400 --> 00:00:13.800]  可能有些弟兄姐妹都看過
[00:00:13.800 --> 00:00:16.400]  我是沒有看過的
[00:00:16.400 --> 00:00:18.300]  為什麼我沒有看過呢 因為這套電影
[00:00:18.300 --> 00:00:20.600]  我太太看了之後 她說三個小時
[00:00:20.600 --> 00:00:22.000]  三個小時 我說三個小時
[00:00:22.000 --> 00:00:23.500]  她說三個小時 有點沉重
[00:00:23.500 --> 00:00:24.900]  她說 嘩 三個小時這麼沉重
[00:00:24.900 --> 00:00:27.700]  不玩戲了 我就沒有看
[00:00:27.700 --> 00:00:29.600]  不過可能有看的弟兄姐妹
[00:00:29.600 --> 00:00:32.200]  或者沒看過 也聽過一些討論的
[00:00:32.200 --> 00:00:35.700]  或者看過一些評論的 都知道
[00:00:35.700 --> 00:00:39.300]  這套電影引起一個很大的思考
[00:00:39.300 --> 00:00:43.100]  就是說 上帝究竟在歷史裡面
[00:00:43.100 --> 00:00:45.100]  他擔當一個什麼角色呢
[00:00:45.100 --> 00:00:47.000]  他在問一個問題就是說
[00:00:47.000 --> 00:00:50.800]  為什麼在很多人生的經歷
[00:00:50.800 --> 00:00:53.400]  甚至在歷史的過程裡面
[00:00:53.400 --> 00:00:57.300]  上帝好像相當的沉默
[00:00:57.300 --> 00:00:59.100]  究竟上帝在哪裡呢
[00:00:59.100 --> 00:01:01.500]  自然這個問題就引申了出來
[00:01:01.500 --> 00:01:06.100]  上帝究竟在社會 在世界裡面
[00:01:06.100 --> 00:01:09.900]  他怎樣參與在裡面的呢
[00:01:09.900 --> 00:01:13.900]  可能有時候我們看回我們的社會
[00:01:13.900 --> 00:01:15.400]  可能真的有很多
[00:01:15.400 --> 00:01:18.500]  令我們相當氣餒的一些情況
[00:01:18.500 --> 00:01:22.500]  可能有很多很不公義的情形出現過
[00:01:22.500 --> 00:01:24.800]  很多的事可能在幾年前
[00:01:24.800 --> 00:01:27.600]  我們在說 可能到今天我們仍然在說
[00:01:27.600 --> 00:01:30.300]  很多在幾年前我們沒辦法面對問題
[00:01:30.300 --> 00:01:34.500]  今天我們仍然 覺得仍然是面對不了
[00:01:34.500 --> 00:01:37.400]  好像很難的走下去
[00:01:37.400 --> 00:01:41.000]  甚至說 可能這個不單止我們說得好像很遠
[00:01:41.000 --> 00:01:45.000]  一個社會的問題 是一個時代的問題
[00:01:45.000 --> 00:01:46.500]  甚至是一個世界的問題
[00:01:46.500 --> 00:01:48.400]  各位兄弟姐妹 我們切身處地
[00:01:48.400 --> 00:01:51.900]  想想我們個人 我們自己
[00:01:51.900 --> 00:01:53.400]  其實很多時候我們都發現
[00:01:53.400 --> 00:01:56.700]  可能我們都覺得在生命的當中
[00:01:56.700 --> 00:01:58.600]  走著走著的時候
[00:01:58.600 --> 00:02:01.000]  我們面對著很多處境的時候
[00:02:01.000 --> 00:02:05.300]  我們自己有時候都不知道怎樣走下去
[00:02:05.300 --> 00:02:07.600]  當我們不斷去問上帝
[00:02:07.600 --> 00:02:09.500]  我們想有一些改變
[00:02:09.500 --> 00:02:11.400]  我們想有一些更新
[00:02:11.400 --> 00:02:13.000]  我們想有一些
[00:02:13.000 --> 00:02:15.800]  上帝告訴我們 我們的天父告訴我們
[00:02:15.800 --> 00:02:18.000]  我們可以怎樣走下去的時候
[00:02:18.000 --> 00:02:20.000]  有很多時候我們的答案都是
[00:02:20.000 --> 00:02:22.400]  好像有些沉默
[00:02:22.400 --> 00:02:25.300]  究竟天父在哪裡呢
[00:02:25.300 --> 00:02:28.100]  在認識我的弟兄姐妹裡知道
[00:02:28.100 --> 00:02:30.400]  我忘記了我沒有來這裡多少年了
[00:02:30.400 --> 00:02:33.600]  可能有沒有十年了
[00:02:33.600 --> 00:02:35.900]  沒有 三年以上
[00:02:35.900 --> 00:02:38.100]  這三年其實我自己都經歷了很多
[00:02:38.100 --> 00:02:41.000]  可能有我facebook的弟兄姐妹知道
[00:02:41.000 --> 00:02:44.700]  我經歷親人的離去
[00:02:44.700 --> 00:02:46.300]  一個很大的打擊
[00:02:46.300 --> 00:02:50.700]  我經歷工作上有很多很困難的地方
[00:02:50.700 --> 00:02:52.700]  我自己都在問
[00:02:52.700 --> 00:02:55.200]  我應該怎樣去走呢
[00:02:55.200 --> 00:02:57.300]  我前面的路是怎樣呢
[00:02:57.300 --> 00:03:00.500]  其實都經歷了很多很多的事情
[00:03:00.500 --> 00:03:04.900]  今天想和大家分享一位聖經的人物
[00:03:04.900 --> 00:03:08.000]  可能他都面對著我們
[00:03:08.000 --> 00:03:11.500]  或者我們社會類似的情況
[00:03:11.500 --> 00:03:13.800]  和大家去看今天這段聖經
[00:03:13.800 --> 00:03:19.200]  在約翰福音21章1至14節
[00:03:19.200 --> 00:03:22.500]  這段經文我們回到頭三節的時候
[00:03:22.500 --> 00:03:25.000]  你看到以彼得作為一個引入
[00:03:25.000 --> 00:03:28.000]  主要交代了彼得回到提比利亞海邊
[00:03:28.000 --> 00:03:30.200]  重操故業 因為彼得是漁民
[00:03:30.200 --> 00:03:31.900]  回去打魚
[00:03:31.900 --> 00:03:34.200]  或者我們在第一個部分
[00:03:34.200 --> 00:03:40.800]  我們先試著代入彼得當時的狀態
[00:03:40.800 --> 00:03:43.200]  或者我們先講一下彼得經歷了什麼
[00:03:43.200 --> 00:03:44.800]  可能弟兄姐妹都知道
[00:03:44.800 --> 00:03:46.800]  我們不用翻開聖經 我讀給大家聽
[00:03:46.800 --> 00:03:49.300]  在約翰福音13章
[00:03:49.300 --> 00:03:52.600]  耶穌當時說自己會釘十字架會死
[00:03:52.600 --> 00:03:55.000]  彼得的反應很大
[00:03:55.000 --> 00:03:56.700]  如果大家有印象的話
[00:03:56.700 --> 00:03:57.700]  不知道大家記不記得
[00:03:57.700 --> 00:03:59.100]  在約翰福音36章
[00:03:59.100 --> 00:04:00.800]  聖上彼得這樣說
[00:04:00.800 --> 00:04:02.300]  主啊 你去那裡
[00:04:02.300 --> 00:04:03.400]  耶穌回答
[00:04:03.400 --> 00:04:06.200]  你所去的地方 你現在
[00:04:06.200 --> 00:04:08.800]  我所去的地方 你現在不能跟我去
[00:04:08.800 --> 00:04:10.300]  以後卻要跟我去
[00:04:10.300 --> 00:04:11.300]  彼得對他說
[00:04:11.300 --> 00:04:13.800]  主啊 為什麼我現在不能跟你去
[00:04:13.800 --> 00:04:16.800]  我願意為你捨命
[00:04:16.800 --> 00:04:18.800]  彼得聽到耶穌離開的時候
[00:04:18.800 --> 00:04:21.000]  彼得第一個人就說
[00:04:21.000 --> 00:04:23.400]  你要去哪裡都好 我
[00:04:23.400 --> 00:04:25.600]  就算拼了命
[00:04:25.600 --> 00:04:27.500]  我死 我都跟你去
[00:04:27.500 --> 00:04:28.900]  那大家都記得了
[00:04:28.900 --> 00:04:31.600]  彼得最後發生什麼事
[00:04:31.600 --> 00:04:34.500]  最後彼得就是三次不認主
[00:04:34.500 --> 00:04:36.500]  耶穌都跟他說
[00:04:36.500 --> 00:04:38.600]  耶穌說 你願意為我捨命嗎
[00:04:38.600 --> 00:04:40.200]  我實實在在的告訴你
[00:04:40.200 --> 00:04:43.600]  雞叫以前 你要三次不認我
[00:04:43.600 --> 00:04:45.300]  各位我們當然相信
[00:04:45.300 --> 00:04:49.300]  彼得是很尊重 很愛耶穌
[00:04:49.300 --> 00:04:52.300]  三次對耶穌的背叛
[00:04:52.300 --> 00:04:53.500]  對彼得來說
[00:04:53.500 --> 00:04:56.800]  一定是一個很大的打擊
[00:04:56.800 --> 00:04:59.300]  不單止是這樣 各位弟兄姊妹
[00:04:59.300 --> 00:05:01.700]  彼得現在回去做什麼呢
[00:05:01.700 --> 00:05:04.400]  彼得回去打魚
[00:05:04.400 --> 00:05:06.100]  當然我們覺得很正常
[00:05:06.100 --> 00:05:07.000]  彼得回去打魚
[00:05:07.000 --> 00:05:08.600]  彼得是漁夫
[00:05:08.600 --> 00:05:10.500]  當然回去打魚
[00:05:10.500 --> 00:05:12.800]  但是如果我們記得的話
[00:05:12.800 --> 00:05:14.500]  不知道大家有沒有印象
[00:05:14.500 --> 00:05:18.800]  彼得在什麼情況下跟隨耶穌
[00:05:18.800 --> 00:05:21.100]  這個在路加福音有記載
[00:05:21.100 --> 00:05:22.900]  路加福音這樣記載
[00:05:22.900 --> 00:05:24.800]  在五章一至十一節
[00:05:24.800 --> 00:05:27.700]  清楚地描述彼得是怎樣離開的
[00:05:27.700 --> 00:05:29.300]  彼得在眾人面前
[00:05:29.300 --> 00:05:33.600]  就撇下所有的 跟從了耶穌
[00:05:33.600 --> 00:05:35.700]  一個什麼描寫
[00:05:35.700 --> 00:05:38.000]  彼得跟隨耶穌的時候
[00:05:38.000 --> 00:05:39.500]  是在眾人面前
[00:05:39.500 --> 00:05:40.500]  即是我現在
[00:05:40.500 --> 00:05:43.900]  在眾人面前撇下所有
[00:05:43.900 --> 00:05:45.200]  我跟耶穌了
[00:05:45.200 --> 00:05:48.800]  各位弟兄姊妹 如果你是彼得
[00:05:48.800 --> 00:05:51.000]  你背叛了耶穌
[00:05:51.000 --> 00:05:55.300]  現在你在眾人面前回去打魚
[00:05:55.300 --> 00:05:57.800]  即是我有一天在這裡很帥
[00:05:57.800 --> 00:06:01.000]  各位 我不會再回來了
[00:06:01.000 --> 00:06:03.800]  但你又再見到我
[00:06:03.800 --> 00:06:05.900]  你去跟你老闆說
[00:06:05.900 --> 00:06:07.900]  老闆 我明天不工作了
[00:06:07.900 --> 00:06:09.600]  拜拜
[00:06:09.600 --> 00:06:10.800]  接著後天
[00:06:10.800 --> 00:06:12.100]  你又在同事當中
[00:06:12.100 --> 00:06:15.500]  再出來很努力地打字
[00:06:15.500 --> 00:06:17.800]  你那一刻的感覺會是怎樣呢
[00:06:17.800 --> 00:06:21.100]  各位 彼得背叛耶穌
[00:06:21.100 --> 00:06:25.200]  他覺得他再回去打魚
[00:06:25.200 --> 00:06:27.500]  經歷著很多人的目光
[00:06:27.500 --> 00:06:29.700]  走回一個回頭路
[00:06:29.700 --> 00:06:31.000]  他經歷失敗
[00:06:31.000 --> 00:06:34.000]  難免覺得很迷惘
[00:06:34.000 --> 00:06:36.100]  耶穌的離開 各位弟兄姊妹
[00:06:36.100 --> 00:06:39.200]  對彼得來說是一個理想的幻滅
[00:06:39.200 --> 00:06:41.900]  他一直相信耶穌是那一位
[00:06:41.900 --> 00:06:43.700]  可以帶他們復國的王
[00:06:43.700 --> 00:06:45.200]  理想的幻滅
[00:06:45.200 --> 00:06:48.200]  自己也有相當的自責
[00:06:48.200 --> 00:06:51.400]  更加可能他受到很多人的白眼
[00:06:51.400 --> 00:06:54.000]  走了一段好像走得不錯的路
[00:06:54.000 --> 00:06:55.100]  跟著耶穌
[00:06:55.100 --> 00:06:57.100]  可能有很多人蓄勇著他
[00:06:57.100 --> 00:06:58.900]  覺得你真的不錯
[00:06:58.900 --> 00:06:59.500]  你做得不錯
