
[00:00:00.000 --> 00:00:03.000]  在正道之前同心來祈禱
[00:00:30.000 --> 00:00:33.000]  拉奉耶穌基督的聖命祈求
[00:01:01.000 --> 00:01:03.000]  其中一個主要問題
[00:01:03.000 --> 00:01:05.000]  就是今天的經文
[00:01:05.000 --> 00:01:07.000]  他就提出
[00:01:07.000 --> 00:01:09.000]  實哉
[00:01:09.000 --> 00:01:10.000]  他說
[00:01:10.000 --> 00:01:13.000]  神不是慈愛的嗎?
[00:01:13.000 --> 00:01:17.000]  為什麼神會讓這些災難
[00:01:17.000 --> 00:01:20.000]  淋到人類的身上?
[00:01:20.000 --> 00:01:22.000]  他妖魔化了
[00:01:22.000 --> 00:01:26.000]  將神作為罪惡的根源
[00:01:26.000 --> 00:01:28.000]  較為溫和的提問就是
[00:01:28.000 --> 00:01:30.000]  慈愛的神
[00:01:30.000 --> 00:01:33.000]  如何容許罪惡發生?
[00:01:33.000 --> 00:01:35.000]  甚至是主動
[00:01:35.000 --> 00:01:39.000]  讓災難淋到人類身上
[00:01:39.000 --> 00:01:41.000]  很喜歡
[00:01:41.000 --> 00:01:43.000]  所以我們去看
[00:01:43.000 --> 00:01:45.000]  今天送來和學本
[00:01:45.000 --> 00:01:47.000]  都說這是實哉
[00:01:47.000 --> 00:01:49.000]  災難這幅圖
[00:01:49.000 --> 00:01:51.000]  由水變血
[00:01:51.000 --> 00:01:56.000]  到蝗蟲、蝨等等
[00:01:56.000 --> 00:01:58.000]  我們看到
[00:01:58.000 --> 00:02:01.000]  這裡有十個災害
[00:02:01.000 --> 00:02:07.000]  我很喜歡學者
[00:02:07.000 --> 00:02:10.000]  將實哉證明為記號
[00:02:10.000 --> 00:02:15.000]  記號不是災害
[00:02:15.000 --> 00:02:18.000]  是一種指示引導
[00:02:18.000 --> 00:02:22.000]  焦點不在於記號本身
[00:02:22.000 --> 00:02:26.000]  而是看到記號作出的反應和態度
[00:02:26.000 --> 00:02:28.000]  經文裡說
[00:02:28.000 --> 00:02:30.000]  要使法老心安
[00:02:30.000 --> 00:02:34.000]  也要埃及多行神蹟騎士
[00:02:34.000 --> 00:02:38.000]  七章八節說你們行見騎士吧
[00:02:38.000 --> 00:02:40.000]  八章十九節
[00:02:40.000 --> 00:02:43.000]  法老說這是神的手段
[00:02:43.000 --> 00:02:46.000]  這個標誌是有毒的
[00:02:46.000 --> 00:02:49.000]  是毒地的
[00:02:49.000 --> 00:02:51.000]  要小心避開
[00:02:51.000 --> 00:02:55.000]  看到記號作出的反應和態度
[00:02:55.000 --> 00:02:57.000]  才是重要的
[00:02:57.000 --> 00:03:00.000]  例如路面濕滑的牌
[00:03:00.000 --> 00:03:02.000]  我們又怎樣?
[00:03:02.000 --> 00:03:04.000]  走得小心一點
[00:03:04.000 --> 00:03:07.000]  滑倒就出事
[00:03:07.000 --> 00:03:09.000]  如果是駕駛者
[00:03:09.000 --> 00:03:12.000]  看到前面寫著急彎
[00:03:12.000 --> 00:03:13.000]  應該怎樣?
[00:03:13.000 --> 00:03:15.000]  減速
[00:03:15.000 --> 00:03:17.000]  你還踩油門
[00:03:17.000 --> 00:03:21.000]  有機會被朋友撞車
[00:03:21.000 --> 00:03:24.000]  拖行李就麻煩怎樣?
[00:03:24.000 --> 00:03:26.000]  搭電梯
[00:03:26.000 --> 00:03:28.000]  颱風警告下
