
[00:00:00.000 --> 00:00:03.360]  今天的訊息主題就是今天的福音
[00:00:03.360 --> 00:00:06.800]  現在已經踏入了二月已經有一半了
[00:00:06.800 --> 00:00:08.880]  如果沒有搞錯的話
[00:00:08.880 --> 00:00:11.320]  農曆新年就好像快到了
[00:00:11.320 --> 00:00:15.280]  我都預先想祝大家新年快樂 身體健康
[00:00:15.280 --> 00:00:16.960]  今年是馬年
[00:00:16.960 --> 00:00:18.960]  我祝大家農馬精神
[00:00:18.960 --> 00:00:20.520]  馬到功成
[00:00:20.520 --> 00:00:23.040]  我聽到有個基督徒跟我說
[00:00:23.040 --> 00:00:26.000]  他說基督徒今年可以祝大家馬上得福
[00:00:26.000 --> 00:00:27.720]  馬上得福
[00:00:27.720 --> 00:00:30.680]  即是你馬上就行了 馬上得福
[00:00:30.680 --> 00:00:32.400]  我都很記得這句說話
[00:00:32.400 --> 00:00:34.480]  今日的訊息開始之前
[00:00:34.480 --> 00:00:37.200]  我就想這樣說
[00:00:37.200 --> 00:00:40.200]  農曆新年是講福氣的
[00:00:40.200 --> 00:00:42.320]  就想大家都得福
[00:00:42.320 --> 00:00:46.880]  但這篇訊息又並非單單是安慰的訊息
[00:00:46.880 --> 00:00:52.880]  反而是一個提醒我們的訊息
[00:00:52.880 --> 00:00:55.880]  我就想問大家一個問題
[00:00:55.880 --> 00:00:59.440]  你有沒有曾經試過
[00:00:59.440 --> 00:01:04.200]  有意無意之間做了一些出醜的事情
[00:01:04.200 --> 00:01:07.120]  甚至你覺得真的很醜怪的事情
[00:01:07.120 --> 00:01:09.720]  你想一想有還是沒有
[00:01:09.720 --> 00:01:11.520]  喝了多多少少
[00:01:11.520 --> 00:01:13.160]  你可能會覺得很奇怪
[00:01:13.160 --> 00:01:17.160]  為什麼牧師今天一來就問這樣的問題
[00:01:17.160 --> 00:01:19.560]  如果你可能會覺得
[00:01:19.560 --> 00:01:21.480]  哎呀 我說沒有
[00:01:21.480 --> 00:01:23.920]  你又不相信 怎麼會沒有
[00:01:23.920 --> 00:01:26.960]  但我說有 但我又不好意思說
[00:01:26.960 --> 00:01:29.800]  你都說醜事了 我怎麼會想說呢
[00:01:29.800 --> 00:01:31.960]  這就是我們的心境
[00:01:31.960 --> 00:01:34.680]  傳統華人有句說話
[00:01:34.680 --> 00:01:37.000]  家醜什麼
[00:01:37.000 --> 00:01:38.120]  不出外傳
[00:01:38.120 --> 00:01:39.800]  很多事情是怎樣呢
[00:01:39.800 --> 00:01:41.600]  自己知道就算了
[00:01:41.600 --> 00:01:43.000]  不要傳出去
[00:01:43.000 --> 00:01:45.400]  正所謂 關上門打兒子
[00:01:45.400 --> 00:01:48.240]  有人問起 最近你兒子怎麼樣
[00:01:48.240 --> 00:01:52.200]  最近我兒子特別乖
[00:01:52.200 --> 00:01:54.600]  打完當然特別乖
[00:01:54.600 --> 00:01:59.160]  這個傳統思想我就不知道有沒有過時
[00:01:59.160 --> 00:02:01.440]  但是今天的世代
[00:02:01.440 --> 00:02:03.520]  很多事情都不同了
[00:02:03.520 --> 00:02:06.080]  我曾經在網上見過一句說話
[00:02:06.080 --> 00:02:07.400]  這句說話叫做
[00:02:07.400 --> 00:02:10.080]  只要你不怕醜
[00:02:10.080 --> 00:02:12.080]  怕醜的就是別人
[00:02:12.080 --> 00:02:13.840]  你明白就明白了
[00:02:13.840 --> 00:02:15.600]  也有聽過別人說
[00:02:15.600 --> 00:02:18.120]  現今世界在網上
[00:02:18.120 --> 00:02:23.720]  甚至你做人無恥就是最什麼
[00:02:23.720 --> 00:02:24.760]  有人說無敵
[00:02:24.760 --> 00:02:26.920]  對呀 網上真的說了這些說話
[00:02:26.920 --> 00:02:28.360]  我不是贊同
[00:02:28.360 --> 00:02:31.120]  但是現在網上新的一代
[00:02:31.120 --> 00:02:35.240]  就是覺得無恥是一種能力
[00:02:35.240 --> 00:02:37.040]  我記得我小時候
[00:02:37.040 --> 00:02:40.000]  有一次我都會人有三急的
[00:02:40.000 --> 00:02:41.880]  四處找廁所
[00:02:41.880 --> 00:02:43.720]  很不容易終於找到
[00:02:43.720 --> 00:02:45.160]  一推開門
[00:02:45.160 --> 00:02:46.960]  一看進去
[00:02:46.960 --> 00:02:49.320]  為什麼沒有尿兜
[00:02:49.320 --> 00:02:50.840]  看真一點
[00:02:50.840 --> 00:02:53.360]  為什麼粉紅色的
[00:02:53.360 --> 00:02:55.360]  小孩子推開的那些
[00:02:55.360 --> 00:02:56.760]  是什麼顏色的
[00:02:56.760 --> 00:02:58.840]  男孩子應該是粉藍色的
[00:02:58.840 --> 00:03:01.120]  接著就可能見到一位女士
[00:03:01.120 --> 00:03:04.000]  推開廁格的門出來
[00:03:04.000 --> 00:03:05.400]  小孩子都害怕的
[00:03:05.400 --> 00:03:07.680]  我就馬上走出去
[00:03:07.680 --> 00:03:09.680]  如果這些醜事
[00:03:09.680 --> 00:03:11.840]  今天發生
[00:03:11.840 --> 00:03:14.960]  你看到我推開後面的女廁
[00:03:14.960 --> 00:03:16.600]  進去裡面的話
[00:03:16.600 --> 00:03:19.920]  現在就很大件事了
[00:03:19.920 --> 00:03:23.200]  我覺得出醜
[00:03:23.200 --> 00:03:24.640]  醜事
[00:03:24.640 --> 00:03:27.560]  多多少少人人都會有
[00:03:27.560 --> 00:03:28.720]  如果沒有人知道
[00:03:28.720 --> 00:03:31.320]  那就當沒事了
[00:03:31.320 --> 00:03:32.640]  同意嗎
[00:03:32.640 --> 00:03:34.440]  但是你想一想
[00:03:34.440 --> 00:03:36.320]  如果你的醜事
[00:03:36.320 --> 00:03:38.320]  羞恥的事情
[00:03:38.320 --> 00:03:40.400]  被人知道了
[00:03:40.400 --> 00:03:42.200]  不止
[00:03:42.200 --> 00:03:44.760]  還要你都知道人家知道
[00:03:44.760 --> 00:03:48.040]  人家都知道你知道他們知道的時候
[00:03:48.040 --> 00:03:51.160]  那你又會怎樣呢
[00:03:51.160 --> 00:03:52.120]  今天的經文
[00:03:52.120 --> 00:03:55.800]  保羅正正就是面對一個這樣的處境
[00:03:55.800 --> 00:03:57.600]  保羅他知道的
[00:03:57.600 --> 00:04:01.280]  不少人覺得他很醜怪
[00:04:01.280 --> 00:04:02.920]  很羞恥
[00:04:02.920 --> 00:04:05.520]  因為在這一班人的眼中
[00:04:05.520 --> 00:04:08.080]  保羅所信過的福音
[00:04:08.080 --> 00:04:12.800]  本身是一件很羞恥的事情
[00:04:12.800 --> 00:04:16.880]  訊息主題是今天的福音
[00:04:16.880 --> 00:04:20.040]  我之所以要著重今天
[00:04:20.040 --> 00:04:21.320]  是因為今天的經文
[00:04:21.320 --> 00:04:25.720]  其實整段保羅都是用上一個現在式去講的
[00:04:25.720 --> 00:04:31.320]  保羅他不是著重我們覺得過去福音有多重要
[00:04:31.320 --> 00:04:33.280]  而是在今天的當中
[00:04:33.280 --> 00:04:34.480]  今天我們的生命
[00:04:34.480 --> 00:04:36.640]  今天我們的呼吸
