
[00:00:00.000 --> 00:00:01.400]  各位弟子妹
[00:00:01.400 --> 00:00:05.400]  今日的講題是生命、死亡和復活
[00:00:05.400 --> 00:00:11.400]  生命和死亡是很多哲學家思想的課題
[00:00:11.400 --> 00:00:16.400]  世界有很多人全活著
[00:00:16.400 --> 00:00:22.400]  但是有生命不一定真的活著
[00:00:22.400 --> 00:00:25.400]  有生命的氣息也不代表一定是活人
[00:00:25.400 --> 00:00:29.000]  有些人可能在軀體上有氣息
[00:00:29.000 --> 00:00:32.000]  但是他的靈魂並沒有功效
[00:00:32.000 --> 00:00:35.000]  這可以說和死人沒有分別
[00:00:35.000 --> 00:00:39.000]  我稱之為行屍走肉
[00:00:39.000 --> 00:00:41.000]  沒有方向、沒有意義
[00:00:41.000 --> 00:00:44.000]  沒有真正享受生命的喜樂
[00:00:44.000 --> 00:00:49.000]  是一個只能吃、只能睡的軀殼
[00:00:49.000 --> 00:00:52.000]  相反這個世界
[00:00:52.000 --> 00:00:55.000]  有些人即使他的肉身已經不在了
[00:00:55.000 --> 00:00:58.000]  但是他對整個世界
[00:00:58.000 --> 00:01:01.000]  人類社會和別人的生命
[00:01:01.000 --> 00:01:04.000]  是有非常大的影響
[00:01:04.000 --> 00:01:05.000]  到今天
[00:01:05.000 --> 00:01:10.000]  他這個活著仍然呈現在我們眼前
[00:01:10.000 --> 00:01:14.000]  今天大家所用的手提電話
[00:01:14.000 --> 00:01:15.000]  很方便
[00:01:15.000 --> 00:01:22.000]  以往你上網一定要回到公司或家裡的電腦上
[00:01:22.000 --> 00:01:26.000]  但是現在電話使你隨時在線
[00:01:26.000 --> 00:01:31.000]  我們有時候不知道要多謝還是罵爆一個人
[00:01:31.000 --> 00:01:34.000]  就是蘋果教主喬布斯
[00:01:34.000 --> 00:01:38.000]  他在去世之前推出了四代的iPhone
[00:01:38.000 --> 00:01:40.000]  改變了今天的世界
[00:01:40.000 --> 00:01:43.000]  我想無論你覺得他是怎樣
[00:01:43.000 --> 00:01:45.000]  我們都不能不承認
[00:01:45.000 --> 00:01:47.000]  他這個雖然死了的人
[00:01:47.000 --> 00:01:51.000]  今天仍然對世界有很大的影響力
[00:01:51.000 --> 00:01:55.000]  他曾經有一次的演講裡透露
[00:01:55.000 --> 00:02:00.000]  他說他17歲的時候讀到一個格言
[00:02:00.000 --> 00:02:04.000]  他說每天將你的生命當作最後一天
[00:02:04.000 --> 00:02:08.000]  有一天你會發覺那一天真是最後一天
[00:02:08.000 --> 00:02:11.000]  他說這句話對他人生有很大的影響
[00:02:11.000 --> 00:02:14.000]  在過去的33年裡
[00:02:14.000 --> 00:02:17.000]  他每天都照著鏡子問自己
[00:02:17.000 --> 00:02:20.000]  他說如果今天是我人生的最後一天
[00:02:20.000 --> 00:02:25.000]  我是否仍然打算做我今天打算做的事呢
[00:02:25.000 --> 00:02:30.000]  如果連續很多天他發現答案都是NO的時候
[00:02:30.000 --> 00:02:33.000]  他知道他必須有所改變
[00:02:33.000 --> 00:02:38.000]  他這種不斷改變的精神就改變了今天的世界
[00:02:38.000 --> 00:02:41.000]  他提醒自己他可能很快死
[00:02:41.000 --> 00:02:47.000]  所以他下定決心他要改變
[00:02:47.000 --> 00:02:50.000]  並且他看身邊的每一件事
[00:02:50.000 --> 00:02:53.000]  外界的期望名譽
[00:02:53.000 --> 00:02:56.000]  困迫或者失敗的恐懼
