
[00:00:00.000 --> 00:00:03.360]  當我提出這個題目的時候
[00:00:03.360 --> 00:00:05.720]  我自己也在想
[00:00:05.720 --> 00:00:09.960]  我不知道你會不會有我這樣的想法
[00:00:09.960 --> 00:00:11.960]  因爲這個題目是
[00:00:11.960 --> 00:00:14.760]  活着的期待
[00:00:14.760 --> 00:00:16.760]  是吧
[00:00:16.760 --> 00:00:20.160]  我們現在是不是每個人都在活着
[00:00:20.160 --> 00:00:22.160]  或者是在犯着呢
[00:00:22.160 --> 00:00:24.160]  (笑聲)
[00:00:24.160 --> 00:00:25.760]  我給自己的問題說
[00:00:25.760 --> 00:00:27.560]  當然啦
[00:00:27.560 --> 00:00:29.160]  人當然是活着
[00:00:29.160 --> 00:00:32.040]  纔會有期待啦
[00:00:32.040 --> 00:00:34.560]  死人有期待嗎
[00:00:34.560 --> 00:00:35.760]  所以我自己在想
[00:00:35.760 --> 00:00:38.360]  這個題目是不是很contradictory
[00:00:38.360 --> 00:00:41.000]  是不是自己在問自己一個
[00:00:41.000 --> 00:00:44.160]  很有趣的一個題目出來
[00:00:44.160 --> 00:00:45.000]  但事實上
[00:00:45.000 --> 00:00:48.280]  如果我們看今天的經文的時候
[00:00:48.280 --> 00:00:49.920]  我們都知道這個
[00:00:49.920 --> 00:00:51.600]  很特別的人
[00:00:51.600 --> 00:00:52.960]  他活着的時候
[00:00:52.960 --> 00:00:54.520]  他有期待
[00:00:54.520 --> 00:00:55.520]  我不知道
[00:00:55.520 --> 00:00:57.360]  2014年
[00:00:57.360 --> 00:00:59.560]  2014年
[00:00:59.560 --> 00:01:03.040]  對你來說你有什麼期待嗎
[00:01:03.040 --> 00:01:07.840]  還是你一天過了一天
[00:01:07.840 --> 00:01:11.120]  我記得我
[00:01:11.120 --> 00:01:11.960]  比較小的時候
[00:01:11.960 --> 00:01:14.160]  我不知道香港是不是這樣
[00:01:14.160 --> 00:01:17.560]  我記得那時候差不多是1974年
[00:01:17.560 --> 00:01:19.080]  我讀小學
[00:01:19.080 --> 00:01:19.840]  每一次呢
[00:01:19.840 --> 00:01:20.880]  每一次
[00:01:20.880 --> 00:01:22.480]  每一天
[00:01:22.480 --> 00:01:24.560]  你都會需要寫
[00:01:24.560 --> 00:01:28.720]  讀文章或者寫什麼你的右手上
[00:01:28.720 --> 00:01:30.400]  都有寫一個日期
[00:01:30.400 --> 00:01:33.680]  香港是不是這樣
[00:01:33.680 --> 00:01:37.240]  那時候是1974年幾月幾號
[00:01:37.240 --> 00:01:37.840]  那我想
[00:01:37.840 --> 00:01:39.280]  哇
[00:01:39.280 --> 00:01:40.920]  好遠哦
[00:01:40.920 --> 00:01:43.440]  什麼時候那個一字呢
[00:01:43.440 --> 00:01:47.800]  纔可以換成那個二字呢
[00:01:47.800 --> 00:01:49.960]  就這樣40年過去了
[00:01:49.960 --> 00:01:51.080]  原來
[00:01:51.080 --> 00:01:52.720]  2014年
[00:01:52.720 --> 00:01:54.280]  就開始了
[00:01:54.280 --> 00:01:55.400]  那我想
[00:01:55.400 --> 00:01:59.680]  這一天的日期之中
[00:01:59.680 --> 00:02:02.000]  這些日子之中
[00:02:02.000 --> 00:02:04.760]  我期待過什麼嗎
[00:02:04.760 --> 00:02:06.160]  我活着
[00:02:06.160 --> 00:02:09.120]  是不是我活着很有意義嗎
[00:02:09.120 --> 00:02:10.480]  前兩個月
[00:02:10.480 --> 00:02:12.200]  我探訪一個很年輕
[00:02:12.200 --> 00:02:15.920]  三十幾歲的一個行政病患
[00:02:15.920 --> 00:02:17.760]  他問了一個問題
[00:02:17.760 --> 00:02:19.320]  他說我活着
[00:02:19.320 --> 00:02:25.200]  到底有什麼意義呢
[00:02:25.200 --> 00:02:27.200]  因爲他的生命
[00:02:27.200 --> 00:02:30.000]  好像定了一個日期
[00:02:30.000 --> 00:02:31.280]  是不是
[00:02:31.280 --> 00:02:33.200]  我們
[00:02:33.200 --> 00:02:35.200]  如果沒有病痛的人
[00:02:35.200 --> 00:02:37.120]  我們不知道我們在生命之中
[00:02:37.120 --> 00:02:38.440]  在這個世上
[00:02:38.440 --> 00:02:40.520]  可以活得多長
[00:02:40.520 --> 00:02:42.000]  但如果你去看醫生
[00:02:42.000 --> 00:02:42.560]  醫生說
[00:02:42.560 --> 00:02:43.760]  哎對不起了
[00:02:43.760 --> 00:02:45.480]  你有這個痕症
[00:02:45.480 --> 00:02:49.280]  好像就宣告了你有一個日期哦
[00:02:49.280 --> 00:02:51.040]  因爲有時醫生會跟你說
[00:02:51.040 --> 00:02:52.320]  你有兩年
[00:02:52.320 --> 00:02:54.040]  有時醫生會跟你說
[00:02:54.040 --> 00:02:57.720]  你剩下半年
[00:02:57.720 --> 00:02:59.920]  我聽過
[00:02:59.920 --> 00:03:03.720]  三個月前我聽過
