
[00:00:00.000 --> 00:00:04.260]  今天我們會繼續來看《針研書》的訊息
[00:00:04.260 --> 00:00:13.320]  我們今年崇拜港道也有幾個不同的經卷來傳講
[00:00:13.320 --> 00:00:18.280]  《針研書》大致上在上半年我們到今天就完成了
[00:00:18.280 --> 00:00:20.240]  其實是講了很少而已
[00:00:20.240 --> 00:00:23.040]  不過我仍然很想邀請弟兄姊妹
[00:00:23.040 --> 00:00:25.200]  你可以在回家的時候
[00:00:25.200 --> 00:00:29.880]  能夠有機會多去看看《針研書》裡面的訊息
[00:00:31.000 --> 00:00:34.040]  今天我很想用一個生活中的智慧結連
[00:00:34.040 --> 00:00:37.040]  來和大家領受神給我們的訊息
[00:00:37.040 --> 00:00:40.500]  智慧結連對我們來說
[00:00:40.500 --> 00:00:47.040]  我不知道大家覺得這個結連有多強或有多重要
[00:00:47.040 --> 00:00:49.040]  可能今天我們一想到
[00:00:49.040 --> 00:00:52.000]  生活裡面我們最重要的
[00:00:52.000 --> 00:00:54.500]  不知道是否一定是智慧的結連
[00:00:54.500 --> 00:00:57.500]  反而可能是智能的結連
[00:00:57.500 --> 00:00:59.500]  對你來說是一個很重要的
[00:01:00.500 --> 00:01:04.000]  最近剛剛元朗的大停電
[00:01:04.000 --> 00:01:09.000]  大家都覺得不知道有沒有當中弟兄姊妹住在那邊
[00:01:09.000 --> 00:01:10.500]  最艱難就是沒有電
[00:01:10.500 --> 00:01:12.000]  沒有電就引起什麼?
[00:01:12.000 --> 00:01:13.000]  又沒有冷氣
[00:01:13.000 --> 00:01:14.000]  又沒有雪櫃
[00:01:14.000 --> 00:01:15.500]  沒有了這些東西就慘了
[00:01:15.500 --> 00:01:17.000]  又沒得洗澡
[00:01:17.000 --> 00:01:18.000]  沒有水
[00:01:18.000 --> 00:01:19.500]  但另一個大家很關心的是什麼?
[00:01:19.500 --> 00:01:23.500]  原來那個電纜影響到沒有訊號
[00:01:23.500 --> 00:01:25.000]  手機收不到
[00:01:25.000 --> 00:01:27.500]  這樣可能對很多人來說
[00:01:27.500 --> 00:01:29.000]  都覺得很不方便
[00:01:29.000 --> 00:01:31.000]  又上不了網
[00:01:31.000 --> 00:01:32.500]  用不了手機
[00:01:32.500 --> 00:01:35.500]  智慧結連怎麼算好呢?
[00:01:35.500 --> 00:01:37.500]  所以有些人會交流
[00:01:37.500 --> 00:01:39.500]  怎樣找一些好一點的網絡
[00:01:39.500 --> 00:01:42.500]  4G號 4.5G 還是5G號
[00:01:42.500 --> 00:01:46.500]  你的計劃有多少數據可以用
[00:01:46.500 --> 00:01:49.500]  看看什麼時候又可以升級一下
[00:01:49.500 --> 00:01:51.000]  升級一下手機
[00:01:51.000 --> 00:01:52.500]  可能這些都是我很關心的
[00:01:52.500 --> 00:01:54.000]  我們在生活上
[00:01:54.000 --> 00:01:58.000]  我想頂多我們作為基督徒
[00:01:58.000 --> 00:01:59.500]  我們更加需要有一個
[00:01:59.500 --> 00:02:03.500]  生活上高的智慧的結連
[00:02:03.500 --> 00:02:06.500]  《真言書》就是能夠幫助我們
[00:02:06.500 --> 00:02:09.000]  能夠有一個更好的
[00:02:09.000 --> 00:02:12.000]  應該要有的智慧結連
[00:02:12.000 --> 00:02:14.500]  今天的經文其實很短
[00:02:14.500 --> 00:02:16.000]  但我會跟大家一起看看
[00:02:16.000 --> 00:02:18.500]  不同的一些《真言書》的經文
[00:02:18.500 --> 00:02:19.500]  其他的一些經文
[00:02:19.500 --> 00:02:23.000]  幫助我們可以領受到神明我們的訊息
[00:02:23.000 --> 00:02:24.000]  我想邀請領子妹
[00:02:24.000 --> 00:02:26.000]  我們讀一次這段經文
[00:02:26.000 --> 00:02:29.500]  28章的25到27節
[00:02:29.500 --> 00:02:31.500]  我們一起來讀一下
[00:02:31.500 --> 00:02:32.500]  預備 起
[00:02:32.500 --> 00:02:36.500]  心中貪婪的挑起爭端
[00:02:36.500 --> 00:02:40.500]  依靠耶和華的必得風雨
[00:02:40.500 --> 00:02:44.500]  心中自視的便是愚昧人
[00:02:44.500 --> 00:02:48.500]  憑智慧行事的必蒙拯救
[00:02:48.500 --> 00:02:52.500]  周濟貧窮的不自缺乏
[00:02:52.500 --> 00:02:57.500]  搶為不見的必多受奏助
