
[00:00:00.000 --> 00:00:04.000]  今天很高興在這個這麼好的地方
[00:00:04.000 --> 00:00:07.000]  這麼安靜的時候
[00:00:07.000 --> 00:00:09.000]  我們來敬拜神
[00:00:09.000 --> 00:00:11.000]  和一齊思想神的話語
[00:00:11.000 --> 00:00:13.000]  過去一個星期發生了很多事
[00:00:13.000 --> 00:00:15.000]  這個世界各地
[00:00:15.000 --> 00:00:17.000]  或者你的生命裡面都有很多的經歷
[00:00:17.000 --> 00:00:21.000]  今天我的禱告就是
[00:00:21.000 --> 00:00:23.000]  神的話語能夠安慰你
[00:00:23.000 --> 00:00:25.000]  能夠激勵你
[00:00:25.000 --> 00:00:27.000]  或者你說我還沒信耶穌
[00:00:27.000 --> 00:00:28.000]  我在尋求的
[00:00:28.000 --> 00:00:31.000]  今天讓耶穌基督的話
[00:00:31.000 --> 00:00:32.000]  祂的心
[00:00:32.000 --> 00:00:34.000]  來給你一些啟發
[00:00:34.000 --> 00:00:37.000]  為你找到答案
[00:00:37.000 --> 00:00:39.000]  不知道大家有沒有聽過
[00:00:39.000 --> 00:00:40.000]  兩個星期之前
[00:00:40.000 --> 00:00:44.000]  在中國的浙江省寧波市
[00:00:44.000 --> 00:00:47.000]  那裡有一則新聞
[00:00:47.000 --> 00:00:50.000]  有一個人被動物園的老虎咬死了
[00:00:50.000 --> 00:00:53.000]  其實在這個新聞後面
[00:00:53.000 --> 00:00:55.000]  是有一個悲慘的故事
[00:00:55.000 --> 00:00:57.000]  一家三口
[00:00:57.000 --> 00:00:59.000]  爸爸媽媽和孩子
[00:00:59.000 --> 00:01:01.000]  去動物園
[00:01:01.000 --> 00:01:03.000]  門費非常貴
[00:01:03.000 --> 00:01:05.000]  150人民幣
[00:01:05.000 --> 00:01:07.000]  這個貧苦的家庭
[00:01:07.000 --> 00:01:09.000]  爸爸買了兩張門票
[00:01:09.000 --> 00:01:11.000]  一個給太太一個給兒子
[00:01:11.000 --> 00:01:13.000]  他自己想省點錢
[00:01:13.000 --> 00:01:15.000]  就跳過牆進去
[00:01:15.000 --> 00:01:17.000]  誰知跳進老虎圈裡
[00:01:17.000 --> 00:01:19.000]  就被老虎咬死了
[00:01:19.000 --> 00:01:21.000]  或者你說這個人
[00:01:21.000 --> 00:01:23.000]  買門票是不對的
[00:01:23.000 --> 00:01:25.000]  當然是不對的
[00:01:25.000 --> 00:01:27.000]  每個人每天面對生活的壓力
[00:01:27.000 --> 00:01:29.000]  受到不同的誘惑
[00:01:29.000 --> 00:01:32.000]  很多時候就做了一些不對的事
[00:01:32.000 --> 00:01:35.000]  我辦公室在尖沙咀
[00:01:35.000 --> 00:01:37.000]  在兩天前星期五晚
[00:01:37.000 --> 00:01:39.000]  我坐地鐵離開了尖沙咀站之後
[00:01:39.000 --> 00:01:42.000]  15分鐘就有一個縱火的事件
[00:01:42.000 --> 00:01:44.000]  19個人傷
[00:01:44.000 --> 00:01:46.000]  有4個還在危殆
[00:01:46.000 --> 00:01:49.000]  人生就是這樣
[00:01:49.000 --> 00:01:51.000]  應該發生的事
[00:01:51.000 --> 00:01:53.000]  理想發生的事沒有發生
[00:01:53.000 --> 00:01:56.000]  不應該發生的事就發生了
[00:01:56.000 --> 00:01:59.000]  所以我覺得現代的人
[00:01:59.000 --> 00:02:03.000]  未必一定比2000年前的人幸福
[00:02:03.000 --> 00:02:05.000]  可能我們的光景
[00:02:05.000 --> 00:02:09.000]  和耶穌時代的人差不多
[00:02:09.000 --> 00:02:11.000]  耶穌時代的人是怎樣呢
[00:02:11.000 --> 00:02:13.000]  剛才我們讀的經文就說
[00:02:13.000 --> 00:02:15.000]  耶穌看著這群群眾
[00:02:15.000 --> 00:02:19.000]  就說他們困苦無依
[00:02:19.000 --> 00:02:21.000]  好像無目人的羊一樣
[00:02:21.000 --> 00:02:24.000]  今天我們要看四字的聖經
[00:02:24.000 --> 00:02:26.000]  馬太福音四字的聖經
[00:02:26.000 --> 00:02:29.000]  在裡面我們要看到耶穌做了什麼
[00:02:29.000 --> 00:02:30.000]  祂想了什麼
[00:02:30.000 --> 00:02:33.000]  我希望大家看完這四字聖經之後
[00:02:33.000 --> 00:02:36.000]  你可以戴著耶穌的眼鏡
[00:02:36.000 --> 00:02:38.000]  來看這個世界
[00:02:38.000 --> 00:02:41.000]  從耶穌的角度來看這個世界
[00:02:41.000 --> 00:02:49.000]  馬太福音如果你要很簡單的去看
[00:02:49.000 --> 00:02:50.000]  可以分成兩部分
[00:02:50.000 --> 00:02:52.000]  第一部分是一至九章
[00:02:52.000 --> 00:02:54.000]  第二部分是十到二十八章
[00:02:54.000 --> 00:02:57.000]  其實你可以用很多方法去分段
[00:02:57.000 --> 00:02:58.000]  如果大家早上流浪
[00:02:58.000 --> 00:03:00.000]  不想想太多就分兩段
[00:03:00.000 --> 00:03:03.000]  第一段就說到耶穌基督是君王
[00:03:03.000 --> 00:03:07.000]  第二段就說到耶穌培訓差憲門徒
[00:03:07.000 --> 00:03:10.000]  你怎樣看到耶穌基督是君王呢
[00:03:10.000 --> 00:03:14.000]  其實耶穌一開始
[00:03:14.000 --> 00:03:18.000]  馬太福音一開始就說到耶穌的家譜
[00:03:18.000 --> 00:03:21.000]  誰生誰這個是一個君王的家譜
[00:03:21.000 --> 00:03:24.000]  天國的福音醫治各樣的病症
[00:03:24.000 --> 00:03:25.000]  為他洗禮
[00:03:25.000 --> 00:03:27.000]  之後有聲音在天上說
[00:03:27.000 --> 00:03:29.000]  這個是我的愛子
