
[00:00:00.000 --> 00:00:03.200]  有一次是,大家聽過福爾摩斯,
[00:00:03.200 --> 00:00:07.600]  有一次福爾摩斯和他的科學家朋友去露營,
[00:00:07.600 --> 00:00:11.000]  在一整天的活動之後,
[00:00:11.000 --> 00:00:14.200]  他們兩個就回到帳篷睡覺了。
[00:00:14.200 --> 00:00:16.800]  沒多久之後,福爾摩斯就醒了,
[00:00:16.800 --> 00:00:18.000]  推一推他旁邊的朋友說:
[00:00:18.000 --> 00:00:20.400]  「喂!朋友,你看一看天空,
[00:00:20.400 --> 00:00:23.100]  你告訴我,你看到些什麼?」
[00:00:23.100 --> 00:00:24.000]  朋友就跟他說:
[00:00:24.000 --> 00:00:27.400]  「我看到數以百萬計的星星。」
[00:00:27.400 --> 00:00:32.000]  福爾摩斯就說:「這些星星告訴你什麼呢?」
[00:00:32.000 --> 00:00:33.600]  這個朋友想了一會,就說:
[00:00:33.600 --> 00:00:35.600]  「從天文學的角度來看,
[00:00:35.600 --> 00:00:38.800]  它告訴我,有數以百萬個的星系,
[00:00:38.800 --> 00:00:41.200]  有數以億計的恆星,
[00:00:41.200 --> 00:00:43.200]  如果從占星學的角度來看,
[00:00:43.200 --> 00:00:44.400]  我看到獅子座,
[00:00:44.400 --> 00:00:46.700]  從神學的角度來看,
[00:00:46.700 --> 00:00:50.500]  神是一個大能的神,
[00:00:50.500 --> 00:00:53.100]  如果從氣象學的角度來看,
[00:00:53.100 --> 00:00:54.500]  明天應該是很好天的。」
[00:00:54.500 --> 00:00:57.700]  「喂!等一下,為何你半夜三更叫醒我問這個問題?
[00:00:57.700 --> 00:01:00.400]  這些星星又告訴你什麼呢?」
[00:01:00.400 --> 00:01:02.600]  福爾摩斯想了一會,就看著朋友說:
[00:01:02.600 --> 00:01:08.100]  「朋友,我們的帳目被人偷了。」
[00:01:08.100 --> 00:01:10.800]  這個笑話告訴我們,
[00:01:10.800 --> 00:01:13.900]  每一個人都根據我們的知識,
[00:01:13.900 --> 00:01:16.200]  我們的世界觀和我們的信念,
[00:01:16.200 --> 00:01:19.700]  來解釋究竟發生在我們周圍的事情,
[00:01:19.700 --> 00:01:21.900]  應該怎樣理解。
[00:01:21.900 --> 00:01:25.800]  特別是在後現代的文化當中,
[00:01:25.800 --> 00:01:28.700]  人已經不再追求絕對的真理。
[00:01:28.700 --> 00:01:30.000]  人是強調說:
[00:01:30.000 --> 00:01:34.100]  「喂!我怎樣個人來解釋這個世界呢?」
[00:01:34.100 --> 00:01:37.800]  真理漸漸變得個人化。
[00:01:37.800 --> 00:01:40.000]  就像福爾摩斯這個故事裡面,
[00:01:40.000 --> 00:01:44.600]  這個朋友在多方面的不同觀察都對的。
[00:01:44.600 --> 00:01:47.300]  也同時告訴我們一個事實,
[00:01:47.300 --> 00:01:49.800]  就是我們可以用不同的方式,
[00:01:49.800 --> 00:01:53.400]  不同的角度來理解和解釋這個世界。
[00:01:53.400 --> 00:01:55.800]  而這些不同的解釋,
[00:01:55.800 --> 00:01:59.400]  就決定了我們怎樣面對這個世界,
[00:01:59.400 --> 00:02:02.200]  如何在這個世界裡面生活,
[00:02:02.200 --> 00:02:04.800]  或者我們生命的態度如何。
[00:02:04.800 --> 00:02:06.800]  今天我們的經文,
[00:02:06.800 --> 00:02:10.500]  就讓我們看到一個在世俗世界裡面,
[00:02:10.500 --> 00:02:12.700]  很難找到的生命態度,
[00:02:12.700 --> 00:02:14.500]  很難找到的。
[00:02:14.500 --> 00:02:15.600]  想像一下,
[00:02:15.600 --> 00:02:17.600]  如果你在監獄裡面,
[00:02:17.600 --> 00:02:21.300]  在等待宣判,在等待判刑,
[00:02:21.300 --> 00:02:22.600]  你的心情是怎樣的?
[00:02:22.600 --> 00:02:25.500]  你會不會很開心,很喜樂?
[00:02:25.500 --> 00:02:28.800]  如果你需要面對的懲罰,
[00:02:28.800 --> 00:02:32.400]  不是因為你犯罪而得到懲罰,
[00:02:32.400 --> 00:02:37.400]  而是因為你盡心盡性來侍奉這個神,
[00:02:37.400 --> 00:02:40.600]  你會心裡面開心嗎?
[00:02:40.600 --> 00:02:43.200]  又或者如果你明知道這個神,
[00:02:43.200 --> 00:02:45.200]  你所信的神,你所依靠的神,
[00:02:45.200 --> 00:02:47.800]  祂是有能力拯救你的,
[00:02:47.800 --> 00:02:50.500]  不過祂沒有這樣做。
[00:02:50.500 --> 00:02:52.200]  你會感恩嗎?
[00:02:52.200 --> 00:02:54.200]  你會喜樂嗎?
[00:02:54.200 --> 00:02:57.000]  保羅寫了這封信的時候,
[00:02:57.000 --> 00:02:59.400]  應該是在監獄裡面寫這封信,
[00:02:59.400 --> 00:03:03.800]  很有可能他那個時候是在等待判刑,
[00:03:03.800 --> 00:03:06.000]  他不知道將來究竟發生什麼事,
[00:03:06.000 --> 00:03:11.200]  將來是患,是福,是禍,不知道。
[00:03:11.200 --> 00:03:13.000]  不過在整段的經文裡面,
[00:03:13.000 --> 00:03:16.800]  我們看不到保羅有半點的憂慮或者悲傷。
[00:03:16.800 --> 00:03:19.000]  相反來說,我們所看到的是什麼?
[00:03:19.000 --> 00:03:21.800]  喜樂和感恩。
[00:03:21.800 --> 00:03:25.400]  丙小妹,我問大家一個問題,
[00:03:25.400 --> 00:03:28.600]  如果你自己給分數去品評你的生命,
[00:03:28.600 --> 00:03:31.400]  你覺得你的快樂指數由零到十分,
[00:03:31.400 --> 00:03:34.400]  你覺得你自己給多少分?
[00:03:34.400 --> 00:03:37.400]  有沒有人給十分?
