
[00:00:00.000 --> 00:00:02.000]  多謝每一位主神
[00:00:02.000 --> 00:00:03.000]  我是黃牧師
[00:00:03.000 --> 00:00:05.000]  很高興能夠再次在主日崇拜的時間
[00:00:05.000 --> 00:00:07.000]  和大家一起見面
[00:00:07.000 --> 00:00:08.000]  分享神的說話
[00:00:08.000 --> 00:00:10.000]  讓我們在聆聽主導議先
[00:00:10.000 --> 00:00:12.000]  再次透過禱告
[00:00:12.000 --> 00:00:14.000]  將我們的心心靈
[00:00:14.000 --> 00:00:16.000]  交給我們的主愛地神
[00:00:16.000 --> 00:00:18.000]  感謝能夠在主日崇拜的時間
[00:00:18.000 --> 00:00:20.000]  再次跟弟兄姊妹
[00:00:20.000 --> 00:00:22.000]  一起來對上帝的話語
[00:00:22.000 --> 00:00:24.000]  有進一步的了解
[00:00:24.000 --> 00:00:26.000]  讓我們再次透過禱告
[00:00:26.000 --> 00:00:30.000]  將我們的心心靈
[00:00:30.000 --> 00:00:32.000]  交給我們的主人
[00:00:56.000 --> 00:00:58.000]  在神的世界中見面
[00:00:58.000 --> 00:01:00.000]  讓我們開始
[00:01:00.000 --> 00:01:02.000]  自卑的天父多謝你
[00:01:02.000 --> 00:01:04.000]  讓我們能夠再次
[00:01:04.000 --> 00:01:06.000]  回來在你寶貴說話的面前
[00:01:06.000 --> 00:01:08.000]  一起同心的學習
[00:01:08.000 --> 00:01:10.000]  求主你與我們同在
[00:01:10.000 --> 00:01:12.000]  讓你的聖靈
[00:01:12.000 --> 00:01:14.000]  能夠幫助我們
[00:01:14.000 --> 00:01:16.000]  能夠更準確地去掌握
[00:01:16.000 --> 00:01:18.000]  上帝你在聖經裏面的啟示
[00:01:18.000 --> 00:01:20.000]  也讓我們能夠
[00:01:20.000 --> 00:01:22.000]  更加明白到
[00:01:22.000 --> 00:01:24.000]  上帝你怎樣幫助我們
[00:01:24.000 --> 00:01:26.000]  讓我們和你的生命的成長
[00:01:26.000 --> 00:01:28.000]  讓我們能夠在永恆的當中
[00:01:28.000 --> 00:01:30.000]  與你同活
[00:01:30.000 --> 00:01:32.000]  求你的幫助
[00:01:32.000 --> 00:01:34.000]  我們同心的禱告
[00:01:34.000 --> 00:01:36.000]  奉靠主耶穌的德聖名至今
[00:01:36.000 --> 00:01:38.000]  阿門
[00:01:38.000 --> 00:01:40.000]  今天和大家弟兄姊妹一起分享的經文
[00:01:40.000 --> 00:01:42.000]  就是《加泰書》第五章
[00:01:42.000 --> 00:01:44.000]  第二十四節至第二十六節
[00:01:44.000 --> 00:01:46.000]  今天講到的題目
[00:01:46.000 --> 00:01:48.000]  就是「與神的靈平衡」
[00:01:48.000 --> 00:01:50.000]  「和平衡」
[00:01:50.000 --> 00:01:52.000]  在我們開始
[00:01:52.000 --> 00:01:54.000]  看這段經文之前
[00:01:54.000 --> 00:01:56.000]  也讓我們先讀一下
[00:01:56.000 --> 00:01:58.000]  這段經文吧
[00:01:58.000 --> 00:02:00.000]  《加泰書》第五章
[00:02:00.000 --> 00:02:02.000]  二十四至二十六節
[00:02:02.000 --> 00:02:04.000]  凡屬基督耶穌的人
[00:02:04.000 --> 00:02:06.000]  是已經把肉體
[00:02:06.000 --> 00:02:08.000]  連肉體的邪情
[00:02:08.000 --> 00:02:10.000]  私慾
[00:02:10.000 --> 00:02:12.000]  同釘在十字架上了
[00:02:12.000 --> 00:02:14.000]  我們若是靠
[00:02:14.000 --> 00:02:16.000]  聖靈得生
[00:02:16.000 --> 00:02:18.000]  就當靠聖靈行事
[00:02:18.000 --> 00:02:20.000]  不要貪圖虛名
[00:02:20.000 --> 00:02:22.000]  彼此惹氣
[00:02:22.000 --> 00:02:24.000]  互相疾惑
[00:02:24.000 --> 00:02:26.000]  在北美洲
[00:02:26.000 --> 00:02:28.000]  生活
[00:02:28.000 --> 00:02:30.000]  我相信有一輛車
[00:02:30.000 --> 00:02:32.000]  可以說是一個必需品
[00:02:32.000 --> 00:02:34.000]  所以在加拿大
[00:02:34.000 --> 00:02:36.000]  或北美洲
[00:02:36.000 --> 00:02:38.000]  大家一班人走在一起
[00:02:38.000 --> 00:02:40.000]  通常談論到
[00:02:40.000 --> 00:02:42.000]  汽車維修這個題目
[00:02:42.000 --> 00:02:44.000]  可以說是家常便飯
[00:02:44.000 --> 00:02:46.000]  和討論天氣
[00:02:46.000 --> 00:02:48.000]  也沒有太大分別
[00:02:48.000 --> 00:02:50.000]  但是不知道大家有沒有發現
[00:02:50.000 --> 00:02:52.000]  在我所認識的朋友當中
[00:02:52.000 --> 00:02:54.000]  他說每一次
[00:02:54.000 --> 00:02:56.000]  當我把汽車送到
[00:02:56.000 --> 00:02:58.000]  汽車維修中心的時候
[00:02:58.000 --> 00:03:00.000]  當地的職員
[00:03:00.000 --> 00:03:02.000]  通常馬上
[00:03:02.000 --> 00:03:04.000]  看完我們的紀錄
[00:03:04.000 --> 00:03:06.000]  汽車維修紀錄之後
[00:03:06.000 --> 00:03:08.000]  就會問一條問題
[00:03:08.000 --> 00:03:10.000]  你最近有沒有做過
[00:03:10.000 --> 00:03:12.000]  車輪胎的平衡
[00:03:12.000 --> 00:03:14.000]  我們通常所說的
[00:03:14.000 --> 00:03:16.000]  就是wheel balance
[00:03:16.000 --> 00:03:18.000]  他們也會問
[00:03:18.000 --> 00:03:20.000]  有沒有做到
[00:03:20.000 --> 00:03:22.000]  車輪的平衡調節
[00:03:22.000 --> 00:03:24.000]  這個就更加普遍
[00:03:24.000 --> 00:03:26.000]  稱之為alignment adjustment
[00:03:26.000 --> 00:03:28.000]  究竟這兩件事是什麼呢
[00:03:28.000 --> 00:03:30.000]  或者這些大兄姐妹
[00:03:30.000 --> 00:03:32.000]  平時這些汽車維修
[00:03:32.000 --> 00:03:34.000]  都交給老公處理
[00:03:34.000 --> 00:03:36.000]  自己未必那麼清楚
[00:03:36.000 --> 00:03:38.000]  是什麼東西
[00:03:38.000 --> 00:03:40.000]  尤其是去到這些維修中心
[00:03:40.000 --> 00:03:42.000]  去到這些職員
