
[00:00:00.000 --> 00:00:01.920]  敌兄姊妹們平安
[00:00:01.920 --> 00:00:08.240]  感謝主給我這個機會來到粵語堂跟各位分享神的話語
[00:00:08.240 --> 00:00:15.320]  感謝主給我這個機會來這裡跟大家分享神的話語
[00:00:15.320 --> 00:00:17.960]  我不曉得香港的教育制度是怎樣的
[00:00:17.960 --> 00:00:21.920]  但是在中國大陸分數就是一切
[00:00:21.920 --> 00:00:25.960]  我不知道香港的教育制度是怎樣的
[00:00:25.960 --> 00:00:29.680]  但是在中國大陸分數就是一切
[00:00:29.680 --> 00:00:35.520]  我們的教育制度就是用考試分數評級來把人分層
[00:00:35.520 --> 00:00:41.320]  學校家長孩子所有人都在這個體系裡都很無奈
[00:00:41.320 --> 00:00:45.720]  你只能按照這個體系的規則來運作
[00:00:45.720 --> 00:00:53.240]  我們的教育制度就是用考試分數和評級來把人分層
[00:00:53.240 --> 00:01:02.000]  學校家長孩子所有人都在這個體系裡都很無奈
[00:01:02.000 --> 00:01:06.560]  你只能按照這個體系的規則來運作
[00:01:06.560 --> 00:01:12.240]  這個體系有每一條明確的規則條規
[00:01:12.240 --> 00:01:15.400]  其實它們就可以被稱為律法
[00:01:15.400 --> 00:01:20.720]  這些冷冰冰的律法就像一條一條的尺子做成的籠子
[00:01:20.720 --> 00:01:23.880]  人活著的目的就是為了要達標
[00:01:23.880 --> 00:01:26.640]  一個接著一個的達標
[00:01:26.640 --> 00:01:33.440]  這個體系裡面有一條條明確的條規和標準
[00:01:33.440 --> 00:01:36.920]  它們可以被稱為律法
[00:01:36.920 --> 00:01:41.640]  這些冰冷的律法就像一條條的尺子做成的籠子
[00:01:41.640 --> 00:01:45.200]  人活的目的就是為了達標
[00:01:45.200 --> 00:01:48.080]  做完一個有一個
[00:01:48.080 --> 00:01:51.040]  今天我們將進一步探討
[00:01:51.040 --> 00:01:57.640]  為什麼說人不能靠著行律法在神面前成為一人
[00:01:57.640 --> 00:02:00.280]  而必須是通過福音
[00:02:00.280 --> 00:02:05.920]  就是相信耶穌基督的拯救來被神稱為一人
[00:02:05.920 --> 00:02:09.160]  今天我們將進一步來探討
[00:02:09.160 --> 00:02:13.920]  為什麼說人不可能是靠著遵守律法
[00:02:13.920 --> 00:02:16.400]  在神面前清義
[00:02:16.400 --> 00:02:19.000]  而是必須通過福音
[00:02:19.000 --> 00:02:24.760]  就是相信基督耶穌的拯救被神稱為一
[00:02:24.760 --> 00:02:29.360]  保羅首先就談到了律法和福音
[00:02:29.360 --> 00:02:33.120]  哪一個在前哪一個在後的問題
[00:02:33.120 --> 00:02:37.520]  保羅首先就論述到律法和福音
[00:02:37.520 --> 00:02:41.680]  誰在前面誰在後面
[00:02:41.680 --> 00:02:42.720]  保羅表明
[00:02:42.720 --> 00:02:49.240]  雖然說耶穌基督是在摩西之後一千三百多年才降生人世的
[00:02:49.240 --> 00:02:54.720]  但其實福音的前身可以追溯到亞伯拉罕
[00:02:54.720 --> 00:02:59.640]  亞伯拉罕之約就是福音的序曲
[00:02:59.640 --> 00:03:00.840]  保羅表明
[00:03:00.840 --> 00:03:09.280]  雖然基督耶穌是在摩西之後大約一千三百多年才降生人世
