
[00:00:00.000 --> 00:00:03.640]  今天我們要講的是「生命影響生命」
[00:00:03.640 --> 00:00:04.640]  跟李嘉勵第一次說一聲
[00:00:04.640 --> 00:00:06.440]  我們要「生命影響生命」
[00:00:06.440 --> 00:00:09.640]  其實這個題目「有無信仰」
[00:00:09.640 --> 00:00:13.000]  都是一個很重要的口號
[00:00:13.000 --> 00:00:15.000]  「有無信仰」的人都會提到
[00:00:15.000 --> 00:00:17.080]  在社會裏面提到「生命影響生命」
[00:00:17.080 --> 00:00:22.000]  無論你想積極的、消極的、主動的、被動的
[00:00:22.000 --> 00:00:23.480]  我們都在影響人
[00:00:23.480 --> 00:00:24.880]  今天你的存在
[00:00:24.880 --> 00:00:29.200]  都是受到很多人影響底下而形成的
[00:00:29.200 --> 00:00:31.880]  我們說我們的自我、我們的性格
[00:00:31.880 --> 00:00:33.480]  我們說「我是這樣」
[00:00:33.480 --> 00:00:35.280]  其實你的「你是這樣」
[00:00:35.280 --> 00:00:36.680]  是跟李嘉勵第一次說一聲
[00:00:36.680 --> 00:00:37.680]  「我是這樣的」
[00:00:37.680 --> 00:00:43.680]  「我是這樣」其實是有很多人在你生命裏面塑造著你
[00:00:43.680 --> 00:00:46.880]  形成了今天的「我是這樣」
[00:00:46.880 --> 00:00:49.680]  我們受到父母的遺傳影響
[00:00:49.680 --> 00:00:52.480]  受到父母的教導的影響
[00:00:52.480 --> 00:00:54.080]  受到兄弟姐妹的影響
[00:00:54.080 --> 00:00:58.080]  同學、朋友、老師、同事、伴侶
[00:00:58.080 --> 00:01:01.880]  甚至結婚之後我們的子女會影響我們
[00:01:01.880 --> 00:01:03.080]  不是我們影響子女
[00:01:03.080 --> 00:01:04.880]  是子女影響我們
[00:01:04.880 --> 00:01:06.680]  到你有抱孫的時候
[00:01:06.680 --> 00:01:07.880]  孫影響你
[00:01:07.880 --> 00:01:10.880]  無論愛孫也好、自己的孫也好
[00:01:10.880 --> 00:01:14.280]  這是一個「生命影響生命」的過程
[00:01:14.280 --> 00:01:16.280]  你見到今天坐在這裏的這個人
[00:01:16.280 --> 00:01:22.480]  就是眾多的生命影響底下而塑造出來的他
[00:01:22.480 --> 00:01:27.080]  我們中國儒家思想的始創人孔子這樣說
[00:01:27.080 --> 00:01:29.480]  「三人行,必有我師」
[00:01:29.480 --> 00:01:35.280]  孔子有兩個說話在教育界成為了經典的人物
[00:01:35.280 --> 00:01:37.280]  是萬世師表的原因
[00:01:37.280 --> 00:01:39.880]  第一句就是「三人行,必有我師」
[00:01:39.880 --> 00:01:43.680]  第二就是他的人生是不恥下文的
[00:01:43.680 --> 00:01:45.680]  就是說在孔夫子來說
[00:01:45.680 --> 00:01:48.480]  一生裏面他不會計較他自己的身份
[00:01:48.480 --> 00:01:51.080]  他自己的學歷、他自己的地位
[00:01:51.080 --> 00:01:55.680]  只要他想要知、想學的東西他是會問的
[00:01:55.680 --> 00:01:59.480]  他不會因為我的身份而不適宜去問的
[00:01:59.480 --> 00:02:03.080]  這個不恥下文的態度就是一個求學的精神
[00:02:03.080 --> 00:02:04.680]  不單止是這樣
[00:02:04.680 --> 00:02:10.680]  我們香港要推動持續的進修
[00:02:10.680 --> 00:02:12.480]  其實是不需要推動的
[00:02:12.480 --> 00:02:15.080]  在我們儒家思想裏面就是不斷地學習
[00:02:15.080 --> 00:02:17.280]  他說「三人行,必有我師」是在說甚麼呢
[00:02:17.280 --> 00:02:20.080]  他不是請你看看你左邊和右邊的弟兄姊妹
[00:02:20.080 --> 00:02:20.880]  看一看他
[00:02:20.880 --> 00:02:22.080]  我們三個人裏面
[00:02:22.080 --> 00:02:25.480]  這兩個人裏面總有一個是值得我們學習的
[00:02:25.480 --> 00:02:30.080]  這句並不是「三人行,必有我師」的詮釋
[00:02:30.080 --> 00:02:32.280]  「三人行,必有我師」的詮釋是在說
[00:02:32.280 --> 00:02:33.680]  我們三個人一起走的時候
[00:02:33.680 --> 00:02:39.680]  我左邊和右邊這兩個人都會有東西我學得到
[00:02:39.680 --> 00:02:42.080]  不是其中一個,是兩個
[00:02:42.080 --> 00:02:44.280]  無論他是好還是壞
[00:02:44.280 --> 00:02:49.080]  更加令到很多人去佩服、敬佩孔夫子的話的原因是
[00:02:49.080 --> 00:02:53.480]  孔子說「不是我要在好的人身上學到東西」
[00:02:53.480 --> 00:02:55.880]  他說「我就算在不好的人身上
[00:02:55.880 --> 00:02:58.880]  在儒家認為惡的人身上
[00:02:58.880 --> 00:03:00.480]  我都學到東西」
[00:03:00.480 --> 00:03:02.480]  他值得令人敬佩的是這一點
[00:03:02.480 --> 00:03:04.880]  好的我就學一下他怎樣做
[00:03:04.880 --> 00:03:10.480]  不好的成為了我尷尬和我自己自省的一些東西
[00:03:10.480 --> 00:03:13.080]  如果這樣的時候我們說到這麼豐富
[00:03:13.080 --> 00:03:16.480]  甚至近代的我們說很多叫做自我進步
[00:03:16.480 --> 00:03:21.080]  自我成長增值的課程、書籍等等的一切
[00:03:21.080 --> 00:03:23.680]  都是在說生命影響生命
[00:03:23.680 --> 00:03:26.080]  基督教究竟是不是沒有分別呢?
[00:03:26.080 --> 00:03:28.080]  如果沒有分別今天我們不需要說道
[00:03:28.080 --> 00:03:30.480]  因為我們只說一下論語就可以了
[00:03:30.480 --> 00:03:34.080]  我們再引多兩句孔子的話就可以了
[00:03:34.080 --> 00:03:35.880]  或者我們多說兩本書就可以了
[00:03:35.880 --> 00:03:38.280]  如果基督教的生命影響生命
[00:03:38.280 --> 00:03:41.880]  和非基督教所說的是沒有分別的話
[00:03:41.880 --> 00:03:45.880]  今天基本上我們不需要說這個題目
[00:03:45.880 --> 00:03:46.680]  為什麼呢?
[00:03:46.680 --> 00:03:49.880]  因為第一,我們自然就會在影響人
[00:03:49.880 --> 00:03:52.080]  我們受到商業社會影響
[00:03:52.080 --> 00:03:57.880]  我們以為我必須要有身份、有地位、有錢、有成就
[00:03:57.880 --> 00:03:59.280]  我才會影響到別人
[00:03:59.280 --> 00:04:00.880]  但其實不是的
[00:04:00.880 --> 00:04:03.080]  無論我們的身份如何
[00:04:03.080 --> 00:04:06.880]  金財富擁有多少地位、擁有多少名譽、擁有多少
[00:04:06.880 --> 00:04:08.680]  高與低、多與少
[00:04:08.680 --> 00:04:12.080]  只要你存在你就有影響力
[00:04:12.080 --> 00:04:15.880]  跟你戒頂說一聲你是有影響力的
[00:04:15.880 --> 00:04:17.680]  我是沉默寡言的
[00:04:17.680 --> 00:04:21.480]  不說話的人也有影響力
[00:04:21.480 --> 00:04:23.280]  你不要以為說話的人才有影響力
[00:04:23.280 --> 00:04:25.480]  不說話的人也有影響力
[00:04:25.480 --> 00:04:26.880]  你看看你爸爸
[00:04:26.880 --> 00:04:29.680]  不說話回到家裡已經有影響力
[00:04:29.680 --> 00:04:32.480]  影響到你媽媽的情緒很波動
[00:04:32.480 --> 00:04:34.880]  他沒有說話,就是沒有說話
[00:04:34.880 --> 00:04:38.680]  你媽媽不說話,不說話也有影響力
[00:04:38.680 --> 00:04:42.080]  所以問題是我們在影響什麼?
[00:04:42.080 --> 00:04:45.280]  問題是我們在影響誰?
[00:04:45.280 --> 00:04:49.680]  無論你有做什麼,沒有做什麼,主動、被動、積極、消極
[00:04:49.680 --> 00:04:51.680]  你都有影響力
[00:04:51.680 --> 00:04:53.680]  再一次肯定跟你第一次見面說
[00:04:53.680 --> 00:04:56.080]  你是有影響力的
[00:04:56.080 --> 00:04:58.080]  但問題是如果這樣的話
[00:04:58.080 --> 00:05:00.080]  聖經說的是什麼回事呢?
[00:05:00.080 --> 00:05:02.480]  我們的小組裡面的生命影響生命
[00:05:02.480 --> 00:05:05.880]  跟外面的成長小組又有什麼分別呢?
[00:05:05.880 --> 00:05:10.080]  我們一起讀這段經文《約翰一書》第一章一到四節
[00:05:10.080 --> 00:05:12.680]  論道從起初原有的生命之道
[00:05:12.680 --> 00:05:16.480]  就是我們所聽見、所看見、親眼看過、親手摸過的
[00:05:16.480 --> 00:05:18.480]  這生命已經顯現出來
[00:05:18.480 --> 00:05:20.880]  我們也看見過,現在又作見證
[00:05:20.880 --> 00:05:22.680]  將原與附同在
[00:05:22.680 --> 00:05:26.080]  而且顯現於我們那永遠生命傳給你們
[00:05:26.080 --> 00:05:28.480]  我們將所看見、所聽見傳給你們
[00:05:28.480 --> 00:05:30.080]  使你們與我們相交
[00:05:30.080 --> 00:05:33.680]  我們乃是與父、其他兒子、耶穌基督相交
[00:05:33.680 --> 00:05:35.280]  我們將這些話寫給你們
[00:05:35.280 --> 00:05:37.280]  使你們的喜樂充足
[00:05:37.280 --> 00:05:40.080]  還在旁邊說你的喜樂要充足
[00:05:40.080 --> 00:05:42.680]  分別在哪裏呢?
[00:05:42.680 --> 00:05:47.280]  分別在我們不是靠我們自己個人成長的經驗
[00:05:47.280 --> 00:05:49.280]  很多時候我們跟別人說話
[00:05:49.280 --> 00:05:50.480]  我告訴你我是這樣的
[00:05:50.480 --> 00:05:51.880]  我告訴你我經歷了什麼
[00:05:51.880 --> 00:05:56.080]  我告訴你就是我認定了的東西
[00:05:56.080 --> 00:05:58.880]  我告訴你就是我否定了的東西
[00:05:58.880 --> 00:06:01.280]  我告訴你這樣是不可行的
[00:06:01.280 --> 00:06:02.280]  即是我正在否定
[00:06:02.280 --> 00:06:03.880]  我告訴你這樣做就可以了
[00:06:03.880 --> 00:06:04.880]  即是我認定了
[00:06:04.880 --> 00:06:08.480]  這些認定和否定是從我的經驗和我的知識而來
[00:06:08.480 --> 00:06:10.680]  但是第二個可能性就是
[00:06:10.680 --> 00:06:11.880]  從我的一些資源而來
[00:06:11.880 --> 00:06:12.880]  我的擁有的資源
[00:06:12.880 --> 00:06:13.880]  我可以啦
[00:06:13.880 --> 00:06:16.680]  你不夠錢我借錢給你
[00:06:16.680 --> 00:06:19.080]  你家裏沒有鍋子我借鍋子給你
[00:06:19.080 --> 00:06:21.080]  你拍完書沒有我借本書給你
[00:06:21.080 --> 00:06:22.680]  我的資源可以給你
[00:06:22.680 --> 00:06:23.680]  是不是?
[00:06:23.680 --> 00:06:27.080]  但是現在在聖經裏面所說的
[00:06:27.080 --> 00:06:33.080]  我們必須要先與天父有第一身相交的經驗
[00:06:33.080 --> 00:06:35.880]  這個相交是可以做團契
[00:06:35.880 --> 00:06:41.480]  如果再詳盡一些的說叫生命的交流
[00:06:41.480 --> 00:06:44.280]  我們必須要與天父有生命的交流
[00:06:44.280 --> 00:06:46.280]  因為我與天父有生命的交流的時候
[00:06:46.280 --> 00:06:52.480]  我影響別人的資源是來自於這位天父對我的影響
[00:06:52.480 --> 00:06:54.880]  這個就是自然不同的東西
