
[00:00:00.000 --> 00:00:01.480]  更新改變
[00:00:01.480 --> 00:00:03.480]  打美好的仗
[00:00:03.480 --> 00:00:06.520]  今年的主題大家知道
[00:00:06.520 --> 00:00:09.040]  早回就看到的
[00:00:09.040 --> 00:00:11.040]  早回就看到那個主題
[00:00:11.040 --> 00:00:13.040]  一唱詩就落了幕
[00:00:13.040 --> 00:00:15.040]  落了幕就遮住了
[00:00:15.040 --> 00:00:17.040]  培育信徒
[00:00:17.040 --> 00:00:19.040]  是不是?生命更新
[00:00:19.040 --> 00:00:21.040]  在更新裏面
[00:00:21.040 --> 00:00:23.040]  其實我們需要的是什麼呢?
[00:00:23.040 --> 00:00:26.320]  如果我們看這一段的聖經
[00:00:26.320 --> 00:00:29.000]  剛才主席跟我們讀的那段經文
[00:00:29.000 --> 00:00:31.000]  在提摩太前書第一章
[00:00:31.000 --> 00:00:33.440]  如果我們看一至十一節
[00:00:33.440 --> 00:00:37.080]  是在說面對假師傅
[00:00:37.080 --> 00:00:40.280]  保羅是怎樣提摩太
[00:00:40.280 --> 00:00:42.280]  在這一段一大段
[00:00:42.280 --> 00:00:44.760]  保羅就說他自己的一些見證
[00:00:44.760 --> 00:00:46.760]  說他自己的改變
[00:00:46.760 --> 00:00:50.640]  然後去勸勉提摩太
[00:00:50.640 --> 00:00:52.640]  他怎樣去打仗
[00:00:52.640 --> 00:00:56.000]  等於我們每一個屬於神的人
[00:00:56.000 --> 00:00:58.000]  我們都是被神所召
[00:00:58.000 --> 00:01:01.760]  當我們是被神所召的時候
[00:01:01.760 --> 00:01:03.760]  我們從一個舊我
[00:01:03.760 --> 00:01:05.760]  去到一個新我的時候
[00:01:05.760 --> 00:01:07.760]  我們的生命就會有一個改變
[00:01:07.760 --> 00:01:09.760]  所以我們信耶穌
[00:01:09.760 --> 00:01:12.760]  我們一定會和大家去栽培
[00:01:12.760 --> 00:01:14.760]  告訴大家
[00:01:14.760 --> 00:01:18.280]  我們要知道我們在一個基督徒的生活裏面應該怎樣過
[00:01:18.280 --> 00:01:20.280]  所以我們都會用一本書
[00:01:20.280 --> 00:01:22.280]  叫做《生生命生生活》
[00:01:22.280 --> 00:01:24.280]  就是告訴我們
[00:01:24.280 --> 00:01:27.800]  我們應該怎樣可以在我們的生活上
[00:01:27.800 --> 00:01:30.360]  因著我們信了耶穌之後
[00:01:30.360 --> 00:01:34.320]  我們生命的改變去切合我們的生活
[00:01:34.320 --> 00:01:38.080]  今天我們都會在一個時空
[00:01:38.080 --> 00:01:40.720]  就是在這個年代
[00:01:40.720 --> 00:01:42.480]  今年是2016
[00:01:42.480 --> 00:01:44.160]  羊年最後一日
[00:01:44.160 --> 00:01:46.160]  明天是猴年
[00:01:46.160 --> 00:01:51.280]  在中國人的節期裏面
[00:01:51.280 --> 00:01:55.000]  十二年才一次的循環
[00:01:55.000 --> 00:01:58.280]  我們所處的一個時空
[00:01:58.280 --> 00:02:00.280]  這個空間裏面
[00:02:00.280 --> 00:02:02.280]  其實神給我們一個特別的目標
[00:02:02.280 --> 00:02:04.280]  一個方向
[00:02:04.280 --> 00:02:08.280]  在這個地方要為主打美好的仗
[00:02:08.280 --> 00:02:14.280]  所以保羅一開始有一個很鼓勵的說話
[00:02:14.280 --> 00:02:18.280]  他作為神的僕人
[00:02:18.280 --> 00:02:21.280]  他要提醒提摩提
[00:02:21.280 --> 00:02:24.880]  他怎樣去做一個良好的忠僕
[00:02:24.880 --> 00:02:26.880]  一個侍奉者
[00:02:26.880 --> 00:02:28.880]  可以成為弟兄姊妹的榜樣
[00:02:28.880 --> 00:02:30.880]  所以這一開始
[00:02:30.880 --> 00:02:32.880]  他就說感謝
