
[00:00:00.000 --> 00:00:04.340]  屋臣前輩,讓我們在聆聽主導以先,讓我們一起同心低頭禱告。
[00:00:04.340 --> 00:00:06.120]  讓望在主,在我們的臣面前。
[00:00:06.120 --> 00:00:12.760]  慈悲天父,多謝你,給了我們在星期日的時間,
[00:00:12.760 --> 00:00:18.620]  能夠讓我們在休息之餘,也讓我們可以成為一個敬拜的日子。
[00:00:18.620 --> 00:00:22.920]  我們在事現上感恩,主,你給我們每一天的生命生活,
[00:00:22.920 --> 00:00:25.800]  就讓我們在今天這個主日崇拜的裏面,
[00:00:25.800 --> 00:00:29.000]  再次以親近主為我們最大的喜樂,
[00:00:29.340 --> 00:00:33.160]  並且一同在主你的教導裏面,你的啟示的當中,
[00:00:33.160 --> 00:00:36.960]  能夠讓我們能夠同樣在靈性的上面成長起來。
[00:00:36.960 --> 00:00:40.600]  讓我們能夠明白主你的心更深,
[00:00:40.600 --> 00:00:45.080]  並且能夠是將這份上帝你的救恩,
[00:00:45.080 --> 00:00:47.160]  怎樣從我們身上的得著,
[00:00:47.160 --> 00:00:50.720]  以至於延展到其他人的身上這一份事情,
[00:00:50.720 --> 00:00:54.120]  讓我們努力的在主你面前去盼求。
[00:00:54.120 --> 00:00:58.200]  所以求你的聖靈幫助我們,在聆聽主導的過程裏面,
[00:00:58.600 --> 00:01:01.400]  能夠真正準確地掌握主你的審視。
[00:01:01.400 --> 00:01:05.280]  我們同心地禱告,奉教主耶穌基督德性的名字而求。
[00:01:05.280 --> 00:01:06.200]  掌門。
[00:01:06.200 --> 00:01:12.080]  我就很喜歡聽音樂會,
[00:01:12.080 --> 00:01:19.840]  其實我自從在中學的時候開始玩中樂的時候,
[00:01:19.840 --> 00:01:24.120]  我也很喜歡去聽角色形式的音樂會,
[00:01:24.120 --> 00:01:25.920]  以前讀書就很幸福,
[00:01:27.120 --> 00:01:28.960]  去一些音樂會是很便宜的,
[00:01:28.960 --> 00:01:31.720]  我有幾個很好的朋友,
[00:01:31.720 --> 00:01:34.760]  我們經常都說我們要去解釋一下文化,
[00:01:34.760 --> 00:01:37.400]  我們就很喜歡去聽音樂會,
[00:01:37.400 --> 00:01:41.400]  其實偶爾在加拿大,在外國,
[00:01:41.400 --> 00:01:43.680]  我也很喜歡去聽一些音樂會,
[00:01:43.680 --> 00:01:46.360]  或者是一些舞台劇。
[00:01:46.360 --> 00:01:49.040]  昨天很開心,
[00:01:49.040 --> 00:01:56.240]  我的兒子請我和師母一起去吃一頓好的,
[00:01:56.240 --> 00:01:58.920]  然後就帶我們去聽音樂會。
[00:01:58.920 --> 00:02:01.720]  在這個音樂會裡面,
[00:02:01.720 --> 00:02:05.440]  其實主要所聽的音樂,
[00:02:05.440 --> 00:02:09.840]  都是從一位很著名的作曲家,
[00:02:09.840 --> 00:02:12.640]  叫莫扎特,Mozart,
[00:02:12.640 --> 00:02:15.240]  他的一些名曲。
[00:02:15.240 --> 00:02:18.760]  但是其實昨天晚上那首音樂會裡面,
[00:02:18.760 --> 00:02:24.600]  最主要播放的音樂就叫做「安息」。
[00:02:25.840 --> 00:02:34.200]  因為這首歌他用拉丁文的名稱叫做「Requiem」。
[00:02:34.200 --> 00:02:36.400]  就是「休息」的意思。
[00:02:36.400 --> 00:02:43.360]  其實是一首反映出在一個喪禮的過程當中,
