
[00:00:00.000 --> 00:00:05.000]  有人說人生不如意事十之八九
[00:00:05.000 --> 00:00:10.000]  不知道大家知不知道下一句是什麼呢
[00:00:10.000 --> 00:00:14.000]  下一句是可語人言無二三
[00:00:14.000 --> 00:00:17.000]  聽到這兩句話真的很悲觀
[00:00:17.000 --> 00:00:21.000]  發生在你身上的事情十件有八九件都是不好的
[00:00:21.000 --> 00:00:24.000]  縱然你相識滿天下
[00:00:24.000 --> 00:00:27.000]  能夠傾訴心事的都沒有兩三個
[00:00:27.000 --> 00:00:29.000]  這麼悲觀的
[00:00:29.000 --> 00:00:33.000]  希望這兩句話都不是形容我們今天的光景
[00:00:33.000 --> 00:00:36.000]  不過今天我們所讀的詩篇
[00:00:36.000 --> 00:00:42.000]  似乎大衛詩人就好像在困難的光景裡面
[00:00:42.000 --> 00:00:46.000]  我們大家都知道大衛的一生
[00:00:46.000 --> 00:00:50.000]  很多時他的敵人都是攻擊他
[00:00:50.000 --> 00:00:52.000]  甚至是追殺他
[00:00:52.000 --> 00:00:57.000]  我們可以想像作為一個大能的勇士
[00:00:57.000 --> 00:01:02.000]  帶著他的將領上沙場打仗
[00:01:02.000 --> 00:01:07.000]  我們都可能會想像到一個這樣的英雄人物
[00:01:07.000 --> 00:01:11.000]  身邊可能真的沒有朋友可以傾訴心事
[00:01:11.000 --> 00:01:14.000]  不過今天我們所讀的詩篇
[00:01:14.000 --> 00:01:16.000]  他就告訴我們
[00:01:16.000 --> 00:01:24.000]  不單止天父上帝是大衛可以傾訴他的心事的一個對象
[00:01:24.000 --> 00:01:29.000]  而這個神也是他可以得力的一個泉源
[00:01:29.000 --> 00:01:31.000]  讓他面對人生種種的挑戰
[00:01:31.000 --> 00:01:35.000]  當大衛在這個痛苦絕望的時候
[00:01:35.000 --> 00:01:39.000]  神讓他得著能力
[00:01:39.000 --> 00:01:42.000]  面對他每一個生命的挑戰
[00:01:42.000 --> 00:01:45.000]  今天就讓我們通過這段經文一同學習
[00:01:45.000 --> 00:01:49.000]  當我們遇到人生不如意事情的時候
[00:01:49.000 --> 00:01:52.000]  應該怎樣去面對
[00:01:52.000 --> 00:01:59.000]  我們不知道大衛寫這篇詩篇的時候
[00:01:59.000 --> 00:02:02.000]  所發生的是什麼事情
[00:02:02.000 --> 00:02:05.000]  不過如果我們看這個詩篇的內容
[00:02:05.000 --> 00:02:08.000]  似乎大衛就陷在一個危難
[00:02:08.000 --> 00:02:10.000]  一個困境當中
[00:02:10.000 --> 00:02:14.000]  也許如果我們熟悉大衛的一生的時候
[00:02:14.000 --> 00:02:17.000]  也許在那個時間是被掃羅所追殺
[00:02:17.000 --> 00:02:21.000]  也都有可能是他的兒子壓沙龍來攻擊他
[00:02:21.000 --> 00:02:25.000]  也有可能是他眾多的敵人圍困著他
[00:02:25.000 --> 00:02:30.000]  也有可能他面對很多人生不公平的控告
[00:02:30.000 --> 00:02:32.000]  我們不知道究竟在那個時刻
[00:02:32.000 --> 00:02:34.000]  大衛正在經歷什麼事情
[00:02:34.000 --> 00:02:36.000]  不過無論什麼事情
[00:02:36.000 --> 00:02:40.000]  我們總可以在這個故事裡面一同學習
[00:02:40.000 --> 00:02:43.000]  我們應該怎樣更有效
[00:02:43.000 --> 00:02:48.000]  更合神心意地面對我們人生的困境
[00:02:48.000 --> 00:02:50.000]  或者我這樣問大家
[00:02:50.000 --> 00:02:53.000]  當你面對人生的不如意的事情
[00:02:53.000 --> 00:02:55.000]  當你面對人生的困難挑戰的時候
[00:02:55.000 --> 00:02:58.000]  你通常是怎樣面對的
[00:02:58.000 --> 00:03:02.000]  你通常是怎樣面對的
[00:03:02.000 --> 00:03:03.000]  普遍來說
[00:03:03.000 --> 00:03:09.000]  大部分的人有三種面對困難的方式
[00:03:09.000 --> 00:03:10.000]  第一種
[00:03:10.000 --> 00:03:11.000]  面對它
[00:03:11.000 --> 00:03:15.000]  嘗試解決這個問題
[00:03:15.000 --> 00:03:17.000]  我們叫它做fight
[00:03:17.000 --> 00:03:18.000]  面對它
[00:03:18.000 --> 00:03:20.000]  尋找解決的方法
[00:03:20.000 --> 00:03:25.000]  嘗試找一些方法行動來克服這種困難
[00:03:25.000 --> 00:03:28.000]  這種處理方式
[00:03:28.000 --> 00:03:30.000]  很多時候大家都可以想像得到
[00:03:30.000 --> 00:03:32.000]  是需要你很多的勇氣
[00:03:32.000 --> 00:03:35.000]  很多的能耐毅力
[00:03:35.000 --> 00:03:38.000]  它的好處就是在於它的主動性
[00:03:38.000 --> 00:03:42.000]  嘗試用盡自己的能力方法來解決問題
[00:03:42.000 --> 00:03:44.000]  就算失敗
[00:03:44.000 --> 00:03:48.000]  也算盡了力,也算對自己有交代
[00:03:48.000 --> 00:03:49.000]  不過
[00:03:49.000 --> 00:03:51.000]  這樣的處理方式
[00:03:51.000 --> 00:03:53.000]  也有它的壞處
[00:03:53.000 --> 00:03:55.000]  壞處是什麼?
[00:03:55.000 --> 00:03:58.000]  一旦你解決不了問題
[00:03:58.000 --> 00:03:59.000]  你周圍的人
[00:03:59.000 --> 00:04:01.000]  甚至你自己
[00:04:01.000 --> 00:04:03.000]  都會怪責自己
[00:04:03.000 --> 00:04:05.000]  對吧?
[00:04:05.000 --> 00:04:07.000]  有時候
