
[00:00:00.000 --> 00:00:02.360]  我們在延讀上主的話語儀先
[00:00:02.360 --> 00:00:04.240]  讓我們同心的禱告
[00:00:04.240 --> 00:00:08.800]  差極恩主,我們帶著感恩的心
[00:00:08.800 --> 00:00:12.400]  我們今天齊集此地去敬拜你
[00:00:12.400 --> 00:00:15.520]  否則上帝你的恩情,你的揀選
[00:00:15.520 --> 00:00:21.880]  我們根本沒有辦法去承受這份我們不配的福氣
[00:00:21.880 --> 00:00:25.600]  准你赤下寶貴的話語成為我們生命的指引
[00:00:25.600 --> 00:00:29.560]  你由赤下寶貴的聖靈引導我們進入真理
[00:00:29.560 --> 00:00:31.960]  求你的靈在我們當中自由運行
[00:00:31.960 --> 00:00:35.440]  釋放要與我們說的說話
[00:00:35.440 --> 00:00:38.360]  以致無論說的,聽的,同去蒙福
[00:00:38.360 --> 00:00:40.520]  聽我們的禱告,奉教我的救主
[00:00:40.520 --> 00:00:43.000]  耶穌基督,寶貴聖靈去教
[00:00:43.000 --> 00:00:44.680]  阿們
[00:00:44.680 --> 00:00:48.800]  教會最近舉辦了兩次「假的真不了」的講座
[00:00:48.800 --> 00:00:54.400]  希望我們能更加好去認識異端和一些新興宗教分別真偽
[00:00:54.400 --> 00:00:57.720]  為何這些宗教會有這麼大的吸引力呢?
[00:00:57.720 --> 00:01:00.520]  當然有不同的處境,不同的內容
[00:01:00.520 --> 00:01:04.160]  不過回歸回去人原始對宗教的渴求
[00:01:04.160 --> 00:01:07.920]  我們都往往希望可以趨吉避凶,心想事成
[00:01:07.920 --> 00:01:10.720]  特別當我們生命遇到一些困難的時候
[00:01:10.720 --> 00:01:13.040]  我們尋求人以外的能力
[00:01:13.040 --> 00:01:18.600]  跨越人的限制,改變困境,人之常情
[00:01:18.600 --> 00:01:21.480]  回望我自己走過的信仰歷程
[00:01:21.480 --> 00:01:24.360]  其實我的起步都很近似
[00:01:24.360 --> 00:01:28.400]  2003年SARS疫情的時候,我出現了情緒問題
[00:01:28.400 --> 00:01:33.040]  很想尋求醫治,第一次踏足教會
[00:01:33.040 --> 00:01:37.560]  上帝沒有按照我的心意,賜下即時的神蹟醫治
[00:01:37.560 --> 00:01:42.000]  我仍然要去經歷一段時間藥物的治療
[00:01:42.000 --> 00:01:45.240]  但當我踏出了第一步,要跟上帝結連
[00:01:45.240 --> 00:01:47.840]  神蹟就開始發生
[00:01:47.840 --> 00:01:52.640]  能藉著上帝的說話,聖靈的工作去重建我的生命
[00:01:52.640 --> 00:01:55.840]  祂會醫治我更加深層的問題
[00:01:55.840 --> 00:01:58.920]  當時很想要靠物質去建立安全感
[00:01:58.920 --> 00:02:02.640]  要靠成就去自我肯定
[00:02:02.640 --> 00:02:08.480]  在顛沛流離的裡面,神願意去加入我的生命,拯救我
[00:02:08.480 --> 00:02:15.800]  這份重建的歷程,我想現在進行式從來沒有停止過
[00:02:15.800 --> 00:02:19.400]  今天很想藉著《河西亞書十一章》這段經文
[00:02:19.400 --> 00:02:23.040]  盡心去思想,我們去認識一個真的神
[00:02:23.040 --> 00:02:27.320]  去領受一個真的愛,是多麼寶貴
[00:02:27.320 --> 00:02:32.000]  我想研讀《河西亞書》第一個給我們最大的挑戰就是
[00:02:32.000 --> 00:02:33.800]  一看到第二節
[00:02:33.800 --> 00:02:37.200]  神跟河西亞說,你去娶一個淫蕩的女子為妻
[00:02:37.200 --> 00:02:39.520]  收納從淫蕩所生的兒女
[00:02:39.520 --> 00:02:44.120]  因為這地恆大淫亂,離棄耶和華
[00:02:44.120 --> 00:02:48.360]  一直在同情河西亞,真是慘
[00:02:48.360 --> 00:02:51.280]  好像被迫要種一些行為、藝術
[00:02:51.280 --> 00:02:54.320]  去演繹神的子民的不忠
[00:02:54.320 --> 00:02:56.240]  不是一兩天、一兩個月
[00:02:56.240 --> 00:03:00.200]  是最後一段實實在在的婚姻關係
[00:03:00.200 --> 00:03:03.240]  不過當我有機會再去細讀
