
[00:00:00.000 --> 00:00:03.000]  主內大兄姊妹 大家平安
[00:00:03.000 --> 00:00:05.500]  很高興今天在壽難節當中
[00:00:05.500 --> 00:00:08.500]  可以跟大家在港台見面
[00:00:08.500 --> 00:00:12.500]  你們今天不出去飲茶
[00:00:12.500 --> 00:00:14.000]  不出去購物
[00:00:14.000 --> 00:00:17.500]  都來教會是一個很大的福氣
[00:00:17.500 --> 00:00:19.000]  因為我們大家一起紀念
[00:00:19.000 --> 00:00:22.500]  我們主耶穌基督為我們的壽難
[00:00:22.500 --> 00:00:25.500]  壽難節是我們教會
[00:00:25.500 --> 00:00:28.500]  全年一個重要的日子
[00:00:28.500 --> 00:00:32.500]  因為我們知道如果沒有主耶穌基督的壽難
[00:00:32.500 --> 00:00:34.000]  沒有祂的復活
[00:00:34.000 --> 00:00:35.000]  聖經講得很清楚
[00:00:35.000 --> 00:00:37.500]  我們所信的其實是枉然的
[00:00:37.500 --> 00:00:41.000]  我們這個信仰已經不存在
[00:00:41.000 --> 00:00:43.000]  大家可以即時散會
[00:00:43.000 --> 00:00:48.000]  即時教會也都可以關門
[00:00:48.000 --> 00:00:50.500]  所以我們今天紀念壽難這個日子當中
[00:00:50.500 --> 00:00:54.000]  就好像似乎是每年我們都去想這件事
[00:00:54.000 --> 00:00:59.000]  大家有沒有很認真去紀念耶穌基督的壽難呢?
[00:00:59.000 --> 00:01:01.000]  今天我的題目就是
[00:01:01.000 --> 00:01:05.000]  基督復活 死亡的恐懼
[00:01:05.000 --> 00:01:08.000]  過兩天在復活節主日
[00:01:08.000 --> 00:01:13.000]  我將會講到基督復活的大樓
[00:01:13.000 --> 00:01:17.000]  今天首先是上集講到死亡的恐懼
[00:01:17.000 --> 00:01:20.000]  死亡很多人都不想提的
[00:01:20.000 --> 00:01:21.000]  不想講
[00:01:21.000 --> 00:01:25.000]  我們所謂的一個忌諱
[00:01:25.000 --> 00:01:28.000]  有些事我們盡量不要提死字
[00:01:28.000 --> 00:01:32.000]  尤其是年初一講這個字一定會被人罵
[00:01:32.000 --> 00:01:35.000]  雖然不講
[00:01:35.000 --> 00:01:38.000]  但是我們知道是存在的
[00:01:38.000 --> 00:01:41.000]  我們每一個人都要面對
[00:01:41.000 --> 00:01:43.000]  是逃不掉的
[00:01:43.000 --> 00:01:46.000]  但是書本沒有教我們怎樣面對死亡
[00:01:46.000 --> 00:01:48.000]  有沒有?沒有的
[00:01:48.000 --> 00:01:52.000]  書本沒有教我們怎樣面對我們的親人離世
[00:01:52.000 --> 00:01:53.000]  沒有教過的
[00:01:53.000 --> 00:01:55.000]  是要我們經歷出來的
[00:01:55.000 --> 00:02:00.000]  我覺得小學中學課程都應該要教我們這件事
[00:02:00.000 --> 00:02:02.000]  因為每個人都要面對的
[00:02:02.000 --> 00:02:06.000]  當死亡來臨到自己或親人身上
[00:02:06.000 --> 00:02:08.000]  我們就很徬徨
[00:02:08.000 --> 00:02:12.000]  有些人說我年紀越大就越多經驗
[00:02:12.000 --> 00:02:16.000]  因為身邊的人一個一個離開
[00:02:16.000 --> 00:02:18.000]  這是我爸爸媽媽經常說的
[00:02:18.000 --> 00:02:20.000]  因為他們鄰居
[00:02:20.000 --> 00:02:26.000]  幾十年前就已經一起住在那棟樓
[00:02:26.000 --> 00:02:28.000]  一直都沒有搬過屋
[00:02:28.000 --> 00:02:30.000]  但是現在走下一個走下一個
[00:02:30.000 --> 00:02:33.000]  這些我們沒有辦法可以避開的
[00:02:33.000 --> 00:02:36.000]  死亡為什麼會帶來這麼大的恐懼呢?
[00:02:36.000 --> 00:02:39.000]  有三個原因
[00:02:39.000 --> 00:02:44.000]  第一就是因為死了之後去哪裡
[00:02:44.000 --> 00:02:46.000]  這是一個未知之數
[00:02:46.000 --> 00:02:48.000]  當然我們基督徒很清楚
[00:02:48.000 --> 00:02:51.000]  但是對一般人來說真的不知道
[00:02:51.000 --> 00:02:53.000]  有很多傳說
[00:02:53.000 --> 00:02:55.000]  死了之後可以去極樂
[00:02:55.000 --> 00:02:57.000]  有些人說去陰間地獄
[00:02:57.000 --> 00:02:58.000]  有些人說去天堂
[00:02:58.000 --> 00:02:59.000]  有些人說去投胎
[00:02:59.000 --> 00:03:02.000]  但這些全部都是他們想像出來的
[00:03:02.000 --> 00:03:04.000]  因為從來沒有一個人死了
[00:03:04.000 --> 00:03:07.000]  會回來告訴他現在是怎樣
[00:03:07.000 --> 00:03:10.000]  有的都是魔鬼迷惑你的心
[00:03:10.000 --> 00:03:12.000]  鬼神的東西去嚇你們
[00:03:12.000 --> 00:03:15.000]  他們沒有辦法回來告訴你
[00:03:15.000 --> 00:03:18.000]  是不是人死如燈滅沒有了呢?
[00:03:18.000 --> 00:03:23.000]  我們又絕不願意去相信這件事
