
[00:00:00.000 --> 00:00:02.740]  好,我們家裏的第一節目一樣
[00:00:02.740 --> 00:00:06.360]  我們分別開的時間,我們好好聆聽上帝的說話
[00:00:06.360 --> 00:00:10.660]  今天講題是「失物待領」
[00:00:10.660 --> 00:00:13.440]  我不知道你們有沒有試過不見東西
[00:00:13.440 --> 00:00:16.740]  我猜沒有什麼人試過不見東西的,是不是?
[00:00:16.740 --> 00:00:23.820]  我大概將不見東西分開三個層面
[00:00:23.820 --> 00:00:26.240]  第一個層面是比較簡單一點的
[00:00:26.240 --> 00:00:29.880]  這個層面也是比較低層次一點的
[00:00:29.880 --> 00:00:35.000]  通常人都會試過,就是你不見的東西不是很重要
[00:00:35.000 --> 00:00:39.100]  但是不見了你都會有一聲的嘆氣
[00:00:39.100 --> 00:00:40.900]  不是一支牙籤
[00:00:40.900 --> 00:00:45.000]  例如你不見了雨傘
[00:00:45.000 --> 00:00:49.560]  我發現這張照片是在日本的一個警察局裏
[00:00:49.560 --> 00:00:54.420]  發現原來在那裏人們不見了雨傘是會報警的
[00:00:54.420 --> 00:00:57.760]  香港不見雨傘你不會拿去報警的
[00:00:57.760 --> 00:01:01.200]  可能真的太多了,一見到,原來真的很多
[00:01:01.200 --> 00:01:05.400]  我自己也是一個不見雨傘的皇帝
[00:01:05.400 --> 00:01:08.040]  有沒有人試過不見雨傘多過兩次的?
[00:01:08.040 --> 00:01:09.360]  多過兩次,是吧?
[00:01:09.360 --> 00:01:11.440]  我們這裏有很多皇帝
[00:01:11.440 --> 00:01:13.240]  不知道我們家裏有沒有
[00:01:13.240 --> 00:01:16.300]  通常不見雨傘去到一個程度
[00:01:16.300 --> 00:01:20.540]  如果你離開當時的地方很近,你要回去拿
[00:01:20.540 --> 00:01:23.620]  但是有時候我會離開一段日子
[00:01:23.620 --> 00:01:26.700]  坐了很多個地鐵站,上去之後發現下雨
[00:01:26.700 --> 00:01:28.560]  一想起我的雨傘
[00:01:28.560 --> 00:01:30.860]  到時候很大掙扎,回不回去拿呢?
[00:01:30.860 --> 00:01:32.320]  究竟還會不會在那裏呢?
[00:01:32.320 --> 00:01:33.820]  在餐廳會不會被人拿走呢?
[00:01:33.820 --> 00:01:37.600]  通常會安慰一下自己,祝福那個人
[00:01:37.600 --> 00:01:41.020]  第二種不見的東西是貴一點的
[00:01:41.020 --> 00:01:44.860]  不見不單止一聲嘆氣,是有排嘆氣的
[00:01:44.860 --> 00:01:48.580]  例如以上的東西,不見銀包
[00:01:48.580 --> 00:01:50.920]  我昨天也問過了,不見銀包有沒有人試過?
[00:01:50.920 --> 00:01:54.160]  有沒有人試過不見銀包兩次或以上的?
[00:01:54.160 --> 00:01:57.380]  又舉手說,少一點了,銀包是
[00:01:57.380 --> 00:02:02.280]  我們有一位女士在這裏,恭喜你
[00:02:02.280 --> 00:02:04.900]  不要有第三次,你是得獎的
[00:02:04.900 --> 00:02:07.960]  我也試過的,不見銀包
