
[00:00:00.000 --> 00:00:02.280]  大家好,很久沒來這裡了
[00:00:02.280 --> 00:00:04.480]  不過我星期四晚上會在這裡講的
[00:00:04.480 --> 00:00:08.400]  如果你有時聽EQ,星期四晚上
[00:00:08.400 --> 00:00:10.160]  今晚會講結婚
[00:00:10.160 --> 00:00:12.900]  但結婚這個題目跟抑鬱也很接近的
[00:00:12.900 --> 00:00:15.220]  (笑聲)
[00:00:15.220 --> 00:00:17.880]  不知道為什麼你猜到會笑
[00:00:17.880 --> 00:00:20.420]  抑鬱其實有一個共病
[00:00:20.420 --> 00:00:22.640]  這個病和另一個病是孿生的
[00:00:22.640 --> 00:00:24.240]  就是焦慮
[00:00:24.240 --> 00:00:26.740]  Anxiety, Anxiety and Depression
[00:00:26.740 --> 00:00:29.260]  我做這個服務工作已經是
[00:00:29.260 --> 00:00:31.440]  今年是三十年了
[00:00:31.440 --> 00:00:35.420]  這三十年我看到一直在改變抑鬱症的地位
[00:00:35.420 --> 00:00:38.640]  現在是過了癌症了
[00:00:38.640 --> 00:00:41.480]  那麼頭號殺手再不是癌症
[00:00:41.480 --> 00:00:44.740]  是抑鬱症,因為抑鬱症的人是
[00:00:44.740 --> 00:00:47.940]  平均每個有抑鬱的人都可能
[00:00:47.940 --> 00:00:50.320]  平均是自殺過一次
[00:00:50.320 --> 00:00:52.400]  所以你會說今天香港是
[00:00:52.400 --> 00:00:54.160]  你看報紙每天都有人自殺
[00:00:54.160 --> 00:00:57.240]  現在最近有個小朋友十歲都是吊頸死
[00:00:57.240 --> 00:00:59.320]  你看到就是
[00:00:59.320 --> 00:01:01.800]  我不知道你知不知道這個紀錄很高
[00:01:01.800 --> 00:01:04.320]  這次在香港的紀錄就是
[00:01:04.320 --> 00:01:06.140]  看精神科
[00:01:06.140 --> 00:01:09.720]  是有焦慮程度的小朋友
[00:01:09.720 --> 00:01:12.740]  低降到現在竟然是兩歲
[00:01:12.740 --> 00:01:15.020]  是兩歲
[00:01:15.020 --> 00:01:17.020]  可能你說嘩,這麼壞
[00:01:17.020 --> 00:01:18.880]  是真的
[00:01:18.880 --> 00:01:20.680]  所以如果你今天聽完之後
[00:01:20.680 --> 00:01:23.580]  你會覺得原來有這麼大的原因在裡面
[00:01:23.580 --> 00:01:24.860]  所以這個時代
[00:01:24.860 --> 00:01:26.320]  我想是香港
[00:01:26.320 --> 00:01:28.160]  不只是香港,比如今天這樣的天氣
[00:01:28.160 --> 00:01:31.920]  如果你在溫哥華就有很多人發病
[00:01:31.920 --> 00:01:34.320]  天氣變成這樣
[00:01:34.320 --> 00:01:36.420]  很灰暗的時候
[00:01:36.420 --> 00:01:38.120]  心情接著會變
[00:01:38.120 --> 00:01:39.900]  所以那些輔導機構
[00:01:39.900 --> 00:01:43.160]  多數都二十小時熱線
[00:01:43.160 --> 00:01:44.160]  有很多人自殺
[00:01:44.160 --> 00:01:45.640]  我去溫哥華很多次
[00:01:45.640 --> 00:01:47.800]  溫哥華的香港人告訴我
[00:01:47.800 --> 00:01:50.560]  在這裡很難死的,樓價這麼低
[00:01:50.560 --> 00:01:52.280]  跳不到
[00:01:52.280 --> 00:01:54.520]  我聽到都覺得很心痛
[00:01:54.520 --> 00:01:57.020]  他們在想怎樣死
[00:01:57.020 --> 00:01:58.700]  所以如果你今天
[00:01:58.700 --> 00:02:00.760]  可能你會問家人是怎樣
[00:02:00.760 --> 00:02:03.440]  我記得這個月底我在公理堂講
[00:02:03.440 --> 00:02:07.100]  那個是怎樣不會患抑鬱病
[00:02:07.100 --> 00:02:09.100]  但這次我們講家人
[00:02:09.100 --> 00:02:11.120]  家人首先我先講明
