
[00:00:00.000 --> 00:00:03.000]  有多少人受過聖靈的洗禮,可以舉手嗎?
[00:00:03.000 --> 00:00:04.000]  舉高一點
[00:00:04.000 --> 00:00:07.000]  嘩,差不多絕大部分
[00:00:07.000 --> 00:00:09.000]  接著我問一個問題
[00:00:09.000 --> 00:00:12.000]  有多少人是受過聖靈的洗禮?
[00:00:12.000 --> 00:00:13.000]  我請你舉手
[00:00:13.000 --> 00:00:16.000]  受過聖靈的洗禮的,請舉手
[00:00:16.000 --> 00:00:19.000]  嘩,這麼多受過聖靈的洗禮的人
[00:00:19.000 --> 00:00:21.000]  你沒有舉手嗎?
[00:00:21.000 --> 00:00:23.000]  我再問一問
[00:00:23.000 --> 00:00:26.000]  有多少人你有把握已經受過聖靈的洗禮,請你舉手
[00:00:26.000 --> 00:00:28.000]  舉高一點,有多少個?
[00:00:28.000 --> 00:00:30.000]  很多人還沒有舉手
[00:00:30.000 --> 00:00:38.000]  難怪今天我們很容易被極端異端影響
[00:00:38.000 --> 00:00:44.000]  34年前,我在美國德州阿靈頓
[00:00:44.000 --> 00:00:48.000]  20年前,當我們開始第一個分堂
[00:00:48.000 --> 00:00:52.000]  然後因為細胞小組的問題
[00:00:52.000 --> 00:00:55.000]  我們帶領一些弟兄姊妹
[00:00:55.000 --> 00:00:59.000]  來觀摩什麼是小組
[00:00:59.000 --> 00:01:03.000]  以跳教會在牧羊上能夠帶來一個突破
[00:01:03.000 --> 00:01:08.000]  不約而同,遇到同樣的衝擊
[00:01:08.000 --> 00:01:10.000]  有人說去問他們
[00:01:10.000 --> 00:01:14.000]  你受過聖靈的洗禮了嗎?
[00:01:14.000 --> 00:01:17.000]  很多人說,什麼叫聖靈的洗禮?
[00:01:17.000 --> 00:01:20.000]  那就是未啦
[00:01:20.000 --> 00:01:24.000]  接著說,你有沒有說過謊言?
[00:01:24.000 --> 00:01:28.000]  說謊言?不是
[00:01:28.000 --> 00:01:34.000]  地方的方,是天上的說話
[00:01:34.000 --> 00:01:37.000]  你有沒有說過?沒有
[00:01:37.000 --> 00:01:41.000]  那就是說你沒有受過聖靈的洗禮
[00:01:41.000 --> 00:01:47.000]  弟兄姊妹,在過去很多人就是因為這樣走到我那裡
[00:01:47.000 --> 00:01:51.000]  牧師,他們問到這些問題,我不知道怎麼回答
[00:01:51.000 --> 00:01:54.000]  我聽完之後,我跟著跟他說
[00:01:54.000 --> 00:01:57.000]  那你想不想知道聖經怎麼回答?
[00:01:57.000 --> 00:01:59.000]  想!
[00:01:59.000 --> 00:02:02.000]  結果我在阿靈頓開了一些這樣的教堂
[00:02:02.000 --> 00:02:07.000]  來到我們教會當中,我20年前又開始教導聖靈的事
[00:02:07.000 --> 00:02:12.000]  但是沒辦法想到過了沒多久又有一批來
[00:02:12.000 --> 00:02:15.000]  我沒聽過,因為20年前他不在
[00:02:15.000 --> 00:02:20.000]  問問你們,20年前有多少人是恩福的?舉手
[00:02:20.000 --> 00:02:23.000]  非常少,是不是?
[00:02:23.000 --> 00:02:26.000]  所以很多人還沒聽過
[00:02:26.000 --> 00:02:31.000]  弟兄姊妹,我們見到聖靈的洗
[00:02:31.000 --> 00:02:34.000]  有一些謬誤的教導
[00:02:34.000 --> 00:02:37.000]  我們很想今天就給大家來聽一聽
[00:02:37.000 --> 00:02:43.000]  一些謬誤的教導和他對我們的影響是怎麼樣
[00:02:43.000 --> 00:02:48.000]  弟兄姊妹,我們針對事,不要針對人
[00:02:48.000 --> 00:02:51.000]  第二,我們針對這些教導之後
[00:02:51.000 --> 00:02:54.000]  我們看回聖經,聖經怎麼說
[00:02:54.000 --> 00:02:59.000]  日後如果你聽到任何人和這些不同的教導
[00:02:59.000 --> 00:03:04.000]  我希望你們懂得用回聖經來跟他們說
[00:03:04.000 --> 00:03:08.000]  弟兄或者姊妹,朋友
[00:03:08.000 --> 00:03:11.000]  你的說法和聖經不同
[00:03:11.000 --> 00:03:15.000]  怎麼不同?你想不想知道?想!
[00:03:15.000 --> 00:03:18.000]  然後跟著我給你的經文
[00:03:18.000 --> 00:03:21.000]  一段一段和他們分享
[00:03:21.000 --> 00:03:23.000]  弟兄姊妹,行不行?
[00:03:23.000 --> 00:03:28.000]  所以今天你聽到,打醒十二分精神
[00:03:28.000 --> 00:03:32.000]  因為你有一個使命,不只是為了自己自保
[00:03:32.000 --> 00:03:36.000]  你要將很多錯誤教導當中的人拔出來
[00:03:36.000 --> 00:03:40.000]  叫他們不要受這些迷惑
[00:03:40.000 --> 00:03:44.000]  這些迷惑的開始是20世紀初
[00:03:44.000 --> 00:03:47.000]  一個叫做五旬節運動
[00:03:47.000 --> 00:03:50.000]  在羅省美國開始
[00:03:50.000 --> 00:03:55.000]  而當時開始了這個五旬節運動之後
[00:03:55.000 --> 00:03:57.000]  有一個他們的神學家
[00:03:57.000 --> 00:04:03.000]  這個神學家叫RATORE
[00:04:03.000 --> 00:04:07.000]  這個神學家很多方面的教導是很好的
[00:04:07.000 --> 00:04:09.000]  但唯獨在聖靈上面
[00:04:09.000 --> 00:04:11.000]  我們發覺有很多的問題
[00:04:11.000 --> 00:04:13.000]  其實就是從他的教導而來
[00:04:13.000 --> 00:04:16.000]  如果一個人因為看人
[00:04:16.000 --> 00:04:18.000]  聽到這個人相當好
[00:04:18.000 --> 00:04:19.000]  這個牧師很有恩賜
[00:04:19.000 --> 00:04:23.000]  然後照單傳修他所說的話
[00:04:23.000 --> 00:04:25.000]  而不看聖經的時候
[00:04:25.000 --> 00:04:28.000]  這個是世界上最危險的事
[00:04:28.000 --> 00:04:31.000]  跟人而不是跟聖經的話
[00:04:31.000 --> 00:04:34.000]  這個會變成一個最危險的事
[00:04:34.000 --> 00:04:35.000]  異端就是這樣出來的
[00:04:35.000 --> 00:04:37.000]  邪教就是這樣出來的
[00:04:37.000 --> 00:04:40.000]  極端同樣都是這樣出來的
