
[00:00:00.000 --> 00:00:04.880]  各位兄弟姐妹 各位老師和同學
[00:00:04.880 --> 00:00:06.640]  早安
[00:00:06.640 --> 00:00:10.720]  我們在開始思想上帝的話語之前
[00:00:10.720 --> 00:00:14.480]  我們再一次低頭祈禱
[00:00:14.480 --> 00:00:15.920]  天父上帝感謝你
[00:00:15.920 --> 00:00:19.520]  讓我們每一個人有從你而來的生命
[00:00:19.520 --> 00:00:21.720]  讓我們有成長的機會
[00:00:21.720 --> 00:00:26.160]  讓我們有機會在學校接受造就
[00:00:26.160 --> 00:00:28.960]  願主你繼續與我們同在
[00:00:28.960 --> 00:00:30.560]  又願我後宗的言語
[00:00:30.560 --> 00:00:32.640]  頂姐妹的心思意念
[00:00:32.640 --> 00:00:34.560]  同被父上帝閱納
[00:00:34.560 --> 00:00:37.360]  基督的名得到高舉和榮耀
[00:00:37.360 --> 00:00:39.680]  祈禱奉靠耶穌基督的名而求
[00:00:39.680 --> 00:00:43.320]  阿門
[00:00:43.320 --> 00:00:46.720]  今天是教育主日
[00:00:46.720 --> 00:00:50.920]  當然在當中我們有我們的老師
[00:00:50.920 --> 00:00:55.040]  甚至有我們的學生一起參與這個崇拜
[00:00:55.040 --> 00:00:58.920]  但是在座當中我相信不少是家長
[00:00:58.920 --> 00:01:00.840]  無論是你的小朋友
[00:01:00.840 --> 00:01:05.160]  或者是你的身邊的親戚朋友
[00:01:05.160 --> 00:01:08.360]  甚至是你的孫子等等
[00:01:08.360 --> 00:01:12.120]  都是在學校裏面讀書
[00:01:12.120 --> 00:01:14.680]  或者我們每一個人都是
[00:01:14.680 --> 00:01:21.280]  參與在整個香港的教育工作上
[00:01:21.280 --> 00:01:26.120]  早幾年我在網上看到
[00:01:26.120 --> 00:01:30.920]  一則新聞也好 故事也好
[00:01:30.920 --> 00:01:33.920]  就說小一入學試
[00:01:33.920 --> 00:01:36.480]  就有一些題目
[00:01:36.480 --> 00:01:38.440]  其中一條就說
[00:01:38.440 --> 00:01:45.200]  街市和超級市場有什麼不同呢
[00:01:45.200 --> 00:01:47.720]  我們有很多學生同學在這裏
[00:01:47.720 --> 00:01:49.800]  街市和超級市場有什麼不同
[00:01:49.800 --> 00:01:51.400]  第二條呢
[00:01:51.400 --> 00:01:54.480]  就是鉛筆四元一枝
[00:01:54.480 --> 00:01:57.040]  間尺七元一把
[00:01:57.040 --> 00:01:59.360]  擦字膠五元
[00:01:59.360 --> 00:02:02.400]  媽媽給了小朋友十元
[00:02:02.400 --> 00:02:08.320]  可以買什麼文具呢 買兩樣東西
[00:02:08.320 --> 00:02:10.160]  第三條就是
[00:02:10.160 --> 00:02:13.720]  如果媽媽給你十顆糖
[00:02:13.720 --> 00:02:17.960]  每兩張糖字就換一顆糖
[00:02:17.960 --> 00:02:24.320]  那你最後可以拿到多少顆糖呢
[00:02:24.320 --> 00:02:27.400]  我不知道 高博士
[00:02:27.400 --> 00:02:30.400]  林牧師
[00:02:30.400 --> 00:02:32.160]  答案是多少
[00:02:32.160 --> 00:02:36.040]  十九粒
[00:02:36.040 --> 00:02:39.280]  各位家長 各位老師
[00:02:39.280 --> 00:02:42.320]  究竟我們想我們的小朋友
[00:02:42.320 --> 00:02:44.720]  進來學校讀書
[00:02:44.720 --> 00:02:48.520]  要學些什麼呢
[00:02:48.520 --> 00:02:53.120]  是不是要答這些不同的題目呢
[00:02:53.120 --> 00:02:54.360]  我們想我們的小朋友
[00:02:54.360 --> 00:02:56.760]  我們的學生學些什麼呢
[00:02:56.760 --> 00:02:58.800]  自古至今
[00:02:58.800 --> 00:03:00.880]  一般人都相信
[00:03:00.880 --> 00:03:05.400]  教育是為了讓我們的小朋友
[00:03:05.400 --> 00:03:08.200]  知書識禮
[00:03:08.200 --> 00:03:11.920]  或者是有一技旁身
