
[00:00:00.000 --> 00:00:02.880]  今天跟大家分享這段經文
[00:00:02.880 --> 00:00:05.060]  我用了一個題目
[00:00:05.060 --> 00:00:07.620]  良心與信仰,或者信仰與良心
[00:00:07.620 --> 00:00:10.240]  總之今天我們講兩件事
[00:00:10.240 --> 00:00:12.640]  講良心,講信仰
[00:00:12.640 --> 00:00:19.020]  我們說基督徒是一個有信仰的人
[00:00:19.020 --> 00:00:19.840]  是不是?
[00:00:19.840 --> 00:00:21.560]  我們基督徒是有信仰的人
[00:00:21.560 --> 00:00:22.640]  沒理由不是的
[00:00:22.640 --> 00:00:25.240]  但是有信仰
[00:00:25.240 --> 00:00:27.040]  對我們來說
[00:00:27.040 --> 00:00:28.920]  是不是就足夠了
[00:00:28.920 --> 00:00:31.160]  什麼叫做有信仰?
[00:00:31.160 --> 00:00:33.640]  什麼叫做有信仰?
[00:00:33.640 --> 00:00:35.940]  第一點
[00:00:35.940 --> 00:00:39.040]  因為今天我估計會比較長
[00:00:39.040 --> 00:00:41.540]  所以我少說一些其他的話
[00:00:41.540 --> 00:00:43.540]  第一點我想直接進去的就是說
[00:00:43.540 --> 00:00:44.920]  我跟大家分享的就是
[00:00:44.920 --> 00:00:46.760]  一個有信仰的生命
[00:00:46.760 --> 00:00:49.240]  或者一個有生命的信仰
[00:00:49.240 --> 00:00:52.560]  是基督徒需要去追尋的
[00:00:52.560 --> 00:00:58.760]  要去努力地去尋察
[00:00:59.280 --> 00:01:01.920]  基督教是一個重視生命的信仰
[00:01:01.920 --> 00:01:05.440]  這個信仰能夠影響我們在生命當中
[00:01:05.440 --> 00:01:09.320]  給我們一些的意義、價值
[00:01:09.320 --> 00:01:11.840]  以及我們的指引
[00:01:11.840 --> 00:01:15.800]  我們初信耶穌的時候我們都知道
[00:01:15.800 --> 00:01:20.680]  我們說聖經就是我們生活行為的指引
[00:01:20.680 --> 00:01:21.640]  你有什麼不知道
[00:01:21.640 --> 00:01:22.720]  那你就決定不了
[00:01:22.720 --> 00:01:23.720]  你看聖經吧
[00:01:23.720 --> 00:01:25.320]  聖經會告訴你怎麼做
[00:01:25.560 --> 00:01:30.320]  所以聖經就是給我們在生活上的一個指引
[00:01:30.320 --> 00:01:34.480]  基督的信仰
[00:01:34.480 --> 00:01:37.960]  是比我們有時候說得藍一點的
[00:01:37.960 --> 00:01:41.880]  六十年代的時候美國有一個說法就是說
[00:01:41.880 --> 00:01:43.600]  無論你的問題是什麼
[00:01:43.600 --> 00:01:45.160]  Jesus is the answer
[00:01:45.160 --> 00:01:47.160]  耶穌基督就是答案
[00:01:47.160 --> 00:01:49.960]  你好像沒有飯吃、沒有工作
[00:01:49.960 --> 00:01:52.560]  總之每樣東西都說耶穌就是你的答案
[00:01:52.560 --> 00:01:54.880]  某個程度是真的
[00:01:54.880 --> 00:01:57.840]  但是不是這麼簡單
[00:01:57.840 --> 00:02:01.520]  是給我們有一個指引
[00:02:01.520 --> 00:02:03.880]  有答案、有盼望
[00:02:03.880 --> 00:02:09.360]  但是什麼是真正的信仰呢?
[00:02:09.360 --> 00:02:11.320]  現代人很多時候
[00:02:11.320 --> 00:02:15.600]  我們有信仰的生活
[00:02:15.600 --> 00:02:20.000]  但是我們未必有信仰的生命
[00:02:20.000 --> 00:02:24.000]  信仰的生活就是
[00:02:24.880 --> 00:02:27.280]  譬如你今天回來教會
[00:02:27.280 --> 00:02:31.040]  之後你參加一些教會的活動
[00:02:31.040 --> 00:02:34.600]  甚至乎你在吃飯的時候謝飯
