
[00:00:00.000 --> 00:00:02.000]  各位兄姊妹,早安!
[00:00:02.000 --> 00:00:06.500]  今天這篇稿子其實我不是很想講,因為很難講
[00:00:06.500 --> 00:00:10.500]  待會我們看到這張聖經有七十二節的經文
[00:00:10.500 --> 00:00:16.000]  其中有六十幾節全部都是人名、數字
[00:00:16.000 --> 00:00:21.000]  如果我們看聖經的時候,我們一定會跳過這張聖經不看的
[00:00:21.000 --> 00:00:23.500]  包括我自己在內,我都不會看的
[00:00:23.500 --> 00:00:26.500]  但是因為一直都是講《尼西米記》
[00:00:26.500 --> 00:00:29.500]  特別是星期六的早上是一個識經的講道
[00:00:29.500 --> 00:00:31.000]  雖然不是主日學
[00:00:31.000 --> 00:00:33.500]  但是我想弟兄姊妹平時都不看的了
[00:00:33.500 --> 00:00:36.000]  如果我再不講的時候更加不看
[00:00:36.000 --> 00:00:40.500]  所以我都會特別的去撰寫這篇講章
[00:00:40.500 --> 00:00:43.500]  但是都感恩的,其實1997年的時候
[00:00:43.500 --> 00:00:45.000]  我講過《尼西米記》
[00:00:45.000 --> 00:00:46.500]  我很記得那時候講完《尼西米記》之後
[00:00:46.500 --> 00:00:49.500]  我就買了仁興街這個地方
[00:00:49.500 --> 00:00:51.500]  但是我再看回我1997年的時候
[00:00:51.500 --> 00:00:53.500]  我真的沒有講這張聖經的
[00:00:53.500 --> 00:00:55.500]  我是跳了過去的
[00:00:55.500 --> 00:00:56.500]  那我就想問一下大家
[00:00:56.500 --> 00:00:58.500]  不知道今天你來之前有沒有看過這張聖經
[00:00:58.500 --> 00:00:59.500]  我相信沒有
[00:00:59.500 --> 00:01:01.500]  有沒有人有,如果有請你舉手
[00:01:01.500 --> 00:01:03.500]  OK,你散了步我請你吃飯好嗎
[00:01:03.500 --> 00:01:05.500]  真的只有一個,OK
[00:01:05.500 --> 00:01:09.500]  我很想我們今天領受這篇信息之前
[00:01:09.500 --> 00:01:13.500]  我想弟兄姊妹你先為今天你自己的領受
[00:01:13.500 --> 00:01:16.500]  也為我的宣講你帶去禱告
[00:01:16.500 --> 00:01:17.500]  然後我帶大家去祈禱
[00:01:17.500 --> 00:01:19.500]  然後你帶我去研讀這張聖經
[00:01:19.500 --> 00:01:24.500]  希望我們知道你話語的寶貴
[00:01:24.500 --> 00:01:28.500]  你自己記下一些事給我們來認識
[00:01:28.500 --> 00:01:30.500]  教導我們怎樣去遵從
[00:01:30.500 --> 00:01:32.500]  但是我們不得不承認有時候
[00:01:32.500 --> 00:01:34.500]  有一些經文我們真的不是很知道
[00:01:34.500 --> 00:01:36.500]  怎樣去研讀
[00:01:36.500 --> 00:01:39.500]  肯教神令你親自的帶去教導我們
[00:01:39.500 --> 00:01:41.500]  也都供我孩子今天所講的
[00:01:41.500 --> 00:01:45.500]  讓我們可以了解到經文背後的意義
[00:01:45.500 --> 00:01:48.500]  肯教神你也都幫助我們一個渴慕追求你話語的心
[00:01:48.500 --> 00:01:50.500]  你與我們同在
[00:01:50.500 --> 00:01:52.500]  祈禱拉動主德性的命,Amen
[00:01:52.500 --> 00:01:54.500]  我們一直看著尼希米記
[00:01:54.500 --> 00:01:56.500]  上一次我們看到
[00:01:56.500 --> 00:02:01.500]  尼希米他要帶領著他自己那班子民重建城牆
[00:02:01.500 --> 00:02:03.500]  但是一定有反對勢力
[00:02:03.500 --> 00:02:07.500]  這班反對的人曾經用言語去恐嚇他們
[00:02:07.500 --> 00:02:10.500]  也都用暴力去對付他們
[00:02:10.500 --> 00:02:13.500]  但是都好像對付不到的時候
[00:02:13.500 --> 00:02:16.500]  於是他們就出一些詭計
[00:02:16.500 --> 00:02:18.500]  約他出來見面
[00:02:18.500 --> 00:02:21.500]  然後也都想帶他去散播謠言
[00:02:21.500 --> 00:02:23.500]  但是尼希米一一拒絕
[00:02:23.500 --> 00:02:27.500]  甚至更加絕的就找一個聖職人員跟他說
[00:02:27.500 --> 00:02:31.500]  不如我們進去聖殿那裡帶他去見面
[00:02:31.500 --> 00:02:34.500]  但是因為尼希米不是神職人員
[00:02:34.500 --> 00:02:36.500]  其實他不可以進去那些地方
[00:02:36.500 --> 00:02:41.500]  尼希米很有智慧去分析到他們的詭計
[00:02:41.500 --> 00:02:43.500]  於是怎樣呢
[00:02:43.500 --> 00:02:45.500]  一一的帶他去拒絕
[00:02:45.500 --> 00:02:49.500]  在上一堂自卻敵人的時候
[00:02:49.500 --> 00:02:52.500]  我們可以看回這一篇的講章
[00:02:52.500 --> 00:02:54.500]  尼希米就向神父求神
[00:02:54.500 --> 00:02:56.500]  求你來幫助我
[00:02:56.500 --> 00:02:58.500]  懂得怎樣去面對這些人
[00:02:58.500 --> 00:02:59.500]  聖經裡面記載
[00:02:59.500 --> 00:03:02.500]  因為尼希米的專注
[00:03:02.500 --> 00:03:03.500]  也都倚靠神
