
[00:00:00.000 --> 00:00:07.000]  今天的題目叫做 初生入死 初始入生
[00:00:07.000 --> 00:00:15.000]  首先看一個圖片
[00:00:15.000 --> 00:00:18.000]  今年是2016年 2015年7月
[00:00:18.000 --> 00:00:21.000]  美國太空總處就是NASA
[00:00:21.000 --> 00:00:24.000]  就是宣告了7月份的時候宣告了一個新聞
[00:00:24.000 --> 00:00:27.000]  就是說他們發現了個新的地球
[00:00:27.000 --> 00:00:30.000]  然後那個新的地球當然不是地球
[00:00:30.000 --> 00:00:32.000]  是一個星球
[00:00:32.000 --> 00:00:34.000]  那星球上有什麼特別呢
[00:00:34.000 --> 00:00:38.000]  就是他發現他有一些特質跟地球很像
[00:00:38.000 --> 00:00:42.000]  比如說上面的溫度跟地球的差不多
[00:00:42.000 --> 00:00:45.000]  而且上面有水 可能有水
[00:00:45.000 --> 00:00:50.000]  以至於我們人類可以在上面生存
[00:00:50.000 --> 00:00:54.000]  當大家都非常興奮的時候
[00:00:54.000 --> 00:00:56.000]  但是我們要考慮一個問題
[00:00:56.000 --> 00:01:00.000]  他到底離地球有多遠
[00:01:00.000 --> 00:01:07.000]  這裏報道說他離地球有1400光年這麼遠
[00:01:07.000 --> 00:01:09.000]  光年是什麼一個概念
[00:01:09.000 --> 00:01:11.000]  光年是一個長度的單位
[00:01:11.000 --> 00:01:15.000]  就是說光在真空當中走一連
[00:01:15.000 --> 00:01:19.000]  所過的一個距離
[00:01:19.000 --> 00:01:22.000]  光年就一個光年就等於大概是
[00:01:22.000 --> 00:01:26.000]  1.46*10^12公里這麼長
[00:01:26.000 --> 00:01:29.000]  這數字太大了 大家不用記下來
[00:01:29.000 --> 00:01:31.000]  但是我問大家一個問題
[00:01:31.000 --> 00:01:34.000]  如果一個人從出生就坐上太空船
[00:01:34.000 --> 00:01:36.000]  一直往那個地方去的時候
[00:01:36.000 --> 00:01:39.000]  你猜一下他有沒有壽命到那個地方去生存
[00:01:39.000 --> 00:01:42.000]  答案是很明顯的 根本沒有辦法
[00:01:42.000 --> 00:01:47.000]  那我想如果真的要到這個新的地球去生存的話
[00:01:47.000 --> 00:01:49.000]  可能要造一個太空船
[00:01:49.000 --> 00:01:50.000]  人類要坐在上面
[00:01:50.000 --> 00:01:52.000]  然後在裏面就生存
[00:01:52.000 --> 00:01:54.000]  可能一代又一代一代一代
