
[00:00:00.000 --> 00:00:03.000]  一年很快就要過去了 是不是
[00:00:03.000 --> 00:00:05.000]  我們今年講格羅西書
[00:00:05.000 --> 00:00:10.000]  今天應該是倒數第二集
[00:00:10.000 --> 00:00:14.000]  保留在格羅西書的最後一章裡面
[00:00:14.000 --> 00:00:18.000]  花了大部分的篇幅在講什麼
[00:00:18.000 --> 00:00:23.000]  你大概聽講到
[00:00:23.000 --> 00:00:27.000]  可能 我不敢講說絕對沒有
[00:00:27.000 --> 00:00:30.000]  我自己從小聽到聽到今天
[00:00:30.000 --> 00:00:36.000]  我從來沒有聽過哪一個講台講今天這一段
[00:00:36.000 --> 00:00:38.000]  大概查經會查到
[00:00:38.000 --> 00:00:41.000]  因為查經是一一一一不就要查下去嗎
[00:00:41.000 --> 00:00:43.000]  但是主日講台
[00:00:43.000 --> 00:00:49.000]  大概從來不會有人要把問安拿來講到
[00:00:49.000 --> 00:00:52.000]  可是保留在格羅西書第四章裡面
[00:00:52.000 --> 00:00:54.000]  花了很長的篇幅
[00:00:54.000 --> 00:01:00.000]  從第七節到十五節就在問安
[00:01:00.000 --> 00:01:04.000]  一個一個 不嫌
[00:01:04.000 --> 00:01:07.000]  你看這些名字很多都不熟悉的
[00:01:07.000 --> 00:01:12.000]  什麼推機鼓 啞里打鼓都是打鼓的
[00:01:12.000 --> 00:01:15.000]  耶穌什麼這些都不熟悉對不對
[00:01:15.000 --> 00:01:21.000]  我們比較熟悉的就是什麼馬可 路加
[00:01:21.000 --> 00:01:26.000]  或者是有幾個熟悉他沒提
[00:01:26.000 --> 00:01:30.000]  提莫泰 希拉 猶大
[00:01:30.000 --> 00:01:34.000]  他沒提 他提的這些很多名字我們都不熟悉的
[00:01:34.000 --> 00:01:38.000]  從這一個當中你可以看見一件事情
[00:01:38.000 --> 00:01:43.000]  保羅真是一個有感情的人
[00:01:43.000 --> 00:01:47.000]  跟你旁邊說你要成為一個有感情的人
[00:01:47.000 --> 00:01:50.000]  保羅不是一個工作狂而已
[00:01:50.000 --> 00:01:54.000]  保羅不是他只是為了把工作做好
[00:01:54.000 --> 00:01:59.000]  保羅是一個性情中人
[00:01:59.000 --> 00:02:02.000]  他提到這一連串的名字
[00:02:02.000 --> 00:02:04.000]  讓我們看見說
[00:02:04.000 --> 00:02:09.000]  保羅他在福音的道路上面他不是一個人
[00:02:09.000 --> 00:02:11.000]  他是有一個團隊
[00:02:11.000 --> 00:02:17.000]  這個團隊有一個現代用語叫做夢幻團隊
[00:02:17.000 --> 00:02:21.000]  盼望我們的教會是一個夢幻團隊
[00:02:21.000 --> 00:02:26.000]  盼望你所參加的小組團聚是一個夢幻小組
[00:02:26.000 --> 00:02:28.000]  沒有那麼興奮
[00:02:28.000 --> 00:02:34.000]  盼望你的家是一個夢幻團隊
[00:02:34.000 --> 00:02:37.000]  其實不管你在哪裡
[00:02:37.000 --> 00:02:42.000]  在我們人世間我們有很多的團隊
[00:02:42.000 --> 00:02:45.000]  工作也有工作的團隊
[00:02:45.000 --> 00:02:48.000]  能夠有一個好的工作團隊
[00:02:48.000 --> 00:02:53.000]  這也是一個很幸福的事情
[00:02:53.000 --> 00:02:58.000]  保羅有一個可以說是一個夢幻團隊
[00:02:58.000 --> 00:03:01.000]  才成就了當時候他說他福音
[00:03:01.000 --> 00:03:05.000]  他說他到一個地步再也沒有可傳的地方
[00:03:05.000 --> 00:03:08.000]  看到沒有
[00:03:08.000 --> 00:03:13.000]  那我們來看看保羅的這個夢幻團隊
[00:03:13.000 --> 00:03:15.000]  今天我們要從他這裡來看看
[00:03:15.000 --> 00:03:20.000]  我們怎麼樣子來打造一個天國的夢幻團隊
[00:03:20.000 --> 00:03:25.000]  2022年的時候
[00:03:25.000 --> 00:03:31.000]  還記得全世界許多的人跑到卡達
[00:03:31.000 --> 00:03:35.000]  跑到卡達去看世界盃足球賽
[00:03:35.000 --> 00:03:38.000]  我們有沒有人跑去那邊去看過
[00:03:38.000 --> 00:03:41.000]  那你有沒有在網上去看
[00:03:41.000 --> 00:03:45.000]  請問世界盃那一次的足球賽
[00:03:45.000 --> 00:03:50.000]  是哪一個國家得勝
[00:03:50.000 --> 00:03:53.000]  阿根廷
[00:03:53.000 --> 00:03:57.000]  其中最有名的一個球員大家還記得嗎
[00:03:57.000 --> 00:04:04.000]  Messi是不是Messi百貨的Messi
[00:04:04.000 --> 00:04:08.000]  大家都知道Messi但是你知道嗎
[00:04:08.000 --> 00:04:14.000]  阿根廷能夠打贏這一次不簡單
[00:04:14.000 --> 00:04:20.000]  主要是因為他有一個夢幻團隊
