
[00:00:00.000 --> 00:00:02.600]  Good morning 早晨各位
[00:00:02.600 --> 00:00:06.900]  I was trying to remember when's the last time I was here preaching
[00:00:06.900 --> 00:00:08.400]  It's been a while
[00:00:08.400 --> 00:00:11.800]  我想一下我上一次來這裡講道的時候是幾時呢?
[00:00:11.800 --> 00:00:13.800]  可能已經是一段時間了
[00:00:13.800 --> 00:00:15.800]  It's all exciting for me to be here
[00:00:15.800 --> 00:00:19.200]  For those of you who don't know my parents grew up in Hong Kong
[00:00:19.200 --> 00:00:22.400]  我很興奮可以來到這裡當中
[00:00:22.400 --> 00:00:24.600]  有些如果對我不是很認識的
[00:00:24.600 --> 00:00:27.200]  我的父母都是在香港長大
[00:00:27.200 --> 00:00:29.000]  So I'm Cantonese
[00:00:29.000 --> 00:00:31.000]  所以我是廣東人
[00:00:31.000 --> 00:00:33.800]  And I feel like I'm at home when I'm here with you all
[00:00:33.800 --> 00:00:37.400]  我覺得在家的樣子非常之舒服
[00:00:37.400 --> 00:00:41.000]  If you could show the first slide with some pictures
[00:00:41.000 --> 00:00:42.200]  The next slide
[00:00:42.200 --> 00:00:43.800]  I just want to update you
[00:00:43.800 --> 00:00:45.200]  Since I haven't been here for a while
[00:00:45.200 --> 00:00:47.200]  And some of you might not know
[00:00:47.200 --> 00:00:50.000]  My family
[00:00:50.000 --> 00:00:50.800]  Next picture
[00:00:50.800 --> 00:00:52.000]  You can see the Christmas picture
[00:00:52.000 --> 00:00:54.800]  We just took this last month
[00:00:54.800 --> 00:00:59.800]  我是給大家一個想將我最近的情況
[00:00:59.800 --> 00:01:01.200]  跟大家分享一下
[00:01:01.200 --> 00:01:04.200]  這個是在聖誕節的時候我們拍的照
[00:01:04.200 --> 00:01:07.400]  So many of you know my wife Sherry and my son Asher
[00:01:07.400 --> 00:01:10.400]  Asher is now 13 years old and in 7th grade
[00:01:10.400 --> 00:01:12.200]  我的太太是Shirley
[00:01:12.200 --> 00:01:14.400]  我兒子是Asher
[00:01:14.400 --> 00:01:21.000]  他現在已經是七年級13歲
[00:01:21.000 --> 00:01:24.000]  And also many of you might know we are a foster family
[00:01:24.000 --> 00:01:28.200]  And right now we welcomed an 18-year-old foster son
[00:01:28.200 --> 00:01:29.000]  Into our family
[00:01:29.000 --> 00:01:31.600]  So he doesn't always come on Sundays
[00:01:31.600 --> 00:01:33.000]  But you might see him around
[00:01:33.000 --> 00:01:36.200]  我們都是有領養了一個18歲的年輕人
[00:01:36.200 --> 00:01:38.200]  他不是經常來到這個教會
[00:01:38.200 --> 00:01:40.200]  有時你都見到他
[00:01:40.200 --> 00:01:42.400]  And also in July 2024
