
[00:00:00.000 --> 00:00:06.160]  各位聽眾,今天特別和大家分享登山補訓
[00:00:06.160 --> 00:00:09.440]  我們會去到第七章,一到六節
[00:00:09.440 --> 00:00:12.940]  講到論斷人者必被論斷
[00:00:12.940 --> 00:00:15.160]  到底什麼叫論斷呢?
[00:00:15.160 --> 00:00:18.080]  論斷一般來說
[00:00:18.080 --> 00:00:20.040]  是針對到
[00:00:20.040 --> 00:00:24.440]  可能是有些人你不喜歡
[00:00:24.440 --> 00:00:26.580]  因為你不喜歡他
[00:00:26.580 --> 00:00:28.560]  所以因為這樣的緣故
[00:00:30.060 --> 00:00:32.600]  你一有機會就講壞他
[00:00:32.600 --> 00:00:36.000]  講壞未必是根據事實
[00:00:36.000 --> 00:00:38.680]  如果你是提出事實,針對事實
[00:00:38.680 --> 00:00:41.680]  舉一個例子,如果你聽到某些人講的話
[00:00:41.680 --> 00:00:43.800]  和事實不符的時候
[00:00:43.800 --> 00:00:47.940]  你提出那個事實來說
[00:00:47.940 --> 00:00:51.480]  說我知道的事實和你說的不同
[00:00:51.480 --> 00:00:55.440]  我知道的是這樣,你剛才說的是這樣
[00:00:55.440 --> 00:00:58.440]  你可不可以澄清呢?這個不是論斷
[00:00:58.760 --> 00:01:01.780]  論斷的意思就是一開始
[00:01:01.780 --> 00:01:03.540]  就說大炮清
[00:01:03.540 --> 00:01:05.080]  大話清
[00:01:05.080 --> 00:01:09.580]  當我們去到這樣的時候,已經去到一個結論
[00:01:09.580 --> 00:01:11.680]  那個叫結案層次
[00:01:11.680 --> 00:01:13.740]  我們當作我們是法官
[00:01:13.740 --> 00:01:15.640]  這個是有些不同的
[00:01:15.640 --> 00:01:20.380]  第二種就是我和他有一些利益的衝突
[00:01:20.380 --> 00:01:23.220]  我想這個在政界特別多
[00:01:23.220 --> 00:01:25.620]  選舉過程當中
[00:01:26.220 --> 00:01:29.160]  大家有沒有看到在選舉過程當中
[00:01:29.160 --> 00:01:33.420]  不同一些候選人互相攻擊的場面呢?
[00:01:33.420 --> 00:01:35.280]  可不可以舉手,有多少人看到的?
[00:01:35.280 --> 00:01:38.580]  有很多呢,老實講
[00:01:38.580 --> 00:01:41.080]  是涉及到論斷有關的
[00:01:41.080 --> 00:01:44.380]  當自己已經知道了整個事實的真相
[00:01:44.380 --> 00:01:47.300]  然後知道了我所說的話
[00:01:47.300 --> 00:01:51.240]  我所想的,我的判斷是真的
[00:01:51.240 --> 00:01:54.300]  是完全全面知道了
[00:01:54.400 --> 00:01:56.980]  已經審過了,然後第三
[00:01:56.980 --> 00:01:59.680]  我有一個身份來判你
[00:01:59.680 --> 00:02:02.760]  即是當自己是一個法官
[00:02:02.760 --> 00:02:04.300]  這個是另一樣
[00:02:04.300 --> 00:02:06.840]  第四樣東西就是注視
[00:02:06.840 --> 00:02:08.400]  知少少
[00:02:08.400 --> 00:02:12.180]  但是就加了很多幻想在那裏
[00:02:12.180 --> 00:02:14.240]  加了幻想之後
[00:02:14.240 --> 00:02:17.020]  就將這些幻想當作真的
[00:02:17.020 --> 00:02:18.400]  就傳出去
[00:02:18.400 --> 00:02:20.960]  這件事是很危險的
[00:02:20.960 --> 00:02:23.880]  因為當我們這樣傳出去,說別人的時候
[00:02:23.880 --> 00:02:27.220]  很容易會涉及到一種叫做誹謗
[00:02:27.220 --> 00:02:30.540]  論斷你不傳播
[00:02:30.540 --> 00:02:32.100]  未必是誹謗
[00:02:32.100 --> 00:02:34.980]  你私底下說,未必是誹謗
[00:02:34.980 --> 00:02:38.120]  而當你傳播出去,有人批評你的時候
[00:02:38.120 --> 00:02:40.980]  這個隨時會成為一種誹謗
[00:02:40.980 --> 00:02:44.520]  誹謗是什麼呢?有人說是一條毒蛇
[00:02:44.520 --> 00:02:47.480]  而實際上這條毒蛇是有翅膀的
[00:02:47.480 --> 00:02:51.320]  它不僅會爬,它會飛的
[00:02:51.320 --> 00:02:52.900]  同不同意嗎?頂姐妹
[00:02:53.500 --> 00:02:55.440]  可以飛得很遠的
[00:02:55.440 --> 00:02:58.800]  是由香港即時可以飛到加拿大,飛到美國
[00:02:58.800 --> 00:03:00.720]  全球可能都會知道
[00:03:00.720 --> 00:03:03.840]  所以我們見到在今天越來越多這些東西
[00:03:03.840 --> 00:03:06.560]  另外有一個原因,為什麼會論斷呢?
[00:03:06.560 --> 00:03:08.600]  就是不饒恕,我要報復
[00:03:08.600 --> 00:03:13.180]  但是無論如何,我們會看得見論斷的人
[00:03:13.180 --> 00:03:16.540]  是自視清楚了解一切的東西
[00:03:16.540 --> 00:03:20.180]  第二,自視自己是一個標準
[00:03:20.180 --> 00:03:23.440]  第三,自視是一個裁判官
[00:03:23.520 --> 00:03:27.780]  這樣做是因為妒忌而產生的論斷
[00:03:27.780 --> 00:03:32.320]  實際上論斷是哪個時候才有的呢?
[00:03:32.320 --> 00:03:34.500]  不是21世紀
[00:03:34.500 --> 00:03:37.980]  現在的香港才有的
[00:03:37.980 --> 00:03:45.000]  自古至今,中外到處都已經有論斷這回事
[00:03:45.000 --> 00:03:48.780]  我就想和大家講一講
[00:03:48.780 --> 00:03:54.860]  其中一個是論斷的,我記得的一個故事
[00:03:54.860 --> 00:03:58.120]  這個故事是話說
[00:03:58.120 --> 00:04:00.820]  孔子的弟子湯沖
[00:04:00.820 --> 00:04:05.100]  他比較器重顏回
[00:04:05.100 --> 00:04:07.900]  特別是對他的品格方面
[00:04:07.900 --> 00:04:09.800]  覺得他很高尚
[00:04:09.800 --> 00:04:12.060]  所以很多時候都會稱讚他
[00:04:12.060 --> 00:04:16.100]  但是有可能其他的弟子有些躁意在
[00:04:16.580 --> 00:04:22.980]  有一次,話說孔子被圍困於蔡國和陳國之間
[00:04:22.980 --> 00:04:24.520]  七天都沒有飯吃
[00:04:24.520 --> 00:04:26.840]  子貢突圍
[00:04:26.840 --> 00:04:30.880]  突圍之後帶了一些米和一個鍋
[00:04:30.880 --> 00:04:34.420]  然後顏回就煮飯給孔子吃
[00:04:34.420 --> 00:04:37.780]  誰知道,很可惜
[00:04:37.780 --> 00:04:40.900]  子貢看到顏回煮完飯之後
[00:04:40.900 --> 00:04:42.380]  揭開鍋蓋
[00:04:42.380 --> 00:04:45.580]  哇,突然拿了一堆飯塞進嘴裡
