
[00:00:00.000 --> 00:00:04.120]  大家好 很高興再一次跟大家敬拜上帝
[00:00:04.120 --> 00:00:07.160]  不知道大家來參加這個敬拜的時候
[00:00:07.160 --> 00:00:12.600]  或者打開螢光幕去聚會的時候
[00:00:12.600 --> 00:00:16.360]  有沒有感覺到上帝就在我們當中?
[00:00:16.360 --> 00:00:19.160]  當然 如果你不是第一次聽牧師講道的話
[00:00:19.160 --> 00:00:20.880]  你也知道 我很強調
[00:00:20.880 --> 00:00:24.200]  我們來敬拜應該時時感受到上帝在我們當中
[00:00:24.200 --> 00:00:25.880]  接受我們的敬拜
[00:00:25.880 --> 00:00:30.680]  但我相信大部份人都沒有這個感覺
[00:00:30.680 --> 00:00:33.720]  簡單來說 剛才我們唱歌讚美上帝的時候
[00:00:33.720 --> 00:00:36.040]  有多少人真的開口唱歌讚美上帝?
[00:00:36.040 --> 00:00:39.800]  因為我們隨著音樂在動他們的嘴唇
[00:00:39.800 --> 00:00:41.640]  甚至有些人覺得懶得去唱
[00:00:41.640 --> 00:00:45.160]  反正對著螢光幕 也沒有人聽到
[00:00:45.160 --> 00:00:47.080]  自己想讓自己聽嗎?
[00:00:47.080 --> 00:00:49.160]  其實我們唱給上帝聽的
[00:00:49.160 --> 00:00:51.600]  不知道大家有沒有這個想法呢?
[00:00:51.600 --> 00:00:52.840]  當我們打開聖經
[00:00:52.840 --> 00:00:56.120]  或者在螢光幕上看到經文出現的時候
[00:00:56.120 --> 00:01:00.040]  我們的大腦好像是停止了運作
[00:01:00.040 --> 00:01:04.360]  看不到裡面到底有什麼意思
[00:01:04.360 --> 00:01:06.000]  講什麼呢?
[00:01:06.000 --> 00:01:08.200]  就算有人讀一次給我們聽
[00:01:08.200 --> 00:01:12.600]  我們好像仍然是不知道聽到什麼出來
[00:01:12.600 --> 00:01:16.200]  我們對神的話有時候覺得好像有點麻木
[00:01:16.200 --> 00:01:19.280]  特別是經文來來去去 牧師所講的信息
[00:01:19.280 --> 00:01:22.160]  都是差不多的
