
[00:00:00.000 --> 00:00:01.840]  (主席)各位頂子妹平安
[00:00:01.840 --> 00:00:03.840]  (弟弟)平安
[00:00:03.840 --> 00:00:07.080]  (主席)基督耶穌在第十六章
[00:00:07.080 --> 00:00:09.920]  向門徒臨別贈言
[00:00:09.920 --> 00:00:11.520]  之後去到第十七章
[00:00:11.520 --> 00:00:14.360]  就是剛才大家去看的那段經文
[00:00:14.360 --> 00:00:19.520]  就是耶穌在受難之前的禱告
[00:00:19.520 --> 00:00:24.080]  也是剛才其中一段
[00:00:24.080 --> 00:00:28.400]  而《約翰福音》在下一章
[00:00:28.400 --> 00:00:34.280]  就開始記載耶穌受難被捕
[00:00:34.280 --> 00:00:37.280]  相信大家在大家手上的聖經
[00:00:37.280 --> 00:00:40.840]  你見到第十七章會有一個標題
[00:00:40.840 --> 00:00:45.280]  就是寫著「耶穌的禱告」
[00:00:45.280 --> 00:00:46.760]  由於這段禱文
[00:00:46.760 --> 00:00:48.400]  是耶穌在受難之前
[00:00:48.400 --> 00:00:52.200]  和天父上帝的一個對話
[00:00:52.200 --> 00:00:55.440]  所以吸引到不少的聖經學者
[00:00:55.440 --> 00:01:00.000]  把這段比主禱文長四倍的禱文
[00:01:00.000 --> 00:01:04.280]  稱為「大祭司」的禱文來分析
[00:01:04.280 --> 00:01:08.480]  很想了解耶穌在公審和受苦之前
[00:01:08.480 --> 00:01:12.320]  究竟是怎樣來禱告的呢
[00:01:12.320 --> 00:01:16.080]  這段「大祭司」的禱告分成三部分
[00:01:16.080 --> 00:01:17.760]  有三個範疇
[00:01:17.760 --> 00:01:19.120]  第一到第五節
[00:01:19.120 --> 00:01:23.120]  是為耶穌自己的使命來祈禱
[00:01:23.120 --> 00:01:25.280]  第六至第十九節
[00:01:25.280 --> 00:01:28.920]  亦即是剛才我們讀的經文
[00:01:28.920 --> 00:01:31.560]  就是為那些已經信靠了
[00:01:31.560 --> 00:01:34.520]  耶穌的門徒來祈禱
