
[00:00:00.000 --> 00:00:04.000]  各位頂姐妹早晨,各位在網上崇拜的頂姐妹早晨
[00:00:04.000 --> 00:00:07.000]  我們一齊先去禱告仰望神
[00:00:07.000 --> 00:00:10.000]  在這場崇拜和講道的裏面
[00:00:10.000 --> 00:00:12.000]  請我們一同禱告
[00:00:12.000 --> 00:00:15.000]  天父多謝你讓我們一齊去仰望你
[00:00:15.000 --> 00:00:19.000]  我們能夠在這個風雨飄搖的世代
[00:00:19.000 --> 00:00:22.000]  今天也是風雨飄搖,我這樣出門口
[00:00:22.000 --> 00:00:26.000]  或者就算我們安坐家中都看到外面很大雨
[00:00:26.000 --> 00:00:30.000]  這個感覺給我們看見雨淋水沖
[00:00:30.000 --> 00:00:32.000]  給我們看見
[00:00:32.000 --> 00:00:36.000]  真是我們很多時會面對人生的風浪
[00:00:36.000 --> 00:00:40.000]  或者我們個人不是面對人生的風浪
[00:00:40.000 --> 00:00:45.000]  但是這個世界就是充滿了風浪苦難
[00:00:45.000 --> 00:00:49.000]  我們在這個情況我們一路去聽道
[00:00:49.000 --> 00:00:51.000]  我們不是單是為了自己
[00:00:51.000 --> 00:00:55.000]  我們是為了去服侍你,要見證我們的主
[00:00:55.000 --> 00:00:58.000]  如何在這個世代生活
[00:00:58.000 --> 00:01:03.000]  求你這一刻就在我們的心裏面去動工
[00:01:03.000 --> 00:01:05.000]  因為唯有聖靈
[00:01:05.000 --> 00:01:10.000]  將你的話語解開,放在我們的心裏面
[00:01:10.000 --> 00:01:12.000]  鼓勵我們
[00:01:12.000 --> 00:01:16.000]  我們才能夠真的謹守遵行你的道
[00:01:16.000 --> 00:01:19.000]  求你就在我們當中
[00:01:19.000 --> 00:01:21.000]  我們一齊崇拜不是圖言的
[00:01:21.000 --> 00:01:25.000]  願你就去感動我們
[00:01:25.000 --> 00:01:27.000]  以致我們真的這個崇拜
[00:01:27.000 --> 00:01:29.000]  不是單是為了自己
[00:01:29.000 --> 00:01:33.000]  但是一齊的,去為了你,去榮耀你
[00:01:33.000 --> 00:01:36.000]  我們聽完道,唱完詩歌,與人相教
[00:01:36.000 --> 00:01:38.000]  是更加為了榮耀你的命
[00:01:38.000 --> 00:01:42.000]  我們再一次將榮耀重贊歸給我們的主
[00:01:42.000 --> 00:01:44.000]  我們會禱告奉耶穌基督的名字
[00:01:44.000 --> 00:01:46.000]  阿們
[00:01:49.000 --> 00:01:52.000]  這個就是接續上一次的講道
[00:01:52.000 --> 00:01:54.000]  上次講道
[00:01:54.000 --> 00:01:59.000]  剛才為什麼讀一讀第四十三節
[00:01:59.000 --> 00:02:03.000]  到第四十五節呢?
[00:02:03.000 --> 00:02:05.000]  因為口裏想到什麼
[00:02:05.000 --> 00:02:07.000]  心裏就會講出來
[00:02:07.000 --> 00:02:09.000]  上次就講到心與口的關係
[00:02:09.000 --> 00:02:11.000]  今天就講到
[00:02:11.000 --> 00:02:15.000]  口與行動的關係
[00:02:15.000 --> 00:02:18.000]  我們看見耶穌的講論
[00:02:18.000 --> 00:02:20.000]  很容易明白的
[00:02:20.000 --> 00:02:22.000]  上次是講內心,這次是講行動
[00:02:22.000 --> 00:02:25.000]  耶穌的講論是一針見血
[00:02:25.000 --> 00:02:27.000]  一開始你會讀到經文
[00:02:27.000 --> 00:02:29.000]  就是在中間那裡,第四十六節
