
[00:00:00.000 --> 00:00:02.720]  新年裏面我們都會拜年
[00:00:02.720 --> 00:00:06.320]  我們都有不同的祝願
[00:00:06.320 --> 00:00:08.100]  這些祝願裏面
[00:00:08.100 --> 00:00:09.440]  其實可能我們會想一下
[00:00:09.440 --> 00:00:11.560]  到底是一些想要的東西
[00:00:11.560 --> 00:00:14.440]  還是需要的東西
[00:00:14.440 --> 00:00:18.140]  我不知道大家拜年完結了
[00:00:18.140 --> 00:00:19.760]  大家拜年的時候
[00:00:19.760 --> 00:00:22.520]  最多講的祝福語是什麼說話
[00:00:22.520 --> 00:00:25.480]  上一次吳牧師講提摩太前書的時候
[00:00:25.480 --> 00:00:27.080]  都有提過
[00:00:27.080 --> 00:00:31.560]  對我們來說可能我們都比較不講恭喜發財
[00:00:31.560 --> 00:00:33.960]  我不知道大家覺得拜年的時候
[00:00:33.960 --> 00:00:35.400]  會不會都有一些限制
[00:00:35.400 --> 00:00:41.600]  好像講這句話又好像不是很順暢
[00:00:41.600 --> 00:00:42.940]  所以我們多數講
[00:00:42.940 --> 00:00:46.480]  上次吳牧師提到我們最多講什麼?
[00:00:46.480 --> 00:00:49.400]  祝大家身體健康
[00:00:49.400 --> 00:00:52.560]  我們說新年快樂、新年蒙福
[00:00:52.560 --> 00:00:56.320]  最多可能講的就是身體健康
[00:00:56.320 --> 00:01:00.600]  這個就和我們最近成長班的課程有關
[00:01:00.600 --> 00:01:02.840]  我不知道你的成長班查了沒有
[00:01:02.840 --> 00:01:05.640]  在提摩太前書第幾章?
[00:01:05.640 --> 00:01:09.760]  第四章講到操練身體益處還小
[00:01:09.760 --> 00:01:10.640]  唯獨敬虔
[00:01:10.640 --> 00:01:12.840]  所以吳牧師上次跟我們提到
[00:01:12.840 --> 00:01:15.600]  要操練敬虔
[00:01:15.600 --> 00:01:20.600]  但是其實身體健康都是重要的
[00:01:20.600 --> 00:01:21.920]  同樣我會相信
[00:01:21.920 --> 00:01:24.920]  我們彼此拜年的時候講的話
[00:01:24.920 --> 00:01:28.520]  有時候真的只不過是人心裡面想要的東西
[00:01:28.520 --> 00:01:32.280]  但想要的東西不一定是我們的需要
[00:01:32.280 --> 00:01:35.360]  有時候我們都會明白這個道理
[00:01:35.360 --> 00:01:37.560]  但有時候又好像不是那麼明白
[00:01:37.560 --> 00:01:41.080]  所以有時候我們會特別家長對小朋友的時候
[00:01:41.080 --> 00:01:45.360]  有時候小朋友經過一些店鋪想買東西
[00:01:45.360 --> 00:01:47.720]  但是可能做父母覺得
[00:01:47.720 --> 00:01:49.680]  這個都不是他的需要
[00:01:49.680 --> 00:01:52.640]  只不過他臨時突然間看到一樣東西想要
[00:01:52.640 --> 00:01:54.920]  他就提出一個要求
[00:01:54.920 --> 00:01:56.240]  但其實不是小朋友
[00:01:56.240 --> 00:01:58.960]  有時候有些成年人都一樣
[00:01:58.960 --> 00:02:01.280]  可能逛逛街有些人推銷
[00:02:01.280 --> 00:02:02.840]  告訴你這個好
[00:02:02.840 --> 00:02:04.720]  其實不一定是他的需要
[00:02:04.720 --> 00:02:05.920]  突然間他就想要
[00:02:05.920 --> 00:02:08.960]  買了回去就放在店鋪房間也好
[00:02:08.960 --> 00:02:10.240]  放在床下底也好
[00:02:10.240 --> 00:02:11.960]  然後又不會怎麼用
[00:02:11.960 --> 00:02:13.360]  所以有時候我們都會問一下
[00:02:13.360 --> 00:02:14.880]  到底這些新年祝願
[00:02:14.880 --> 00:02:17.720]  其實有哪些只不過是想要
[00:02:17.720 --> 00:02:20.120]  其實又不是我們真正的需要
[00:02:20.120 --> 00:02:21.400]  但我們都相信
[00:02:21.400 --> 00:02:23.600]  身體健康大家需不需要
[00:02:23.600 --> 00:02:25.320]  需要
[00:02:25.320 --> 00:02:28.800]  特別在今時今日這個社會裡面
[00:02:28.800 --> 00:02:31.160]  我們都希望身體健康
[00:02:31.160 --> 00:02:34.480]  但我又更加覺得在我們身體健康裡面
[00:02:34.480 --> 00:02:35.400]  另外一個提醒
[00:02:35.400 --> 00:02:38.080]  無論是操練敬前也好
[00:02:38.080 --> 00:02:39.840]  或者用什麼去表達
[00:02:39.840 --> 00:02:42.000]  我相信我們更加需要一個叫做
[00:02:42.000 --> 00:02:44.240]  身心靈健康
[00:02:44.240 --> 00:02:50.640]  所以在我今年收到一些WhatsApp的拜年的時候
[00:02:50.640 --> 00:02:56.680]  我的主要回應就是祝福大家身心靈健康
[00:02:56.680 --> 00:03:00.080]  這也是我們最需要的
[00:03:00.080 --> 00:03:03.240]  所以從今日坦子的經歷裡面
[00:03:03.240 --> 00:03:05.120]  我想跟大家來看是什麼呢?
[00:03:05.120 --> 00:03:06.400]  第一個就是看一下
[00:03:06.400 --> 00:03:10.360]  我們需要有一個叫做全人健康
[00:03:10.360 --> 00:03:11.960]  坦子的故事
[00:03:11.960 --> 00:03:14.480]  其實我們先要問
[00:03:14.480 --> 00:03:16.680]  其實坦子來見耶穌
[00:03:16.680 --> 00:03:17.960]  在故事裡面
[00:03:17.960 --> 00:03:21.640]  他來見耶穌的目的是什麼呢?
[00:03:21.640 --> 00:03:23.360]  大家讀完一次經文
[00:03:23.360 --> 00:03:27.600]  你覺得坦子來見耶穌的目的是什麼?
[00:03:27.600 --> 00:03:29.160]  可能我們很快想到
[00:03:29.160 --> 00:03:31.000]  他有病
[00:03:31.000 --> 00:03:33.280]  耶穌可以醫病
[00:03:33.280 --> 00:03:37.200]  當然來到耶穌面前希望醫病
[00:03:37.200 --> 00:03:40.040]  或者後來我們見到耶穌對他說什麼?
[00:03:40.040 --> 00:03:42.520]  「你的罪赦了」
[00:03:42.520 --> 00:03:43.520]  可能我們會想
[00:03:43.520 --> 00:03:47.680]  坦子來見耶穌的目的就是要赦罪
[00:03:47.680 --> 00:03:49.920]  這可能也是我們很快想到的
[00:03:49.920 --> 00:03:53.680]  但其實在整個聖經第二章一到十二節裡面
[00:03:53.680 --> 00:03:55.760]  坦子其實沒有特別說到
[00:03:55.760 --> 00:03:57.840]  他真的想來看病
[00:03:57.840 --> 00:03:59.640]  也沒有掛號
[00:03:59.640 --> 00:04:01.280]  只是說想赦罪
[00:04:01.280 --> 00:04:03.720]  但我相信坦子的關注
[00:04:03.720 --> 00:04:05.000]  或者他的目的是什麼呢?
[00:04:05.000 --> 00:04:08.400]  可能和耶穌的關注都是一樣
[00:04:08.400 --> 00:04:11.440]  我們之前看過馬封一章三十八節的時候
[00:04:11.440 --> 00:04:15.600]  提到門徒很想耶穌回到一些很受歡迎的地方
[00:04:15.600 --> 00:04:18.160]  接受群眾的歡呼
[00:04:18.160 --> 00:04:21.760]  或者是給一些掌聲
[00:04:21.760 --> 00:04:22.800]  但耶穌告訴他們
[00:04:22.800 --> 00:04:24.440]  祂不是為這些出來
[00:04:24.440 --> 00:04:26.920]  祂不是為掌聲、歡呼聲
[00:04:26.920 --> 00:04:27.840]  祂是為什麼呢?
[00:04:27.840 --> 00:04:29.520]  祂是為傳道
[00:04:29.520 --> 00:04:31.280]  要傳講生命的道
[00:04:31.280 --> 00:04:32.640]  傳講真理
[00:04:32.640 --> 00:04:35.320]  所以耶穌在我們剛才讀的二章二節
[00:04:35.320 --> 00:04:37.640]  或者是二章十三節
[00:04:37.640 --> 00:04:38.440]  我們沒有讀到
[00:04:38.440 --> 00:04:40.200]  但大家如果回去看的時候就知道
[00:04:40.200 --> 00:04:44.800]  耶穌最主要的就是做傳道、講道、教訓的工作
[00:04:44.800 --> 00:04:48.120]  這是耶穌來到這個地上最重要的目的
[00:04:48.120 --> 00:04:49.040]  有機會的時候
[00:04:49.040 --> 00:04:53.440]  祂可能會透過醫病、趕鬼來行一些神蹟
[00:04:53.440 --> 00:04:55.720]  但祂最關注、最重要的
[00:04:55.720 --> 00:04:58.760]  就是講道、要教訓
[00:04:58.760 --> 00:05:01.400]  要將神的話教訓眾人
[00:05:01.400 --> 00:05:03.200]  所以坦子的提醒是什麼呢?
[00:05:03.200 --> 00:05:05.920]  回到坦子來見耶穌的目的
[00:05:05.920 --> 00:05:07.000]  如果從經文來看
[00:05:07.000 --> 00:05:08.600]  其實真的沒有特別提到
[00:05:08.600 --> 00:05:10.760]  坦子是很想來醫病
[00:05:10.760 --> 00:05:11.640]  為什麼呢?
[00:05:11.640 --> 00:05:13.320]  其實我們看回馬克福音也好
[00:05:13.320 --> 00:05:14.560]  其他福音書也好
[00:05:14.560 --> 00:05:18.560]  耶穌去做的工作
[00:05:18.560 --> 00:05:20.600]  可以分兩個主要部分
[00:05:20.600 --> 00:05:23.520]  一個就是去教訓人、講道
[00:05:23.520 --> 00:05:25.200]  多數就是在會堂
[00:05:25.200 --> 00:05:26.440]  如果大家有看到
[00:05:26.440 --> 00:05:28.520]  有時候是在房間裡面
[00:05:28.520 --> 00:05:30.880]  如果在室內的地方
[00:05:30.880 --> 00:05:33.320]  其實耶穌最主要都是做講道的工作
[00:05:33.320 --> 00:05:34.640]  教導的工作
[00:05:34.640 --> 00:05:36.720]  當然耶穌在戶外的時候
[00:05:36.720 --> 00:05:38.640]  如果我們想起五餅二魚
[00:05:38.640 --> 00:05:40.720]  就是在戶外的環境
[00:05:40.720 --> 00:05:42.200]  耶穌對幾千人來講道
[00:05:42.200 --> 00:05:44.200]  或者甚至上萬人來講道
[00:05:44.200 --> 00:05:45.800]  其實祂也有教導
[00:05:45.800 --> 00:05:47.880]  但是最主要是在室內的時候
