
[00:00:00.000 --> 00:00:03.000]  今天我們要結束《針刑》的系列
[00:00:03.000 --> 00:00:06.800]  講《針刑》的系列已經講了一段日子
[00:00:06.800 --> 00:00:10.900]  今天講完最後的一個分享
[00:00:10.900 --> 00:00:13.100]  是叫做「自製的智慧」
[00:00:13.100 --> 00:00:15.000]  你會覺得很奇怪
[00:00:15.000 --> 00:00:16.400]  「自製的智慧」
[00:00:16.400 --> 00:00:19.200]  是不是自己就可以製造一些智慧出來?
[00:00:19.200 --> 00:00:22.400]  這個「制」不是製造的「制」
[00:00:22.400 --> 00:00:24.300]  這個「制」是克制
[00:00:24.300 --> 00:00:26.100]  這個「制」是控制
[00:00:26.100 --> 00:00:28.400]  是要控制自己的情緒
[00:00:28.400 --> 00:00:30.800]  是要控制自己的脾氣
[00:00:30.800 --> 00:00:35.000]  美國有2500萬的人
[00:00:35.000 --> 00:00:37.500]  都不能夠控制自己的脾氣
[00:00:37.500 --> 00:00:39.900]  時時都會發脾氣
[00:00:39.900 --> 00:00:43.300]  時時都會控制不了他們的情緒
[00:00:43.300 --> 00:00:47.200]  當中我們相信有很多人
[00:00:47.200 --> 00:00:49.300]  都可能有自製的問題
[00:00:49.300 --> 00:00:52.000]  我第一個來的就是承認
[00:00:52.000 --> 00:00:54.300]  我其實脾氣是很大
[00:00:54.300 --> 00:00:57.400]  你不要看見我平時好像沒什麼
[00:00:57.600 --> 00:01:00.400]  我的家人都很怕我發脾氣
[00:01:00.400 --> 00:01:02.500]  他們說當我發脾氣的時候
[00:01:02.500 --> 00:01:03.800]  我是很惡很惡
[00:01:03.800 --> 00:01:05.200]  我是很令人害怕
[00:01:05.200 --> 00:01:07.000]  我是絕對不可愛
[00:01:07.000 --> 00:01:09.000]  所以這一邊道
[00:01:09.000 --> 00:01:11.600]  也是給我自己很重要
[00:01:11.600 --> 00:01:14.900]  如果我們不能夠自製的時候
[00:01:14.900 --> 00:01:17.500]  就能夠造成很大的傷害
[00:01:17.500 --> 00:01:19.700]  尤其是人與人的關係
[00:01:19.700 --> 00:01:23.200]  所以我們見到有很多的家庭
[00:01:23.200 --> 00:01:26.500]  很多的教會都會有破裂
[00:01:26.700 --> 00:01:30.300]  就是因為人不能夠控制自己的情緒
[00:01:30.300 --> 00:01:32.200]  不能夠有自製
[00:01:32.200 --> 00:01:36.400]  今天我們會講《針研》25章
[00:01:36.400 --> 00:01:38.700]  主要的經文都在這25章
[00:01:38.700 --> 00:01:41.100]  剛才周長老為我們讀了
[00:01:41.100 --> 00:01:44.000]  我們一起來看看在《針研》裡面
[00:01:44.000 --> 00:01:46.900]  怎樣教我們來自製
[00:01:46.900 --> 00:01:50.100]  首先要講的
[00:01:50.100 --> 00:01:53.900]  就是不是所有的發脾氣
[00:01:53.900 --> 00:01:55.500]  不是所有的憤怒
[00:01:55.500 --> 00:01:56.600]  都是犯罪
[00:01:56.900 --> 00:01:58.600]  都是不對的
[00:01:58.600 --> 00:02:03.800]  我們先看一節經文已不所書的4章26節
[00:02:03.800 --> 00:02:06.300]  生氣卻不要犯罪
[00:02:06.300 --> 00:02:07.900]  不可含怒度日落
[00:02:07.900 --> 00:02:10.700]  經文不是說不要生氣
[00:02:10.700 --> 00:02:12.300]  但是當你生氣
[00:02:12.300 --> 00:02:13.900]  當你有憤怒的時候
[00:02:13.900 --> 00:02:16.500]  不要是含怒度日落
[00:02:16.500 --> 00:02:19.800]  原來是有正義的憤怒
[00:02:19.800 --> 00:02:21.700]  什麼叫做正義的憤怒
[00:02:21.700 --> 00:02:25.200]  我們一起來看看耶穌基督的例子
[00:02:25.400 --> 00:02:27.700]  耶穌基督會為了不公義
[00:02:27.700 --> 00:02:30.600]  或者不正義的事來憤怒
[00:02:30.600 --> 00:02:32.100]  這個不是犯罪
[00:02:32.100 --> 00:02:36.500]  耶穌基督有兩次因為聖殿被褻瀆
[00:02:36.500 --> 00:02:38.200]  而祂有憤怒
[00:02:38.200 --> 00:02:41.200]  祂見到那些人在聖殿做買賣
[00:02:41.200 --> 00:02:42.300]  褻瀆聖殿
[00:02:42.300 --> 00:02:43.400]  所以祂很生氣
[00:02:43.400 --> 00:02:47.900]  這兩件事都是記錄在四福音裡面
[00:02:47.900 --> 00:02:51.600]  我們知道如果四福音都有記載的事
[00:02:51.600 --> 00:02:53.900]  就是非常非常重要的事
[00:02:55.500 --> 00:03:00.000]  有一次耶穌基督是生氣民事和法利賽人
[00:03:00.000 --> 00:03:02.900]  祂覺得他們是假冒為善
[00:03:02.900 --> 00:03:03.800]  祂是很生氣
[00:03:03.800 --> 00:03:08.500]  這件事記載在《馬太福音》的二十三章一至四節
[00:03:08.500 --> 00:03:11.200]  也都我們見到
[00:03:11.200 --> 00:03:12.700]  在安息日
[00:03:12.700 --> 00:03:16.700]  耶穌基督是治好了一個枯乾手的人
[00:03:16.700 --> 00:03:20.300]  因為在安息日治好人
[00:03:20.300 --> 00:03:23.000]  被民事法利賽的人來罵他
[00:03:23.200 --> 00:03:26.500]  耶穌基督怒目地看著他們
[00:03:26.500 --> 00:03:28.500]  祂覺得他們心眼
[00:03:28.500 --> 00:03:30.700]  祂覺得他們是沒有同情心
[00:03:30.700 --> 00:03:34.300]  以至耶穌基督是對他們有怒氣
[00:03:34.300 --> 00:03:36.700]  這些都是正義的怒氣
[00:03:36.700 --> 00:03:39.300]  如果我們是注意的話
[00:03:39.300 --> 00:03:41.300]  我們發覺這些怒氣
[00:03:41.300 --> 00:03:44.900]  都不是因為有人得罪耶穌基督自己
[00:03:44.900 --> 00:03:46.600]  以至祂是有怒氣
[00:03:46.600 --> 00:03:50.400]  祂有怒氣因為是人家的事
[00:03:51.000 --> 00:03:54.300]  為了不公義或者不正義的事
[00:03:54.300 --> 00:03:57.000]  以至祂是有這個怒氣
[00:03:57.000 --> 00:04:00.000]  我們一起來看看
[00:04:00.000 --> 00:04:04.500]  正義的怒氣有些什麼種類
[00:04:04.500 --> 00:04:06.800]  在我們現在這個世上
