
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,今日題目是回轉人生
[00:00:03.000 --> 00:00:05.000]  回轉壽司又聽得多
[00:00:05.000 --> 00:00:06.000]  回轉人生
[00:00:06.000 --> 00:00:09.000]  今日我們想看看我們的人生
[00:00:09.000 --> 00:00:13.000]  有一首粵語歌曲
[00:00:13.000 --> 00:00:16.000]  風靡了,流行在東南亞各地
[00:00:16.000 --> 00:00:18.000]  聽聽你們認不認識
[00:00:18.000 --> 00:00:25.000]  我不是唱,我只是讀歌詞,我不敢唱
[00:00:25.000 --> 00:00:29.000]  回望我一生
[00:00:29.000 --> 00:00:32.000]  歷遍幾番責備和恨怨
[00:00:32.000 --> 00:00:35.000]  無懼世間萬重浪
[00:00:35.000 --> 00:00:41.000]  獨怕今生陷網中
[00:00:41.000 --> 00:00:43.000]  認不認識
[00:00:43.000 --> 00:00:52.000]  這首是八十年代風靡東南亞的網中人主題曲
[00:00:52.000 --> 00:00:56.000]  年輕的為了你們
[00:00:56.000 --> 00:00:59.000]  我讀一首詩給你們聽,應該你們也認識
[00:00:59.000 --> 00:01:01.000]  有一首詩我以前也很喜歡
[00:01:01.000 --> 00:01:03.000]  就是頭兩句
[00:01:03.000 --> 00:01:08.000]  笑無色燭穩,勝本外憂山
[00:01:08.000 --> 00:01:14.000]  誤落塵網中,一去三十年
[00:01:14.000 --> 00:01:15.000]  認不認識
[00:01:15.000 --> 00:01:16.000]  這首不認識
[00:01:16.000 --> 00:01:21.000]  這首是陶淵明的歸原田居
[00:01:22.000 --> 00:01:26.000]  其實這兩首一首八十年代的金曲
[00:01:26.000 --> 00:01:30.000]  和很久以前的詩人的詩說什麼呢
[00:01:30.000 --> 00:01:34.000]  就是說我們有時在這個世界上生活
[00:01:34.000 --> 00:01:37.000]  面對著很多的隱憂或者挑戰
[00:01:37.000 --> 00:01:40.000]  甚至很多的思想
[00:01:40.000 --> 00:01:44.000]  吸著我們要走這個世界的路
[00:01:44.000 --> 00:01:49.000]  很容易就像一個塵網一樣掉下去
[00:01:51.000 --> 00:01:54.000]  我們今天也看一看這段經文
[00:01:54.000 --> 00:01:56.000]  求神幫助我們
[00:01:56.000 --> 00:01:58.000]  了解我們的人生裡面
[00:01:58.000 --> 00:02:00.000]  我們現在的光景是怎麼樣
[00:02:00.000 --> 00:02:02.000]  我們首先有個禱告
[00:02:02.000 --> 00:02:10.000]  親愛的天父上帝我們再一次求你
[00:02:10.000 --> 00:02:12.000]  藉著今天這段經文
[00:02:12.000 --> 00:02:15.000]  你親自向我們每一位說話
[00:02:15.000 --> 00:02:17.000]  我們每一個弟兄姊妹
[00:02:17.000 --> 00:02:20.000]  現在在生命上有不同的光景
[00:02:20.000 --> 00:02:22.000]  有不同的處境
[00:02:22.000 --> 00:02:24.000]  也求主你光照我們
[00:02:24.000 --> 00:02:28.000]  讓我們明白我們和神的關係
[00:02:28.000 --> 00:02:31.000]  我們怎麼樣去跟從你
[00:02:31.000 --> 00:02:33.000]  聽我的祈禱
[00:02:33.000 --> 00:02:34.000]  奉耶穌基督性命求
[00:02:34.000 --> 00:02:35.000]  阿們
[00:02:50.000 --> 00:02:53.000]  就被當時的總督比拉多殺害
[00:02:53.000 --> 00:02:55.000]  驟眼看來
[00:02:55.000 --> 00:02:58.000]  這個好像是一個很簡單的新聞報道
[00:02:58.000 --> 00:03:01.000]  但是我們看看第二至第五節
[00:03:01.000 --> 00:03:02.000]  在耶穌裡面
[00:03:02.000 --> 00:03:04.000]  他的回應很有趣
