
[00:00:00.000 --> 00:00:05.000]  如果同一段經文要講兩篇有少少不同的信息
[00:00:05.000 --> 00:00:09.000]  我都覺得是可以的
[00:00:09.000 --> 00:00:17.000]  所以我今晚嘗試用一個角度去看人生的意義
[00:00:17.000 --> 00:00:23.000]  我想比較少人會看人生意義找這段經文去講
[00:00:23.000 --> 00:00:30.000]  先我們來看看有些不同的人怎樣去講
[00:00:30.000 --> 00:00:35.000]  所謂The Meaning of Life
[00:00:35.000 --> 00:00:42.000]  我們看畢加索的一個定義
[00:00:42.000 --> 00:00:45.000]  The meaning of life is to find your gift
[00:00:45.000 --> 00:00:48.000]  The purpose of life is to give it away
[00:00:48.000 --> 00:00:50.000]  不知道大家是否同意
[00:00:50.000 --> 00:00:54.000]  你今天人生的目的意義
[00:00:54.000 --> 00:00:59.000]  你找不找到神給你的恩賜財鋼
[00:00:59.000 --> 00:01:01.000]  若然找到的話
[00:01:01.000 --> 00:01:04.000]  你生存的目的你發覺很有意義
[00:01:04.000 --> 00:01:11.000]  因為你將這些所謂財鋼跟別人分享
[00:01:11.000 --> 00:01:13.000]  畢加索大家知道是誰
[00:01:13.000 --> 00:01:18.000]  他是一個很出名的西班牙裔的畫家
[00:01:18.000 --> 00:01:20.000]  也是一些雕塑家
[00:01:20.000 --> 00:01:22.000]  他的作品其實有很多
[00:01:22.000 --> 00:01:25.000]  我們有時開玩笑地說他畢加斯索
[00:01:25.000 --> 00:01:29.000]  因為他由最初畫的人物的畫
[00:01:29.000 --> 00:01:33.000]  越畫到比較晚期的時候
[00:01:33.000 --> 00:01:35.000]  有些我們發覺很印象派
[00:01:35.000 --> 00:01:37.000]  他總之是一坨東西
[00:01:37.000 --> 00:01:40.000]  一路畫彩
[00:01:40.000 --> 00:01:43.000]  但竟然他越畫
[00:01:43.000 --> 00:01:48.000]  大家不太知道他想表達什麼的時候
[00:01:48.000 --> 00:01:50.000]  就說他很厲害
[00:01:50.000 --> 00:01:55.000]  他在神面前有他的獨特恩賜
[00:01:55.000 --> 00:02:01.000]  第二個是澳地利亞的神經學家和心理學家
[00:02:01.000 --> 00:02:03.000]  他叫Victor Frank
[00:02:03.000 --> 00:02:07.000]  他其實是一個很出名的人
[00:02:07.000 --> 00:02:09.000]  他曾經寫過一個名著
[00:02:09.000 --> 00:02:11.000]  Man's Search for Meaning
[00:02:11.000 --> 00:02:15.000]  人要尋索人生的意義和目的
[00:02:15.000 --> 00:02:18.000]  他自己有一個心同感受的經驗
[00:02:18.000 --> 00:02:20.000]  就是他在二次世界大戰的時候
[00:02:20.000 --> 00:02:26.000]  曾經被德軍納粹黨捉了去集中營裡面
[00:02:26.000 --> 00:02:29.000]  所以他跟猶太人一起受過苦難
[00:02:29.000 --> 00:02:31.000]  在這種痛楚裡面
[00:02:31.000 --> 00:02:33.000]  你被人關在一個這樣的地方
[00:02:33.000 --> 00:02:35.000]  其實你很驚恐
[00:02:35.000 --> 00:02:38.000]  因為你不知道你會不會第二天起來
[00:02:38.000 --> 00:02:40.000]  你還有明天
[00:02:40.000 --> 00:02:42.000]  你沒有什麼盼望
[00:02:42.000 --> 00:02:44.000]  但正正在這樣的情況下
[00:02:44.000 --> 00:02:46.000]  他是意會到
[00:02:46.000 --> 00:02:48.000]  If there is meaning in life at all
[00:02:48.000 --> 00:02:51.000]  Then there must be meaning in suffering
[00:02:51.000 --> 00:02:55.000]  他很體會到人生充滿著很多的苦難
[00:02:55.000 --> 00:03:00.000]  但這些正正構成了我們人生的一個意義
[00:03:00.000 --> 00:03:04.000]  他後來甚至發明了一個叫Logotherapy
[00:03:04.000 --> 00:03:08.000]  就是所謂意義的治療法
[00:03:08.000 --> 00:03:12.000]  人生是需要真正明白你為何而活
[00:03:12.000 --> 00:03:16.000]  若然你不明白你生命是為了什麼目的
[00:03:16.000 --> 00:03:20.000]  來奮鬥來生活的話
[00:03:20.000 --> 00:03:23.000]  你就算今天落在一個最艱苦
[00:03:23.000 --> 00:03:26.000]  或者你覺得很困難的情況下
[00:03:26.000 --> 00:03:28.000]  你仍然不會放棄
[00:03:28.000 --> 00:03:32.000]  你仍然可以在一個這樣的處境裡面
[00:03:32.000 --> 00:03:34.000]  但你可以超越那個處境
[00:03:34.000 --> 00:03:37.000]  這個是我覺得我們特別作為神的兒女
[00:03:37.000 --> 00:03:39.000]  我們更加需要這樣做
[00:03:39.000 --> 00:03:43.000]  但我們當中可能有誤導的朋友
[00:03:43.000 --> 00:03:47.000]  有沒有我們這個周六晚崇拜的
[00:03:47.000 --> 00:03:49.000]  過去這一兩個月
[00:03:49.000 --> 00:03:51.000]  你是朋友帶你回來的
[00:03:51.000 --> 00:03:54.000]  可不可以舉手給我看看
[00:03:54.000 --> 00:03:56.000]  有沒有
[00:03:56.000 --> 00:03:57.000]  也有
[00:03:57.000 --> 00:03:59.000]  我們給他一點掌聲鼓勵
[00:03:59.000 --> 00:04:01.000]  非常好
[00:04:01.000 --> 00:04:04.000]  其實我們是需要的
[00:04:04.000 --> 00:04:06.000]  我們發覺我們在這個周六晚
[00:04:06.000 --> 00:04:08.000]  其實我們的黃昏崇拜
[00:04:08.000 --> 00:04:11.000]  我們希望能夠提供一個時段
[00:04:11.000 --> 00:04:14.000]  讓一些可能對基督教
[00:04:14.000 --> 00:04:17.000]  好像認識但又或者未必認識
[00:04:17.000 --> 00:04:20.000]  他可能曾經小學或者中學的時候
[00:04:20.000 --> 00:04:22.000]  是讀基督教學校
[00:04:22.000 --> 00:04:24.000]  但到他長大後因為忙很多事
[00:04:24.000 --> 00:04:27.000]  現在有機會回來教會
[00:04:27.000 --> 00:04:30.000]  我們很想這個周六晚黃昏崇拜
