
[00:00:00.000 --> 00:00:05.400]  在網上一起崇拜的「大英姊妹」平安
[00:00:05.400 --> 00:00:11.200]  剛才大家聽師班現場
[00:00:11.200 --> 00:00:14.200]  和聽經課的時候
[00:00:14.200 --> 00:00:17.280]  有沒有聽到有一種動物
[00:00:17.280 --> 00:00:22.880]  你猜到那種動物是甚麼動物
[00:00:22.880 --> 00:00:26.080]  師班就會想起剛才那首歌
[00:00:26.800 --> 00:00:31.160]  兒童主日學就會想起「我是豬的羊」那首歌
[00:00:31.160 --> 00:00:33.680]  你記不記得那首「我是豬的羊」是怎樣唱的
[00:00:33.680 --> 00:00:37.000]  我都說我是不會唱的
[00:00:37.000 --> 00:00:38.320]  除非有人伴唱
[00:00:38.320 --> 00:00:41.520]  他說「主令我到青草地
[00:00:41.520 --> 00:00:42.880]  安歇在溪水旁
[00:00:42.880 --> 00:00:45.680]  黃昏時主與我一路同行
[00:00:45.680 --> 00:00:47.120]  牧場上豬的羊
[00:00:47.120 --> 00:00:49.120]  都得飽足心快唱」
[00:00:49.120 --> 00:00:50.920]  但是最後一句一定要唱的
[00:00:50.920 --> 00:00:53.080]  最後一句是
[00:00:53.080 --> 00:00:54.440]  你唱不唱得到
[00:00:55.280 --> 00:00:57.600]  「我是豬的羊」
[00:00:57.600 --> 00:01:00.120]  為甚麼都要唱呢
[00:01:00.120 --> 00:01:02.920]  因為有些朋友聽了以後
[00:01:02.920 --> 00:01:04.640]  以為裡面說到三種動物
[00:01:04.640 --> 00:01:08.120]  鵝、豬、羊
[00:01:08.120 --> 00:01:11.080]  但是其實只有一種
[00:01:11.080 --> 00:01:12.200]  就是羊
[00:01:12.200 --> 00:01:14.440]  因為是「我是主的羊」
[00:01:14.440 --> 00:01:16.240]  就是羊
[00:01:16.240 --> 00:01:18.400]  想起羊
[00:01:18.400 --> 00:01:22.040]  大家都知道其實這是一個比喻
[00:01:23.120 --> 00:01:26.600]  它是用來比喻我們和上主的關係
[00:01:26.600 --> 00:01:30.160]  用羊和羊人來做一個比喻
[00:01:30.160 --> 00:01:32.880]  當大家想起羊的時候
[00:01:32.880 --> 00:01:35.400]  我們都會想起剛才那首詩歌
[00:01:35.400 --> 00:01:38.040]  說那個在青草地溪水旁的羊
[00:01:38.040 --> 00:01:41.800]  想起那首「我是豬的羊」
[00:01:41.800 --> 00:01:43.640]  我們想起那幅圖畫的時候
[00:01:43.640 --> 00:01:45.480]  我們都想起那些羊
[00:01:45.480 --> 00:01:48.360]  於是我們整個印象就覺得
[00:01:48.360 --> 00:01:49.760]  羊就是這樣的
[00:01:52.160 --> 00:01:54.440]  於是我們覺得每隻羊都是一樣的
[00:01:54.440 --> 00:01:59.520]  有一次有個同學來問我
[00:01:59.520 --> 00:02:01.040]  他說
[00:02:01.040 --> 00:02:03.240]  他
[00:02:03.240 --> 00:02:05.000]  就是另一個同學
[00:02:05.000 --> 00:02:06.960]  又是這麼積極侍奉
[00:02:06.960 --> 00:02:08.120]  我
[00:02:08.120 --> 00:02:09.800]  又是這麼積極侍奉
[00:02:09.800 --> 00:02:11.120]  那為甚麼
[00:02:11.120 --> 00:02:12.680]  他有拖拍
[00:02:12.680 --> 00:02:13.960]  我沒有拖拍呢
[00:02:13.960 --> 00:02:20.880]  我們是在假設
[00:02:21.520 --> 00:02:22.680]  每隻羊都是一樣的
[00:02:22.680 --> 00:02:24.160]  所以我們在假設
[00:02:24.160 --> 00:02:25.920]  他是這樣的我也是這樣的
[00:02:25.920 --> 00:02:27.400]  但是
[00:02:27.400 --> 00:02:30.120]  事實上
[00:02:30.120 --> 00:02:32.680]  又未必是這樣的
[00:02:32.680 --> 00:02:34.040]  今天
[00:02:34.040 --> 00:02:36.640]  那四段經課你有沒有留意
[00:02:36.640 --> 00:02:39.880]  原來有很多種不同的羊
[00:02:39.880 --> 00:02:43.880]  或者那些羊原來是在很多種不同的狀態
[00:02:43.880 --> 00:02:46.520]  我們回到今天的經課
[00:02:46.520 --> 00:02:47.520]  一次過
[00:02:47.520 --> 00:02:49.440]  因為都是在同一版本裡
[00:02:49.440 --> 00:02:51.560]  我們已經看完那四段經課了
[00:02:51.560 --> 00:02:53.720]  我們試著找一下
[00:02:53.720 --> 00:02:56.840]  我們可以找到有多少種羊
[00:02:56.840 --> 00:03:01.480]  第一種最典型的羊
[00:03:01.480 --> 00:03:03.680]  是出現在詩篇二十三篇
[00:03:03.680 --> 00:03:05.200]  頭幾句
[00:03:05.200 --> 00:03:08.160]  我們差不多以為這種羊
