
[00:00:00.000 --> 00:00:03.920]  今天我們會是一個新的講道系列
[00:00:03.920 --> 00:00:05.440]  都是我們的《史道行傳》
[00:00:05.440 --> 00:00:09.680]  今天我們會看一段經文
[00:00:09.680 --> 00:00:13.600]  就會來談談這個個人報道的重要
[00:00:13.600 --> 00:00:17.440]  我們首先第一段經文會看的就是
[00:00:17.440 --> 00:00:22.320]  《史道行傳》的一章六到十一節
[00:00:22.320 --> 00:00:26.560]  不不不 一章八節 只是一章八節 只有一節
[00:00:26.560 --> 00:00:30.240]  這次聖經是這樣說的 它說
[00:00:30.240 --> 00:00:32.640]  「可視聖靈臨到你們的時候
[00:00:32.640 --> 00:00:35.360]  你們會充滿着能力
[00:00:35.360 --> 00:00:40.480]  要在耶路撒冷 猶太和撒瑪利亞全境
[00:00:40.480 --> 00:00:44.480]  甚至到天涯海角和日本翻譯的地極
[00:00:44.480 --> 00:00:47.760]  直到地極作我的見證」
[00:00:47.760 --> 00:00:50.400]  這一段經文其實就是講到
[00:00:50.400 --> 00:00:53.440]  主耶穌當初在臨昇天之前
[00:00:53.440 --> 00:00:57.120]  留下的最後一句話 最後的一個交代
[00:00:57.120 --> 00:01:01.440]  就是將一個大使命交代給他的門徒
[00:01:01.440 --> 00:01:06.080]  這一段聖經基本上就是爲《史道行傳》定調的聖經
[00:01:06.080 --> 00:01:09.920]  就是它定了主題和整本書的脈絡
[00:01:09.920 --> 00:01:11.680]  將你繼續讀下去的時候
[00:01:11.680 --> 00:01:14.960]  《史道行傳》是照着這個脈絡寫下去的
[00:01:14.960 --> 00:01:18.240]  就是說福音如何從聖靈降臨之後
[00:01:18.240 --> 00:01:21.520]  他們得到能力真的可以做成福音的工作
[00:01:21.520 --> 00:01:23.760]  就由十二門徒開始
[00:01:23.760 --> 00:01:26.000]  十二使徒開始在耶路撒冷
[00:01:26.000 --> 00:01:27.680]  然後如何一直傳福音
[00:01:27.680 --> 00:01:31.200]  一直傳到猶太和撒瑪利亞全境
[00:01:31.200 --> 00:01:35.200]  然後直到地極作我的見證
[00:01:35.200 --> 00:01:37.520]  下一段經文我想你們看看
[00:01:37.520 --> 00:01:40.000]  這段經文是一個轉折點
[00:01:40.000 --> 00:01:44.240]  福音的任務開始從十二使徒
[00:01:44.240 --> 00:01:47.200]  轉給一些更平常的人
[00:01:47.200 --> 00:01:49.680]  因爲十二使徒畢竟只有十二個
[00:01:49.680 --> 00:01:53.760]  我們看下一段經文
[00:01:53.760 --> 00:01:56.560]  他說十二使徒六章二字
[00:01:56.560 --> 00:02:00.080]  十二使徒叫衆門徒來對他們說
[00:02:00.080 --> 00:02:02.480]  我們撇下神的道去管理飯食
[00:02:02.480 --> 00:02:04.000]  原是不合而的
[00:02:04.000 --> 00:02:09.680]  所以弟兄們要從你們中間選出七個有好明星
[00:02:09.680 --> 00:02:11.920]  有三個的要求
[00:02:11.920 --> 00:02:16.080]  有好明星被聖靈充滿和智慧充足的人
[00:02:16.080 --> 00:02:18.080]  我就派他們管理這事
[00:02:18.080 --> 00:02:21.200]  我們要專心去傳導和祈禱
[00:02:21.200 --> 00:02:25.760]  說到門徒原先除了福音的工作還要管理飯食
[00:02:25.760 --> 00:02:28.560]  有人投訴說你管理得不好因爲沒有時間
[00:02:28.560 --> 00:02:32.960]  不如另外派幾個人管理飯食
[00:02:32.960 --> 00:02:36.000]  首先第一個問題你要問的就是
[00:02:36.000 --> 00:02:38.320]  爲什麼管理飯食的人一定要好明星
[00:02:38.320 --> 00:02:41.520]  和被聖靈充滿又要智慧充足呢
[00:02:41.520 --> 00:02:44.000]  我國語聚會是星期六晚
[00:02:44.000 --> 00:02:48.240]  每個星期都會有不同的大廚來幫我們煮飯
[00:02:48.240 --> 00:02:51.200]  我很看重喫這東西
[00:02:51.200 --> 00:02:53.280]  但我從來沒有這樣的要求
[00:02:53.280 --> 00:02:55.920]  如果有人跟我說星期六晚我可不可以來煮飯
[00:02:55.920 --> 00:02:57.520]  我不會說有三個條件
[00:02:57.520 --> 00:02:59.200]  第一你有沒有好明星
[00:02:59.200 --> 00:03:00.960]  第二個你有沒有被聖靈充滿
[00:03:00.960 --> 00:03:02.560]  第三個是否智慧充足
[00:03:02.560 --> 00:03:04.320]  他說不會你懂不懂煮飯
[00:03:04.320 --> 00:03:05.760]  他說懂就行了
[00:03:05.760 --> 00:03:09.040]  爲什麼管理飯食要這樣的要求呢
[00:03:09.040 --> 00:03:12.400]  因爲這是使徒行傳的脈絡
[00:03:12.400 --> 00:03:13.520]  換句話說
[00:03:13.520 --> 00:03:15.760]  你發覺除了這段經文之後
[00:03:15.760 --> 00:03:19.680]  使徒行傳再也沒有記載他們管理飯食的事
[00:03:19.680 --> 00:03:21.600]  如果你要問他們管理得怎麼樣
[00:03:21.600 --> 00:03:22.800]  是否真的行
[00:03:22.800 --> 00:03:23.760]  有沒有人抱怨
[00:03:23.760 --> 00:03:24.480]  你不知道的
[00:03:24.480 --> 00:03:27.600]  因爲聖經這個不是重點主題
[00:03:27.600 --> 00:03:30.160]  聖經之所以擺這幾個要求
[00:03:30.160 --> 00:03:31.200]  是告訴我們
[00:03:31.200 --> 00:03:34.960]  原來這七個人使徒行傳後面的記載
[00:03:34.960 --> 00:03:38.080]  是開始記載這一幫人很奇怪的
[00:03:38.080 --> 00:03:42.080]  門徒說我們要專心祈禱傳道
[00:03:42.080 --> 00:03:43.760]  所以沒有時間管理飯食
[00:03:43.760 --> 00:03:46.880]  選這七個人是你負責管理飯食
[00:03:46.880 --> 00:03:51.200]  結果這七個人就去專心祈禱傳道
[00:03:51.200 --> 00:03:54.720]  所以後期的使徒行傳第七章開始
[00:03:54.720 --> 00:03:58.160]  就是記載這七個人當中的幾個
[00:03:58.160 --> 00:04:00.800]  就怎麼開始去祈禱傳道
[00:04:00.800 --> 00:04:02.640]  沒有記載他管理飯食
[00:04:02.640 --> 00:04:05.120]  所以這幫人你發覺原來這個轉折點
[00:04:05.120 --> 00:04:06.800]  不只是說大家分工
[00:04:06.800 --> 00:04:08.560]  一部分的人負責福音工作
[00:04:08.560 --> 00:04:12.800]  一部分的人負責行政
